ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2011,2011-09-11,1,23.228,DAL,@,NYJ,L 24-27,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0
2,2011,2011-09-18,2,23.235,DAL,@,SFO,W 27-24,,3,3,100.0,2,3,66.7,0,9,0.0,0,0,0,0,,0
3,2011,2011-09-26,3,23.243,DAL,,WAS,W 18-16,,,,,6,6,100.0,0,18,0.0,0,0,0,0,,0
4,2011,2011-10-02,4,23.249,DAL,,DET,L 30-34,,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,0,,0
5,2011,2011-10-16,5,23.263,DAL,@,NWE,L 16-20,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,,0
6,2011,2011-10-23,6,23.270,DAL,,STL,W 34-7,,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,,0
7,2011,2011-10-30,7,23.277,DAL,@,PHI,L 7-34,,1,1,100.0,,,,0,1,0.0,0,0,2,79,39.50,0
8,2011,2011-11-06,8,23.284,DAL,,SEA,W 23-13,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,,0
9,2011,2011-11-13,9,23.291,DAL,,BUF,W 44-7,,5,5,100.0,3,3,100.0,0,14,0.0,0,0,0,0,,0
10,2011,2011-11-20,10,23.298,DAL,@,WAS,W 27-24,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,,0
11,2011,2011-11-24,11,23.302,DAL,,MIA,W 20-19,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,,0
12,2011,2011-12-04,12,23.312,DAL,@,ARI,L 13-19,,1,1,100.0,2,4,50.0,0,7,0.0,0,0,0,0,,0
13,2011,2011-12-11,13,23.319,DAL,,NYG,L 34-37,,4,4,100.0,2,3,66.7,0,10,0.0,0,0,0,0,,0
14,2011,2011-12-17,14,23.325,DAL,@,TAM,W 31-15,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,,0
15,2011,2011-12-24,15,23.332,DAL,,PHI,L 7-20,,1,1,100.0,,,,0,1,0.0,0,0,0,0,,0
16,2011,2012-01-01,16,23.340,DAL,@,NYG,L 14-31,,2,2,100.0,,1,0.0,0,2,0.0,0,0,0,0,,0
17,2012,2012-09-05,1,24.223,DAL,@,NYG,W 24-17,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0
18,2012,2012-09-16,2,24.234,DAL,@,SEA,L 7-27,,1,1,100.0,,,,0,1,0.0,0,0,0,0,,0
19,2012,2012-09-23,3,24.241,DAL,,TAM,W 16-10,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,,0
20,2012,2012-10-01,4,24.249,DAL,,CHI,L 18-34,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0
21,2012,2012-10-14,5,24.262,DAL,@,BAL,L 29-31,,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,0,,0
22,2012,2012-10-21,6,24.269,DAL,@,CAR,W 19-14,,1,1,100.0,4,4,100.0,0,13,0.0,0,0,0,0,,0
23,2012,2012-10-28,7,24.276,DAL,,NYG,L 24-29,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0
24,2012,2012-11-04,8,24.283,DAL,@,ATL,L 13-19,,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,0,,0
25,2012,2012-11-11,9,24.290,DAL,@,PHI,W 38-23,,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,0,,0
26,2012,2012-11-18,10,24.297,DAL,,CLE,W 23-20,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,,0
27,2012,2012-11-22,11,24.301,DAL,,WAS,L 31-38,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,,0
28,2012,2012-12-02,12,24.311,DAL,,PHI,W 38-33,,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,0,,0
29,2012,2012-12-09,13,24.318,DAL,@,CIN,W 20-19,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,0,,0
30,2012,2012-12-16,14,24.325,DAL,,PIT,W 27-24,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,,0
31,2012,2012-12-23,15,24.332,DAL,,NOR,L 31-34,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,,0
32,2012,2012-12-30,16,24.339,DAL,@,WAS,L 18-28,,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,0,,0
33,2013,2013-09-08,1,25.225,DAL,,NYG,W 36-31,,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,0,,0
34,2013,2013-09-15,2,25.232,DAL,@,KAN,L 16-17,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,0,,0
35,2013,2013-09-22,3,25.239,DAL,,STL,W 31-7,,4,4,100.0,1,2,50.0,0,7,0.0,0,0,0,0,,0
36,2013,2013-09-29,4,25.246,DAL,@,SDG,L 21-30,,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,0,,0
37,2013,2013-10-06,5,25.253,DAL,,DEN,L 48-51,,4,4,100.0,2,2,100.0,0,10,0.0,1,0,0,0,,0
38,2013,2013-10-13,6,25.260,DAL,,WAS,W 31-16,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,,0
39,2013,2013-10-20,7,25.267,DAL,@,PHI,W 17-3,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,,0
40,2013,2013-10-27,8,25.274,DAL,@,DET,L 30-31,,3,3,100.0,3,3,100.0,0,12,0.0,1,0,0,0,,0
41,2013,2013-11-03,9,25.281,DAL,,MIN,W 27-23,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,0,,0
42,2013,2013-11-10,10,25.288,DAL,@,NOR,L 17-49,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,,0
43,2013,2013-11-24,11,25.302,DAL,@,NYG,W 24-21,,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0
