ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1989,1989-09-11,1,22.340,WAS,,NYG,L 24-27,,1,13,13.00,0,,,0,0,,0,0,0
2,1989,1989-09-17,2,22.346,WAS,,PHI,L 37-42,,0,0,,0,,,,,,,,
3,1989,1989-09-24,3,22.353,WAS,@,DAL,W 30-7,,0,0,,0,,,,,,,,
4,1989,1989-10-01,4,22.360,WAS,@,NOR,W 16-14,,0,0,,0,,,,,,,,
5,1989,1989-10-08,5,23.002,WAS,,PHO,W 30-28,,0,0,,0,,,,,,,,
6,1989,1989-10-15,6,23.009,WAS,@,NYG,L 17-20,,0,0,,0,,,,,,,,
7,1989,1989-10-22,7,23.016,WAS,,TAM,W 32-28,,1,8,8.00,0,,,0,0,,0,0,0
8,1989,1989-10-29,8,23.023,WAS,@,RAI,L 24-37,,1,39,39.00,0,,,0,0,,0,0,0
9,1989,1989-11-05,9,23.030,WAS,,DAL,L 3-13,,0,0,,0,,,,,,,,
10,1989,1989-11-12,10,23.037,WAS,@,PHI,W 10-3,,1,24,24.00,0,,,0,0,,0,0,0
11,1989,1989-11-20,11,23.045,WAS,,DEN,L 10-14,,0,0,,0,,,,,,,,
12,1989,1989-11-26,12,23.051,WAS,,CHI,W 38-14,,0,0,,0,,,,,,,,
13,1989,1989-12-03,13,23.058,WAS,@,PHO,W 29-10,,0,0,,0,,,,,,,,
14,1989,1989-12-10,14,23.065,WAS,,SDG,W 26-21,,0,0,,0,,,,,,,,
15,1989,1989-12-17,15,23.072,WAS,@,ATL,W 31-30,,0,0,,0,,,,,,,,
16,1989,1989-12-23,16,23.078,WAS,@,SEA,W 29-0,,0,0,,0,,,,,,,,
17,1990,1990-09-09,1,23.338,WAS,,PHO,W 31-0,,0,0,,0,,,,,,,,
18,1990,1990-09-16,2,23.345,WAS,@,SFO,L 13-26,,2,52,26.00,0,,,0,0,,0,0,0
19,1990,1990-09-23,3,23.352,WAS,,DAL,W 19-15,,0,0,,0,,,,,,,,
20,1990,1990-09-30,4,23.359,WAS,@,PHO,W 38-10,,1,8,8.00,0,,,0,0,,0,0,0
21,1990,1990-10-14,5,24.008,WAS,,NYG,L 20-24,,0,0,,0,,,,,,,,
22,1990,1990-10-21,6,24.015,WAS,,PHI,W 13-7,,2,25,12.50,0,,,0,0,,0,0,0
23,1990,1990-10-28,7,24.022,WAS,@,NYG,L 10-21,,2,20,10.00,0,,,0,0,,0,0,0
24,1990,1990-11-04,8,24.029,WAS,@,DET,W 41-38,,1,4,4.00,1,,,0,0,,0,1,6
25,1990,1990-11-12,9,24.037,WAS,@,PHI,L 14-28,,1,18,18.00,0,,,0,0,,0,0,0
26,1990,1990-11-18,10,24.043,WAS,,NOR,W 31-17,,2,55,27.50,0,,,0,0,,0,0,0
27,1990,1990-11-22,11,24.047,WAS,@,DAL,L 17-27,,0,0,,0,,,,,,,,
28,1990,1990-12-02,12,24.057,WAS,,MIA,W 42-20,,2,16,8.00,1,,,0,0,,0,1,6
29,1990,1990-12-09,13,24.064,WAS,,CHI,W 10-9,,1,9,9.00,0,,,0,0,,0,0,0
30,1990,1990-12-15,14,24.070,WAS,@,NWE,W 25-10,,0,0,,0,,,,,,,,
31,1990,1990-12-22,15,24.077,WAS,@,IND,L 28-35,,1,11,11.00,0,,,0,0,,0,0,0
32,1990,1990-12-30,16,24.085,WAS,,BUF,W 29-14,,0,0,,0,,,,,,,,
33,1991,1991-09-01,1,24.330,WAS,,DET,W 45-0,,1,4,4.00,1,,,0,0,,0,1,6
34,1991,1991-09-09,2,24.338,WAS,@,DAL,W 33-31,,1,3,3.00,1,,,0,0,,0,1,6
35,1991,1991-09-15,3,24.344,WAS,,PHO,W 34-0,,0,0,,0,,,,,,,,
36,1991,1991-09-22,4,24.351,WAS,@,CIN,W 34-27,,0,0,,0,,,,,,,,
37,1991,1991-09-30,5,24.359,WAS,,PHI,W 23-0,,1,0,0.00,0,,,0,0,,0,0,0
38,1991,1991-10-06,6,25.000,WAS,@,CHI,W 20-7,,0,0,,0,,,,,,,,
39,1992,1992-09-06,1,25.336,DET,@,CHI,L 24-27,,0,0,,0,0.0%,,0,0,,0,,
40,1992,1992-09-13,2,25.343,DET,,MIN,W 31-17,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0
41,1992,1992-09-20,3,25.350,DET,@,WAS,L 10-13,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
42,1992,1992-09-27,4,25.357,DET,,TAM,L 23-27,,0,0,,0,0.0%,,1,0,0.00,0,0,0
43,1992,1992-10-04,5,25.364,DET,,NOR,L 7-13,,0,0,,0,0.0%,,0,0,,0,,
44,1992,1992-10-15,6,26.009,DET,@,MIN,L 14-31,1,0,0,,0,0.0%,0.00,0,0,,0,,
45,1992,1992-10-25,7,26.019,DET,@,TAM,W 38-7,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0
46,1992,1992-11-01,8,26.026,DET,,GNB,L 13-27,1,0,0,,0,0.0%,0.00,0,0,,0,,
47,1992,1992-11-08,9,26.033,DET,,DAL,L 3-37,,0,0,,0,0.0%,,0,0,,0,,
48,1992,1992-11-15,10,26.040,DET,@,PIT,L 14-17,,0,0,,0,0.0%,,0,0,,0,,
49,1992,1992-11-22,11,26.047,DET,@,CIN,W 19-13,,0,0,,0,0.0%,,0,0,,0,,
50,1992,1992-11-26,12,26.051,DET,,HOU,L 21-24,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0
51,1992,1992-12-06,13,26.061,DET,@,GNB,L 10-38,,0,0,,0,0.0%,,0,0,,0,,
52,1992,1992-12-13,14,26.068,DET,,CLE,W 24-14,,0,0,,0,0.0%,,0,0,,0,,
53,1992,1992-12-20,15,26.075,DET,,CHI,W 16-3,,0,0,,0,0.0%,,0,0,,0,,
54,1992,1992-12-28,16,26.083,DET,@,SFO,L 6-24,,0,0,,0,0.0%,,0,0,,0,,
55,1993,1993-10-17,6,27.011,DET,,SEA,W 30-10,1,0,0,,0,0.0%,0.00,,,,,,
56,1993,1993-10-24,7,27.018,DET,@,RAM,W 16-13,,0,0,,0,0.0%,,,,,,,
57,1993,1993-10-31,8,27.025,DET,@,MIN,W 30-27,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0
58,1993,1993-11-07,9,27.032,DET,,TAM,W 23-0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0
59,1993,1993-11-21,10,27.046,DET,@,GNB,L 17-26,1,0,0,,0,0.0%,0.00,,,,,,
60,1993,1993-11-25,11,27.050,DET,,CHI,L 6-10,,0,0,,0,0.0%,,,,,,,
61,1994,1994-10-23,7,28.017,KAN,,SEA,W 38-23,1,0,0,,0,0.0%,0.00,,,,,,
62,1994,1994-11-13,10,28.038,KAN,,SDG,L 13-14,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0
63,1994,1994-11-20,11,28.045,KAN,,CLE,W 20-13,,0,0,,0,0.0%,,,,,,,
64,1994,1994-11-27,12,28.052,KAN,@,SEA,L 9-10,,0,0,,0,0.0%,,,,,,,
65,1994,1994-12-04,13,28.059,KAN,,DEN,L 17-20,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
66,1994,1994-12-12,14,28.067,KAN,@,MIA,L 28-45,1,0,0,,0,0.0%,0.00,,,,,,
67,1994,1994-12-18,15,28.073,KAN,,HOU,W 31-9,0,0,0,,0,0.0%,,,,,,,
68,1995,1995-09-03,1,28.332,PHI,,TAM,L 6-21,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0
69,1995,1995-09-10,2,28.339,PHI,@,ARI,W 31-19,,0,0,,0,0.0%,,,,,,,
70,1995,1995-09-17,3,28.346,PHI,,SDG,L 21-27,,0,0,,0,0.0%,,,,,,,
71,1995,1995-09-24,4,28.353,PHI,@,OAK,L 17-48,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
72,1995,1995-10-01,5,28.360,PHI,@,NOR,W 15-10,,0,0,,0,0.0%,,,,,,,
73,1995,1995-10-08,6,29.002,PHI,,WAS,W 37-34,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0
74,1995,1995-10-15,7,29.009,PHI,@,NYG,W 17-14,,0,0,,0,0.0%,,,,,,,
75,1995,1995-10-29,8,29.023,PHI,,STL,W 20-9,,0,0,,0,0.0%,,,,,,,
76,1995,1995-11-06,9,29.031,PHI,@,DAL,L 12-34,,0,0,,0,0.0%,,,,,,,
77,1995,1995-11-12,10,29.037,PHI,,DEN,W 31-13,,0,0,,0,0.0%,,,,,,,
78,1995,1995-11-19,11,29.044,PHI,,NYG,W 28-19,0,0,0,,0,0.0%,,,,,,,
79,1995,1995-11-26,12,29.051,PHI,@,WAS,W 14-7,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0
80,1995,1995-12-03,13,29.058,PHI,@,SEA,L 14-26,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0
81,1995,1995-12-10,14,29.065,PHI,,DAL,W 20-17,,0,0,,0,0.0%,,,,,,,
82,1995,1995-12-17,15,29.072,PHI,,ARI,W 21-20,,0,0,,0,0.0%,,,,,,,
83,1995,1995-12-24,16,29.079,PHI,@,CHI,L 14-20,,0,0,,0,0.0%,,,,,,,
84,1996,1996-09-01,1,29.331,PHI,@,WAS,W 17-14,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0
85,1996,1996-09-09,2,29.339,PHI,@,GNB,L 13-39,1,0,0,,0,0.0%,0.00,,,,,,
86,1996,1996-09-15,3,29.345,PHI,,DET,W 24-17,,0,0,,0,0.0%,,,,,,,
87,1996,1996-09-22,4,29.352,PHI,@,ATL,W 33-18,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0
88,1996,1996-09-30,5,29.360,PHI,,DAL,L 19-23,,0,0,,0,0.0%,,,,,,,
89,1996,1996-10-13,6,30.007,PHI,@,NYG,W 19-10,1,0,0,,0,0.0%,0.00,,,,,,
90,1996,1996-10-20,7,30.014,PHI,,MIA,W 35-28,,0,0,,0,0.0%,,,,,,,
91,1996,1996-10-27,8,30.021,PHI,,CAR,W 20-9,1,1,26,26.00,0,100.0%,26.00,0,0,,0,0,0
92,1996,1996-11-03,9,30.028,PHI,@,DAL,W 31-21,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0
93,1996,1996-11-10,10,30.035,PHI,,BUF,L 17-24,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0
