ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1981,1981-11-08,10,24.287,KAN,,CHI,L 13-16,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,6,233,38.83,0
2,1981,1981-11-15,11,24.294,KAN,,HOU,W 23-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,198,39.60,0
3,1981,1981-11-22,12,24.301,KAN,,SEA,W 40-13,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,49,49.00,0
4,1981,1981-11-26,13,24.305,KAN,@,DET,L 10-27,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,187,37.40,0
5,1981,1981-12-06,14,24.315,KAN,@,DEN,L 13-16,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,176,44.00,0
6,1981,1981-12-13,15,24.322,KAN,,MIA,L 7-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,206,41.20,0
7,1981,1981-12-20,16,24.329,KAN,@,MIN,W 10-6,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,92,30.67,0
8,1982,1982-09-12,1,25.230,KAN,@,BUF,L 9-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,147,36.75,0
9,1982,1982-09-19,2,25.237,KAN,,SDG,W 19-12,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,150,50.00,0
10,1982,1982-11-21,3,25.300,KAN,@,NOR,L 17-27,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,83,41.50,0
11,1982,1982-11-28,4,25.307,KAN,@,RAM,L 14-20,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,6,246,41.00,0
12,1982,1982-12-05,5,25.314,KAN,@,PIT,L 14-35,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,6,264,44.00,0
13,1982,1982-12-12,6,25.321,KAN,,RAI,L 16-21,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,150,37.50,0
14,1982,1982-12-26,8,25.335,KAN,,SFO,L 13-26,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,210,42.00,0
15,1982,1983-01-02,9,25.342,KAN,,NYJ,W 37-13,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,116,38.67,0
16,1983,1983-09-04,1,26.222,CLE,,MIN,L 21-27,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,219,43.80,0
17,1983,1983-09-11,2,26.229,CLE,@,DET,W 31-26,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,143,35.75,0
18,1983,1983-09-15,3,26.233,CLE,,CIN,W 17-7,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,175,43.75,0
19,1983,1983-09-25,4,26.243,CLE,@,SDG,W 30-24,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,175,43.75,0
20,1983,1983-10-02,5,26.250,CLE,,SEA,L 9-24,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,174,34.80,0
21,1983,1983-10-09,6,26.257,CLE,,NYJ,W 10-7,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,210,42.00,0
22,1983,1983-10-16,7,26.264,CLE,@,PIT,L 17-44,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,133,44.33,0
23,1983,1983-10-23,8,26.271,CLE,@,CIN,L 21-28,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,6,282,47.00,0
24,1983,1983-10-30,9,26.278,CLE,,HOU,W 25-19,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,7,268,38.29,0
25,1983,1983-11-06,10,26.285,CLE,@,GNB,L 21-35,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,165,41.25,0
26,1983,1983-11-13,11,26.292,CLE,,TAM,W 20-0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,153,38.25,0
27,1983,1983-11-20,12,26.299,CLE,@,NWE,W 30-0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,6,250,41.67,0
28,1983,1983-11-27,13,26.306,CLE,,BAL,W 41-23,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,170,42.50,0
29,1983,1983-12-04,14,26.313,CLE,@,DEN,L 6-27,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,159,53.00,0
30,1983,1983-12-11,15,26.320,CLE,@,HOU,L 27-34,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,77,38.50,0
31,1983,1983-12-18,16,26.327,CLE,,PIT,W 30-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,101,25.25,0
32,1985,1985-09-08,1,28.226,CLE,,STL,L 24-27,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,6,275,45.83,0
33,1985,1985-09-16,2,28.234,CLE,,PIT,W 17-7,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,9,302,33.56,0
34,1985,1985-09-22,3,28.240,CLE,@,DAL,L 7-20,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,5,192,38.40,0
35,1985,1985-09-29,4,28.247,CLE,@,SDG,W 21-7,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,143,35.75,0
36,1985,1985-10-06,5,28.254,CLE,,NWE,W 24-20,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,67,33.50,0
37,1985,1985-10-13,6,28.261,CLE,@,HOU,W 21-6,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,5,221,44.20,0
38,1985,1985-10-20,7,28.268,CLE,,RAI,L 20-21,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,8,286,35.75,0
39,1985,1985-10-27,8,28.275,CLE,,WAS,L 7-14,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,168,42.00,0
40,1985,1985-11-03,9,28.282,CLE,@,PIT,L 9-10,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,152,38.00,0
41,1985,1985-11-10,10,28.289,CLE,@,CIN,L 10-27,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,5,213,42.60,0
