ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
42,1985,1985-11-17,11,28.296,CLE,,BUF,W 17-7,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,6,255,42.50,0
43,1985,1985-11-24,12,28.303,CLE,,CIN,W 24-6,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,88,44.00,0
44,1985,1985-12-01,13,28.310,CLE,@,NYG,W 35-33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,7,275,39.29,0
45,1985,1985-12-08,14,28.317,CLE,@,SEA,L 13-31,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,192,48.00,0
46,1985,1985-12-15,15,28.324,CLE,,HOU,W 28-21,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,6,255,42.50,0
47,1985,1985-12-22,16,28.331,CLE,@,NYJ,L 10-37,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,4,177,44.25,0
48,1986,1986-09-07,1,29.225,CLE,@,CHI,L 31-41,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,3,146,48.67,0
49,1986,1986-09-14,2,29.232,CLE,@,HOU,W 23-20,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,8,321,40.13,0
50,1986,1986-09-18,3,29.236,CLE,,CIN,L 13-30,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,5,190,38.00,0
51,1986,1986-09-28,4,29.246,CLE,,DET,W 24-21,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,185,46.25,0
52,1986,1986-10-05,5,29.253,CLE,@,PIT,W 27-24,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,3,85,28.33,0
53,1986,1986-10-12,6,29.260,CLE,,KAN,W 20-7,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,5,220,44.00,0
54,1986,1986-10-19,7,29.267,CLE,,GNB,L 14-17,0,0,,0,1,1,100.00,30,0,0,118.7,0,0,30.00,30.00,0,0,,0,5,205,41.00,0
55,1986,1986-10-26,8,29.274,CLE,@,MIN,W 23-20,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,5,240,48.00,0
56,1986,1986-11-02,9,29.281,CLE,@,IND,W 24-9,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,6,275,45.83,0
57,1986,1986-11-10,10,29.289,CLE,,MIA,W 26-16,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,1,46,46.00,0
58,1986,1986-11-16,11,29.295,CLE,@,RAI,L 14-27,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,10,457,45.70,0
59,1986,1986-11-23,12,29.302,CLE,,PIT,W 37-31,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,3,137,45.67,0
60,1986,1986-11-30,13,29.309,CLE,,HOU,W 13-10,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,8,251,31.38,0
61,1986,1986-12-07,14,29.316,CLE,@,BUF,W 21-17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,8,291,36.38,0
62,1986,1986-12-14,15,29.323,CLE,@,CIN,W 34-3,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,6,248,41.33,0
63,1986,1986-12-21,16,29.330,CLE,,SDG,W 47-17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,3,126,42.00,0
64,1987,1987-09-13,1,30.231,CLE,@,NOR,L 21-28,,,,,,,,,,,,,,,,,,,,0,0,,
65,1987,1987-09-20,2,30.238,CLE,,PIT,W 34-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,6,245,40.83,0
66,1987,1987-10-18,5,30.266,CLE,@,CIN,W 34-0,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,44,44.00,0
67,1987,1987-10-26,6,30.274,CLE,,RAM,W 30-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,5,178,35.60,0
68,1987,1987-11-01,7,30.280,CLE,@,SDG,L 24-27,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,7,302,43.14,0
69,1987,1987-12-06,12,30.315,HOU,,SDG,W 33-18,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,7,295,42.14,0
70,1987,1987-12-13,13,30.322,HOU,@,NOR,L 10-24,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,7,261,37.29,1
71,1987,1987-12-20,14,30.329,HOU,,PIT,W 24-16,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,7,294,42.00,0
72,1987,1987-12-27,15,30.336,HOU,,CIN,W 21-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,158,39.50,0
73,1988,1988-09-04,1,31.223,RAI,,SDG,W 24-13,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,236,39.33,0
74,1988,1988-09-11,2,31.230,RAI,@,HOU,L 35-38,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,7,290,41.43,0
75,1988,1988-09-18,3,31.237,RAI,,RAM,L 17-22,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,201,40.20,0
76,1988,1988-09-26,4,31.245,RAI,@,DEN,W 30-27,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,9,403,44.78,0
77,1988,1988-10-02,5,31.251,RAI,,CIN,L 21-45,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,119,39.67,0
78,1988,1988-10-09,6,31.258,RAI,,MIA,L 14-24,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,240,48.00,0
79,1988,1988-10-16,7,31.265,RAI,@,KAN,W 27-17,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,8,353,44.13,0
80,1988,1988-10-23,8,31.272,RAI,@,NOR,L 6-20,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,7,277,39.57,0
81,1988,1988-10-30,9,31.279,RAI,,KAN,W 17-10,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,1,54,54.00,0
82,1988,1988-11-06,10,31.286,RAI,@,SDG,W 13-3,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,230,38.33,0
83,1988,1988-11-13,11,31.293,RAI,@,SFO,W 9-3,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,234,39.00,0
84,1988,1988-11-20,12,31.300,RAI,,ATL,L 6-12,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,192,38.40,0
85,1988,1988-11-28,13,31.308,RAI,@,SEA,L 27-35,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,266,44.33,0
86,1988,1988-12-04,14,31.314,RAI,,DEN,W 21-20,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,9,382,42.44,0
87,1988,1988-12-11,15,31.321,RAI,@,BUF,L 21-37,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,113,37.67,0
88,1988,1988-12-18,16,31.328,RAI,,SEA,L 37-43,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,214,42.80,0
89,1989,1989-09-10,1,32.228,RAI,,SDG,W 40-14,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,2,90,45.00,0
90,1989,1989-09-17,2,32.235,RAI,@,KAN,L 19-24,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,2,58,29.00,0
91,1989,1989-09-24,3,32.242,RAI,@,DEN,L 21-31,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,138,46.00,0
92,1989,1989-10-01,4,32.249,RAI,,SEA,L 20-24,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,4,137,34.25,0
93,1989,1989-10-09,5,32.257,RAI,@,NYJ,W 14-7,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,7,259,37.00,0
94,1989,1989-10-15,6,32.263,RAI,,KAN,W 20-14,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,4,198,49.50,0
95,1989,1989-10-22,7,32.270,RAI,@,PHI,L 7-10,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,4,156,39.00,0
96,1989,1989-10-29,8,32.277,RAI,,WAS,W 37-24,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,5,204,40.80,0
97,1989,1989-11-05,9,32.284,RAI,,CIN,W 28-7,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,214,42.80,0
98,1989,1989-11-12,10,32.291,RAI,@,SDG,L 12-14,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,4,139,34.75,0
99,1989,1989-11-19,11,32.298,RAI,@,HOU,L 7-23,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,4,169,42.25,0
100,1989,1989-11-26,12,32.305,RAI,,NWE,W 24-21,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,7,266,38.00,0
101,1989,1989-12-03,13,32.312,RAI,,DEN,W 16-13,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,236,47.20,0
102,1989,1989-12-10,14,32.319,RAI,,PHO,W 16-14,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,119,39.67,0
103,1989,1989-12-17,15,32.326,RAI,@,SEA,L 17-23,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,124,41.33,0
104,1989,1989-12-24,16,32.333,RAI,@,NYG,L 17-34,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,204,40.80,0
105,1990,1990-09-09,1,33.227,RAI,,DEN,W 14-9,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,7,285,40.71,0
106,1990,1990-09-16,2,33.234,RAI,@,SEA,W 17-13,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,2,85,42.50,0
107,1990,1990-09-23,3,33.241,RAI,,PIT,W 20-3,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,106,35.33,0
108,1990,1990-09-30,4,33.248,RAI,,CHI,W 24-10,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,104,34.67,0
109,1990,1990-10-07,5,33.255,RAI,@,BUF,L 24-38,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,2,58,29.00,1
110,1990,1990-10-14,6,33.262,RAI,,SEA,W 24-17,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,126,42.00,0
111,1990,1990-10-21,7,33.269,RAI,@,SDG,W 24-9,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,125,41.67,0
112,1990,1990-11-04,8,33.283,RAI,@,KAN,L 7-9,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,8,321,40.13,1
113,1990,1990-11-11,9,33.290,RAI,,GNB,L 16-29,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,190,38.00,0
114,1990,1990-11-19,10,33.298,RAI,@,MIA,W 13-10,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,109,36.33,0
115,1990,1990-11-25,11,33.304,RAI,,KAN,L 24-27,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,2,84,42.00,0
116,1990,1990-12-02,12,33.311,RAI,@,DEN,W 23-20,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,4,150,37.50,0
117,1990,1990-12-10,13,33.319,RAI,@,DET,W 38-31,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,141,47.00,0
118,1990,1990-12-16,14,33.325,RAI,,CIN,W 24-7,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,162,32.40,0
119,1990,1990-12-22,15,33.331,RAI,@,MIN,W 28-24,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,108,36.00,0
120,1990,1990-12-30,16,33.339,RAI,,SDG,W 17-12,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,4,161,40.25,0
121,1991,1991-09-01,1,34.219,RAI,@,HOU,L 17-47,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,122,40.67,0
122,1991,1991-09-08,2,34.226,RAI,,DEN,W 16-13,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,4,163,40.75,0
123,1991,1991-09-15,3,34.233,RAI,,IND,W 16-0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,222,44.40,0
124,1991,1991-09-22,4,34.240,RAI,@,ATL,L 17-21,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,7,317,45.29,0
125,1991,1991-09-29,5,34.247,RAI,,SFO,W 12-6,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,122,40.67,0
126,1991,1991-10-06,6,34.254,RAI,,SDG,L 13-21,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,2,87,43.50,0
127,1991,1991-10-13,7,34.261,RAI,@,SEA,W 23-20,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,141,47.00,0
128,1991,1991-10-20,8,34.268,RAI,,RAM,W 20-17,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,153,51.00,0
129,1991,1991-10-28,9,34.276,RAI,@,KAN,L 21-24,0,0,,0,1,1,100.00,34,0,0,118.7,0,0,34.00,34.00,0,0,,0,3,146,48.67,0
130,1991,1991-11-10,10,34.289,RAI,@,DEN,W 17-16,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,300,50.00,0
131,1991,1991-11-17,11,34.296,RAI,,SEA,W 31-7,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,135,45.00,0
132,1991,1991-11-24,12,34.303,RAI,@,CIN,W 38-14,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,4,182,45.50,0
133,1991,1991-12-01,13,34.310,RAI,@,SDG,W 9-7,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,212,35.33,0
134,1991,1991-12-08,14,34.317,RAI,,BUF,L 27-30,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,280,46.67,0
135,1991,1991-12-16,15,34.325,RAI,@,NOR,L 0-27,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,280,46.67,0
136,1991,1991-12-22,16,34.331,RAI,,KAN,L 21-27,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,99,33.00,0
137,1992,1992-09-06,1,35.225,RAI,@,DEN,L 13-17,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,204,40.80,0
138,1992,1992-09-13,2,35.232,RAI,@,CIN,L 21-24,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,2,97,48.50,0
139,1992,1992-09-20,3,35.239,RAI,,CLE,L 16-28,1,-12,-12.00,0,0,0,,0,0,0,,,0,,,0,0,,0,3,140,46.67,0
140,1992,1992-09-28,4,35.247,RAI,@,KAN,L 7-27,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,264,44.00,0
141,1992,1992-10-04,5,35.253,RAI,,NYG,W 13-10,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,2,88,44.00,0
142,1992,1992-10-11,6,35.260,RAI,,BUF,W 20-3,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,245,40.83,0
143,1992,1992-10-18,7,35.267,RAI,@,SEA,W 19-0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,10,427,42.70,0
144,1992,1992-10-25,8,35.274,RAI,,DAL,L 13-28,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,270,45.00,0
145,1992,1992-11-08,9,35.288,RAI,@,PHI,L 10-31,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,186,37.20,0
146,1992,1992-11-15,10,35.295,RAI,,SEA,W 20-3,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,7,309,44.14,0
147,1992,1992-11-22,11,35.302,RAI,,DEN,W 24-0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,4,165,41.25,0
148,1992,1992-11-29,12,35.309,RAI,@,SDG,L 3-27,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,1,45,45.00,0
149,1992,1992-12-06,13,35.316,RAI,,KAN,W 28-7,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,213,42.60,0
150,1992,1992-12-14,14,35.324,RAI,@,MIA,L 7-20,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,247,41.17,0
151,1992,1992-12-20,15,35.330,RAI,,SDG,L 14-36,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,266,44.33,0
152,1992,1992-12-26,16,35.336,RAI,@,WAS,W 21-20,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,89,29.67,0
153,1993,1993-09-05,1,36.223,RAI,,MIN,W 24-7,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,2,97,48.50,0
154,1993,1993-09-12,2,36.230,RAI,@,SEA,W 17-13,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,7,277,39.57,0
155,1993,1993-09-19,3,36.237,RAI,,CLE,L 16-19,1,-10,-10.00,0,0,0,,0,0,0,,,0,,,0,0,,0,8,350,43.75,0
156,1993,1993-10-03,4,36.251,RAI,@,KAN,L 9-24,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,243,48.60,0
157,1993,1993-10-10,5,36.258,RAI,,NYJ,W 24-20,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,146,48.67,0
158,1993,1993-10-18,6,36.266,RAI,@,DEN,W 23-20,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,220,44.00,0
159,1993,1993-10-31,7,36.279,RAI,,SDG,L 23-30,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,2,76,38.00,0
160,1993,1993-11-07,8,36.286,RAI,@,CHI,W 16-14,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,214,35.67,0
161,1993,1993-11-14,9,36.293,RAI,,KAN,L 20-31,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,213,42.60,0
162,1993,1993-11-21,10,36.300,RAI,@,SDG,W 12-7,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,2,58,29.00,0
163,1993,1993-11-28,11,36.307,RAI,@,CIN,L 10-16,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,4,174,43.50,0
164,1993,1993-12-05,12,36.314,RAI,@,BUF,W 25-24,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,122,40.67,0
165,1993,1993-12-12,13,36.321,RAI,,SEA,W 27-23,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,1,48,48.00,0
166,1993,1993-12-19,14,36.328,RAI,,TAM,W 27-20,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,207,41.40,0
167,1993,1993-12-26,15,36.335,RAI,@,GNB,L 0-28,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,9,333,37.00,0
168,1993,1994-01-02,16,36.342,RAI,,DEN,W 33-30,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,4,193,48.25,0
169,1994,1994-09-05,1,37.223,RAI,@,SFO,L 14-44,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,234,46.80,0
170,1994,1994-09-11,2,37.229,RAI,,SEA,L 9-38,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,129,43.00,0
171,1994,1994-09-18,3,37.236,RAI,@,DEN,W 48-16,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,254,50.80,0
172,1994,1994-09-25,4,37.243,RAI,,SDG,L 24-26,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,150,50.00,0
173,1994,1994-10-09,5,37.257,RAI,@,NWE,W 21-17,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,203,40.60,0
174,1994,1994-10-16,6,37.264,RAI,@,MIA,L 17-20,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,9,345,38.33,0
175,1994,1994-10-23,7,37.271,RAI,,ATL,W 30-17,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,1,53,53.00,0
176,1994,1994-10-30,8,37.278,RAI,,HOU,W 17-14,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,231,46.20,0
177,1994,1994-11-06,9,37.285,RAI,@,KAN,L 3-13,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,7,314,44.86,0
178,1994,1994-11-13,10,37.292,RAI,@,RAM,W 20-17,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,2,89,44.50,0
179,1994,1994-11-20,11,37.299,RAI,,NOR,W 24-19,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,3,139,46.33,0
180,1994,1994-11-27,12,37.306,RAI,,PIT,L 3-21,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,262,43.67,0
181,1994,1994-12-05,13,37.314,RAI,@,SDG,W 24-17,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,5,182,36.40,0
182,1994,1994-12-11,14,37.320,RAI,,DEN,W 23-13,0,0,,0,0,0,,0,0,0,,,0,,,0,0,,0,6,248,41.33,0
