ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2003,2003-09-14,2,23.088,SDG,,DEN,L 13-37,,0,,,,,0.0%,,,,,,,
2,2003,2003-09-21,3,23.095,SDG,,BAL,L 10-24,,0,,,,,0.0%,,,,,,,
3,2003,2003-09-28,4,23.102,SDG,@,OAK,L 31-34,,2,2,30,15.00,0,100.0%,15.00,,0,0,0.0,,
4,2003,2003-10-05,5,23.109,SDG,@,JAX,L 21-27,*,1,1,8,8.00,0,100.0%,8.00,,0,0,0.0,,
5,2003,2003-10-19,6,23.123,SDG,@,CLE,W 26-20,*,2,,,,,0.0%,,,,,,,
6,2003,2003-10-27,7,23.131,SDG,,MIA,L 10-26,,,,,,,0.0%,,,,,,,
7,2003,2003-11-02,8,23.137,SDG,@,CHI,L 7-20,*,0,,,,,0.0%,,,,,,,
8,2003,2003-11-09,9,23.144,SDG,,MIN,W 42-28,*,4,3,55,18.33,1,75.0%,13.75,,1,6,0.0,,
9,2003,2003-11-16,10,23.151,SDG,@,DEN,L 8-37,*,1,,,,,0.0%,,,,,,,
10,2003,2003-11-23,11,23.158,SDG,,CIN,L 27-34,*,2,1,12,12.00,0,50.0%,6.00,,0,0,0.0,,
11,2003,2003-11-30,12,23.165,SDG,,KAN,L 24-28,*,5,3,49,16.33,1,60.0%,9.80,,1,6,0.0,,
12,2003,2003-12-07,13,23.172,SDG,@,DET,W 14-7,*,3,2,18,9.00,0,66.7%,6.00,,0,0,0.0,,
13,2003,2003-12-14,14,23.179,SDG,,GNB,L 21-38,*,11,5,117,23.40,0,45.5%,10.64,,0,0,0.0,,
14,2003,2003-12-21,15,23.186,SDG,@,PIT,L 24-40,*,8,5,64,12.80,0,62.5%,8.00,,0,0,0.0,,
15,2003,2003-12-28,16,23.193,SDG,,OAK,W 21-14,*,3,2,36,18.00,0,66.7%,12.00,,0,0,0.0,,
16,2004,2004-09-12,1,24.086,SDG,@,HOU,W 27-20,*,8,8,123,15.38,0,100.0%,15.38,,0,0,0.0,,
17,2004,2004-09-19,2,24.093,SDG,,NYJ,L 28-34,*,10,4,39,9.75,0,40.0%,3.90,,0,0,0.0,,
