ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1986,1986-11-09,10,24.017,CHI,@,TAM,W 23-3,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,-1,-1.00,0,,,,,,,0,0
2,1986,1986-12-07,14,24.045,CHI,,TAM,W 48-14,,2,7,28.57,79,1,0,113.7,0,0,11.29,14.14,2,7,3.50,1,,,,,,,1,6
3,1986,1986-12-15,15,24.053,CHI,@,DET,W 16-13,,13,24,54.17,130,0,1,52.4,3,18,5.42,3.54,5,11,2.20,0,,,,,,,0,0
4,1986,1986-12-21,16,24.059,CHI,@,DAL,W 24-10,*,8,14,57.14,152,2,1,104.8,3,12,10.86,10.50,1,19,19.00,0,,,,,,,0,0
5,1987,1987-09-20,2,24.332,CHI,,TAM,W 20-3,,,,,,,,,,,,,,,,,,,,,,,,
6,1987,1987-10-18,5,24.360,NWE,@,HOU,W 21-7,*,15,25,60.00,199,1,0,98.6,1,3,7.96,8.76,6,43,7.17,0,,,,,,,0,0
7,1988,1988-10-02,5,25.345,NWE,,IND,W 21-17,,12,16,75.00,132,1,1,93.7,1,10,8.25,6.69,3,18,6.00,1,,,,,,,1,6
8,1988,1988-10-09,6,25.352,NWE,@,GNB,L 3-45,*,17,33,51.52,163,0,3,27.7,1,4,4.94,0.85,4,20,5.00,0,,,,,,,0,0
9,1988,1988-10-16,7,25.359,NWE,,CIN,W 27-21,*,10,14,71.43,165,0,0,110.7,2,12,11.79,11.79,7,36,5.14,0,,,,,,,0,0
10,1988,1988-10-23,8,26.000,NWE,@,BUF,L 20-23,*,5,16,31.25,58,1,0,64.1,2,11,3.63,4.88,1,9,9.00,0,,,,,,,0,0
11,1988,1988-10-30,9,26.007,NWE,,CHI,W 30-7,*,6,18,33.33,165,4,0,107.6,0,0,9.17,13.61,3,10,3.33,0,,,,,,,0,0
12,1988,1988-11-06,10,26.014,NWE,,MIA,W 21-10,*,7,14,50.00,74,1,1,59.8,0,0,5.29,3.50,3,17,5.67,0,,,,,,,0,0
13,1988,1988-11-13,11,26.021,NWE,@,NYJ,W 14-13,*,6,20,30.00,78,1,2,20.4,0,0,3.90,0.40,5,27,5.40,0,,,,,,,0,0
14,1988,1988-11-20,12,26.028,NWE,@,MIA,W 6-3,*,9,13,69.23,78,0,0,84.8,2,12,6.00,6.00,5,28,5.60,0,,,,,,,0,0
15,1988,1988-11-27,13,26.035,NWE,@,IND,L 21-24,*,15,24,62.50,190,0,1,69.8,2,10,7.92,6.04,2,16,8.00,0,,,,,,,0,0
16,1988,1988-12-04,14,26.042,NWE,,SEA,W 13-7,*,5,10,50.00,47,0,1,23.7,1,6,4.70,0.20,5,-2,-0.40,0,,,,,,,0,0
17,1988,1988-12-17,16,26.055,NWE,@,DEN,L 10-21,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,,,,,,,0,0
18,1989,1989-10-01,4,26.343,NWE,@,BUF,L 10-31,*,15,41,36.59,176,1,1,48.4,2,21,4.29,3.68,7,43,6.14,0,,,,,,,0,0
19,1989,1989-10-08,5,26.350,NWE,,HOU,W 23-13,*,9,18,50.00,145,0,0,77.3,1,7,8.06,8.06,6,24,4.00,0,,,,,,,0,0
20,1989,1989-10-15,6,26.357,NWE,@,ATL,L 15-16,*,12,30,40.00,172,1,3,30.8,3,24,5.73,1.90,2,11,5.50,0,,,,,,,0,0
21,1989,1989-11-26,12,27.034,NWE,@,RAI,L 21-24,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0
22,1989,1989-12-03,13,27.041,NWE,,IND,W 22-16,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,9,9.00,0,,,,,,,0,0
23,1998,1998-09-06,1,35.318,BUF,@,SDG,L 14-16,,12,20,60.00,158,2,1,97.5,2,15,7.90,7.65,3,8,2.67,0,,,,,,,0,0
24,1998,1998-09-20,3,35.332,BUF,,STL,L 33-34,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0
25,1998,1998-10-11,5,35.353,BUF,@,IND,W 31-24,,23,28,82.14,213,2,0,122.2,0,0,7.61,9.04,3,23,7.67,0,,,,,,,0,0
26,1998,1998-10-18,6,35.360,BUF,,JAX,W 17-16,*,18,39,46.15,228,1,0,73.5,1,1,5.85,6.36,3,22,7.33,1,,,,,,,1,6
27,1998,1998-10-25,7,36.002,BUF,@,CAR,W 30-14,*,18,22,81.82,282,2,1,130.1,0,0,12.82,12.59,5,27,5.40,0,,,,,,,0,0
28,1998,1998-11-01,8,36.009,BUF,,MIA,W 30-24,*,15,26,57.69,206,3,1,105.6,1,9,7.92,8.50,2,9,4.50,0,,,,,,,0,0
29,1998,1998-11-08,9,36.016,BUF,@,NYJ,L 12-34,*,12,30,40.00,154,0,2,29.0,2,20,5.13,2.13,3,2,0.67,0,,,,,,,0,0
30,1998,1998-11-15,10,36.023,BUF,,NWE,W 13-10,*,14,26,53.85,178,1,2,56.3,0,0,6.85,4.15,11,49,4.45,0,,,,,,,0,0
31,1998,1998-11-22,11,36.030,BUF,,IND,W 34-11,*,20,28,71.43,230,2,0,119.6,1,8,8.21,9.64,2,10,5.00,0,,,,,,,0,0
32,1998,1998-11-29,12,36.037,BUF,@,NWE,L 21-25,*,21,39,53.85,339,2,0,100.3,1,10,8.69,9.72,5,30,6.00,0,,,,,,,0,0
33,1998,1998-12-06,13,36.044,BUF,@,CIN,W 33-20,*,18,30,60.00,319,2,3,79.0,2,10,10.63,7.47,5,21,4.20,0,,,,,,,0,0
34,1998,1998-12-13,14,36.051,BUF,,OAK,W 44-21,*,17,26,65.38,184,2,0,111.7,1,2,7.08,8.62,3,20,6.67,0,,,,,,,0,0
35,1998,1998-12-19,15,36.057,BUF,,NYJ,L 10-17,*,14,38,36.84,220,1,1,54.7,0,0,5.79,5.13,3,27,9.00,0,,,,,,,0,0
36,1999,1999-09-12,1,36.324,BUF,@,IND,L 14-31,*,22,42,52.38,300,1,2,63.6,5,26,7.14,5.48,4,24,6.00,0,,,,,,,0,0
37,1999,1999-09-19,2,36.331,BUF,,NYJ,W 17-3,*,15,25,60.00,160,0,0,78.7,0,0,6.40,6.40,7,67,9.57,1,,,,,,,1,6
38,1999,1999-09-26,3,36.338,BUF,,PHI,W 26-0,*,18,26,69.23,175,1,1,84.6,0,0,6.73,5.77,5,32,6.40,0,,,,,,,0,0
39,1999,1999-10-04,4,36.346,BUF,@,MIA,W 23-18,*,12,25,48.00,186,1,0,86.4,1,9,7.44,8.24,9,29,3.22,0,,,,,,,0,0
40,1999,1999-10-10,5,36.352,BUF,,PIT,W 24-21,*,21,32,65.63,261,3,0,122.0,2,7,8.16,10.03,7,39,5.57,0,,,,,,,0,0
41,1999,1999-10-17,6,36.359,BUF,,OAK,L 14-20,*,19,41,46.34,210,1,3,39.7,1,9,5.12,2.32,3,23,7.67,0,,,,,,,0,0
42,1999,1999-10-24,7,37.001,BUF,@,SEA,L 16-26,*,24,50,48.00,294,2,2,63.2,3,40,5.88,4.88,6,43,7.17,0,,,,,,,0,0
43,1999,1999-10-31,8,37.008,BUF,@,BAL,W 13-10,*,18,40,45.00,155,1,3,32.8,3,17,3.88,1.00,8,50,6.25,0,,,,,,,0,0
44,1999,1999-11-07,9,37.015,BUF,@,WAS,W 34-17,*,16,22,72.73,211,2,0,133.0,1,2,9.59,11.41,5,40,8.00,0,,,,,,,0,0
45,1999,1999-11-14,10,37.022,BUF,,MIA,W 23-3,*,10,20,50.00,157,1,0,93.1,0,0,7.85,8.85,7,8,1.14,0,,,,,,,0,0
46,1999,1999-11-21,11,37.029,BUF,@,NYJ,L 7-17,*,22,40,55.00,220,1,2,58.3,2,15,5.50,3.75,3,34,11.33,0,,,,,,,0,0
47,1999,1999-11-28,12,37.036,BUF,,NWE,W 17-7,*,9,16,56.25,207,2,0,140.6,0,0,12.94,15.44,5,-7,-1.40,0,,,,,,,0,0
48,1999,1999-12-12,13,37.050,BUF,,NYG,L 17-19,*,15,32,46.88,184,1,1,62.5,3,23,5.75,4.97,6,25,4.17,0,,,,,,,0,0
49,1999,1999-12-19,14,37.057,BUF,@,ARI,W 31-21,*,21,32,65.63,239,2,2,82.7,2,22,7.47,5.91,7,25,3.57,0,,,,,,,0,0
50,1999,1999-12-26,15,37.064,BUF,@,NWE,W 13-10,*,22,35,62.86,212,0,0,79.7,3,6,6.06,6.06,6,44,7.33,0,,,,,,,0,0
51,2000,2000-10-08,5,37.351,BUF,@,MIA,L 13-22,,3,6,50.00,44,0,1,34.7,1,4,7.33,-0.17,0,0,,0,,,,,,,0,0
