ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2017,2017-10-01,4,23.145,HOU,,TEN,W 57-14,,0,0,0,,0,0.0%,,1,42,42.00,0,1,0,0.00,0
2,2017,2017-10-08,5,23.152,HOU,,KAN,L 34-42,,1,1,19,19.00,0,100.0%,19.00,2,51,25.50,0,0,0,,0
3,2017,2017-10-15,6,23.159,HOU,,CLE,W 33-17,,0,0,0,,0,0.0%,,2,38,19.00,0,2,18,9.00,0
4,2017,2017-10-29,7,23.173,HOU,@,SEA,L 38-41,,0,0,0,,0,0.0%,,4,76,19.00,0,0,0,,0
5,2017,2017-11-05,8,23.180,HOU,,IND,L 14-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
6,2017,2017-11-12,9,23.187,HOU,@,LAR,L 7-33,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
7,2017,2017-11-19,10,23.194,HOU,,ARI,W 31-21,,0,0,0,,0,0.0%,,1,20,20.00,0,0,0,,0
8,2017,2017-11-27,11,23.202,HOU,@,BAL,L 16-23,,0,0,0,,0,0.0%,,2,47,23.50,0,1,0,0.00,0
9,2017,2017-12-03,12,23.208,HOU,@,TEN,L 13-24,,2,1,11,11.00,0,50.0%,5.50,2,42,21.00,0,2,21,10.50,0
10,2017,2017-12-10,13,23.215,HOU,,SFO,L 16-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
11,2017,2017-12-17,14,23.222,HOU,@,JAX,L 7-45,,0,0,0,,0,0.0%,,2,25,12.50,0,0,0,,0
12,2017,2017-12-25,15,23.230,HOU,,PIT,L 6-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
13,2017,2017-12-31,16,23.236,HOU,@,IND,L 13-22,,3,3,54,18.00,0,100.0%,18.00,1,28,28.00,0,0,0,,0
