ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2003,2003-09-04,1,23.016,NYJ,@,WAS,L 13-16,,0,,,,,0.0%,,,,,,,,,,,,,,
2,2003,2003-09-14,2,23.026,NYJ,,MIA,L 10-21,,,,,,,0.0%,,,,,,,,,,,,,,
3,2003,2003-09-21,3,23.033,NYJ,@,NWE,L 16-23,,,,,,,0.0%,,,,,,,,,,,,,,
4,2003,2003-09-28,4,23.040,NYJ,,DAL,L 6-17,,,,,,,0.0%,,,,,,,,,,,,,,
5,2003,2003-10-12,5,23.054,NYJ,,BUF,W 30-3,,0,0,0,,0,0.0%,,2,9,4.50,0,0,0,,0,0,0,0.0,,
6,2003,2003-10-19,6,23.061,NYJ,@,HOU,W 19-14,,,,,,,0.0%,,,,,,,,,,,,,,
7,2003,2003-10-26,7,23.068,NYJ,@,PHI,L 17-24,,,,,,,0.0%,,,,,,,,,,,,,,
8,2003,2003-11-02,8,23.075,NYJ,,NYG,L 28-31,,,,,,,0.0%,,,,,,,,,,,,,,
9,2003,2003-11-09,9,23.082,NYJ,@,OAK,W 27-24,,,,,,,0.0%,,,,,,,,,,,,,,
10,2003,2003-11-16,10,23.089,NYJ,@,IND,L 31-38,,,,,,,0.0%,,,,,,,,,,,,,,
11,2003,2003-11-23,11,23.096,NYJ,,JAX,W 13-10,,0,,,,,0.0%,,,,,,,,,,,,,,
12,2003,2003-12-01,12,23.104,NYJ,,TEN,W 24-17,,0,,,,,0.0%,,,,,,,,,,,,,,
13,2003,2003-12-07,13,23.110,NYJ,@,BUF,L 6-17,,0,,,,,0.0%,,,,,,,,,,,,,,
14,2003,2003-12-14,14,23.117,NYJ,,PIT,W 6-0,,,,,,,0.0%,,,,,,,,,,,,,,
15,2003,2003-12-20,15,23.123,NYJ,,NWE,L 16-21,,0,0,0,,0,0.0%,,0,0,,0,1,27,27.00,0,0,0,0.0,,
16,2003,2003-12-28,16,23.131,NYJ,@,MIA,L 21-23,,,,,,,0.0%,,,,,,,,,,,,,,
17,2004,2004-09-12,1,24.024,NYJ,,CIN,W 31-24,,0,,,,,0.0%,,,,,,,,,,,,,,
18,2004,2004-09-19,2,24.031,NYJ,@,SDG,W 34-28,,0,,,,,0.0%,,,,,,,,,,,,,,
19,2004,2004-10-03,3,24.045,NYJ,@,MIA,W 17-9,,0,,,,,0.0%,,,,,,,,,,,,,,
20,2004,2004-10-10,4,24.052,NYJ,,BUF,W 16-14,,,,,,,0.0%,,,,,,,,,,,,,,
21,2004,2004-10-17,5,24.059,NYJ,,SFO,W 22-14,,,,,,,0.0%,,,,,,,,,,,,,,
22,2004,2004-10-24,6,24.066,NYJ,@,NWE,L 7-13,,0,0,0,,0,0.0%,,0,0,,0,1,13,13.00,0,0,0,0.0,,
23,2004,2004-11-01,7,24.074,NYJ,,MIA,W 41-14,,0,0,0,,0,0.0%,,6,23,3.83,0,0,0,,0,0,0,0.0,,
24,2004,2004-11-07,8,24.080,NYJ,@,BUF,L 17-22,,0,,,,,0.0%,,,,,,,,,,,,,,
25,2004,2004-11-14,9,24.087,NYJ,,BAL,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,1,5,5.00,0,0,0,0.0,,
26,2004,2004-11-21,10,24.094,NYJ,@,CLE,W 10-7,,0,,,,,0.0%,,,,,,,,,,,,,,
27,2004,2004-11-28,11,24.101,NYJ,@,ARI,W 13-3,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,0.0,,
28,2004,2004-12-05,12,24.108,NYJ,,HOU,W 29-7,,0,,,,,0.0%,,,,,,,,,,,,,,
29,2004,2004-12-12,13,24.115,NYJ,@,PIT,L 6-17,,0,,,,,0.0%,,,,,,,,,,,,,,
30,2004,2004-12-19,14,24.122,NYJ,,SEA,W 37-14,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,0.0,,
