ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1984,1984-09-16,3,23.294,NYJ,,CIN,W 43-23,,0,0,,0,0,0,,0,,,,1,-1,-1.00,0,,0,0,,0,,,0,0,,0
2,1984,1984-10-21,8,23.329,NYJ,,KAN,W 28-7,,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,1,-4,-4.00,0,,0,0,,0,,,0,0,,0
3,1984,1984-10-28,9,23.336,NYJ,@,NWE,L 20-30,,6,9,66.67,81,1,0,132.2,2,16,9.00,11.22,1,4,4.00,0,,0,0,,0,,,0,0,,0
4,1984,1984-11-04,10,23.343,NYJ,,MIA,L 17-31,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,,,,
5,1984,1984-11-11,11,23.350,NYJ,,IND,L 5-9,,5,13,38.46,50,0,1,18.1,3,22,3.85,0.38,2,2,1.00,0,,0,0,,0,,,0,0,,0
6,1984,1984-11-18,12,23.357,NYJ,@,HOU,L 20-31,*,19,36,52.78,226,0,1,60.6,3,23,6.28,5.03,3,14,4.67,0,,0,0,,0,,,0,0,,0
7,1984,1984-11-26,13,23.365,NYJ,@,MIA,L 17-28,*,21,39,53.85,267,1,1,73.3,3,32,6.85,6.21,0,0,,0,,0,0,,0,,,0,0,,0
8,1984,1984-12-02,14,24.005,NYJ,,NYG,L 10-20,*,28,41,68.29,351,1,1,92.6,3,21,8.56,7.95,3,12,4.00,0,,0,0,,0,,,0,0,,0
9,1984,1984-12-08,15,24.011,NYJ,,BUF,W 21-17,*,17,30,56.67,217,1,1,76.7,2,14,7.23,6.40,2,0,0.00,0,,0,0,,0,,,0,0,,0
10,1984,1984-12-16,16,24.019,NYJ,@,TAM,L 21-41,*,19,34,55.88,201,2,2,68.4,6,40,5.91,4.44,3,2,0.67,0,,0,0,,0,,,0,0,,0
11,1985,1985-09-08,1,24.285,NYJ,@,RAI,L 0-31,*,16,29,55.17,192,0,2,46.9,10,61,6.62,3.52,1,1,1.00,0,,0,0,,0,,,0,0,,0
12,1985,1985-09-15,2,24.292,NYJ,,BUF,W 42-3,*,16,24,66.67,181,2,0,116.8,1,13,7.54,9.21,1,3,3.00,0,,0,0,,0,,,0,0,,0
13,1985,1985-09-22,3,24.299,NYJ,@,GNB,W 24-3,*,14,27,51.85,138,1,0,78.9,3,18,5.11,5.85,1,0,0.00,0,,0,0,,0,,,0,0,,0
14,1985,1985-09-29,4,24.306,NYJ,,IND,W 25-20,*,20,30,66.67,240,1,0,102.1,2,13,8.00,8.67,5,27,5.40,0,,0,0,,0,,,0,0,,0
15,1985,1985-10-06,5,24.313,NYJ,@,CIN,W 29-20,*,19,28,67.86,211,1,1,87.1,4,33,7.54,6.64,0,0,,0,,0,0,,0,,,0,0,,0
16,1985,1985-10-14,6,24.321,NYJ,,MIA,W 23-7,*,18,28,64.29,239,1,0,103.1,1,8,8.54,9.25,1,9,9.00,0,,0,0,,0,,,0,0,,0
17,1985,1985-10-20,7,24.327,NYJ,@,NWE,L 13-20,*,15,31,48.39,246,0,1,62.0,5,26,7.94,6.48,1,1,1.00,0,,0,0,,0,,,0,0,,0
