ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1994,1994-09-04,1,23.266,RAM,,ARI,W 14-12,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
2,1994,1994-09-11,2,23.273,RAM,@,ATL,L 13-31,1,1,6,6.00,0,100.0%,6.00,2,39,19.50,0,1,7,7.00,0,0,0
3,1994,1994-09-18,3,23.280,RAM,,SFO,L 19-34,3,1,6,6.00,0,33.3%,2.00,4,90,22.50,0,2,11,5.50,0,0,0
4,1994,1994-09-25,4,23.287,RAM,@,KAN,W 16-0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
5,1994,1994-10-02,5,23.294,RAM,,ATL,L 5-8,1,0,0,,0,0.0%,0.00,1,21,21.00,0,0,0,,0,0,0
6,1994,1994-10-09,6,23.301,RAM,@,GNB,L 17-24,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,
7,1994,1994-10-16,7,23.308,RAM,,NYG,W 17-10,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
8,1994,1994-10-23,8,23.315,RAM,@,NOR,L 34-37,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
9,1994,1994-11-13,10,23.336,RAM,,RAI,L 17-20,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
10,1994,1994-11-20,11,23.343,RAM,@,SFO,L 27-31,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
11,1994,1994-11-27,12,23.350,RAM,@,SDG,L 17-31,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0
12,1994,1994-12-04,13,23.357,RAM,,NOR,L 15-31,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,
13,1994,1994-12-11,14,23.364,RAM,@,TAM,L 14-24,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,
14,1994,1994-12-18,15,24.006,RAM,@,CHI,L 13-27,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0
15,1994,1994-12-24,16,24.012,RAM,,WAS,L 21-24,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,
16,1996,1996-09-08,2,25.271,BUF,,NWE,W 17-10,,0,0,,0,0.0%,,,,,,,,,,,
17,1996,1996-09-16,3,25.279,BUF,@,PIT,L 6-24,,0,0,,0,0.0%,,,,,,,,,,,
18,1996,1996-09-22,4,25.285,BUF,,DAL,W 10-7,,0,0,,0,0.0%,,,,,,,,,,,
19,1996,1996-10-06,5,25.299,BUF,,IND,W 16-13,,0,0,,0,0.0%,,,,,,,,,,,
20,1996,1996-10-20,7,25.313,BUF,@,NYJ,W 25-22,,0,0,,0,0.0%,,,,,,,,,,,
21,1996,1996-11-03,9,25.327,BUF,,WAS,W 38-13,1,0,0,,0,0.0%,0.00,,,,,,,,,,
22,1996,1996-11-10,10,25.334,BUF,@,PHI,W 24-17,,0,0,,0,0.0%,,,,,,,,,,,
23,1996,1996-11-17,11,25.341,BUF,,CIN,W 31-17,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0
24,1996,1996-12-01,13,25.355,BUF,@,IND,L 10-13,,0,0,,0,0.0%,,,,,,,,,,,
25,1996,1996-12-08,14,25.362,BUF,@,SEA,L 18-26,5,4,35,8.75,1,80.0%,7.00,0,0,,0,0,0,,0,1,6
