ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2017,2017-10-02,4,22.080,KAN,,WAS,W 29-20,,2,2,100.0,3,4,75.0,0,11
2,2017,2017-10-08,5,22.086,KAN,@,HOU,W 42-34,,3,3,100.0,5,5,100.0,0,18
3,2017,2017-10-15,6,22.093,KAN,,PIT,L 13-19,,1,1,100.0,2,2,100.0,0,7
4,2017,2017-10-19,7,22.097,KAN,@,OAK,L 30-31,,3,3,100.0,3,3,100.0,0,12
5,2017,2017-10-30,8,22.108,KAN,,DEN,W 29-19,,2,2,100.0,5,5,100.0,0,17
6,2017,2017-11-05,9,22.114,KAN,@,DAL,L 17-28,,2,2,100.0,1,1,100.0,0,5
7,2017,2017-11-19,10,22.128,KAN,@,NYG,L 9-12,,,,,3,3,100.0,0,9
8,2017,2017-11-26,11,22.135,KAN,,BUF,L 10-16,,1,1,100.0,1,1,100.0,0,4
9,2017,2017-12-03,12,22.142,KAN,@,NYJ,L 31-38,,4,4,100.0,1,2,50.0,0,7
10,2017,2017-12-10,13,22.149,KAN,,OAK,W 26-15,,2,2,100.0,4,4,100.0,0,14
11,2017,2017-12-16,14,22.155,KAN,,LAC,W 30-13,,3,3,100.0,3,4,75.0,0,12
12,2017,2017-12-24,15,22.163,KAN,,MIA,W 29-13,,2,2,100.0,5,6,83.3,0,17
13,2017,2017-12-31,16,22.170,KAN,@,DEN,W 27-24,,3,3,100.0,2,2,100.0,0,9
14,2018,2018-09-09,1,23.057,KAN,@,LAC,W 38-28,,5,5,100.0,1,1,100.0,0,8
15,2018,2018-09-16,2,23.064,KAN,@,PIT,W 42-37,,6,6,100.0,,,,0,6
16,2018,2018-09-23,3,23.071,KAN,,SFO,W 38-27,,5,5,100.0,1,1,100.0,0,8
