ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,2002,2002-09-08,1,22.205,IND,@,JAX,W 28-25,,,,,,,,
2,2002,2002-09-15,2,22.212,IND,,MIA,L 13-21,,,,,,,,
3,2002,2002-09-22,3,22.219,IND,@,HOU,W 23-3,,,,,,,,
4,2002,2002-10-06,4,22.233,IND,,CIN,W 28-21,,,,,,,,
5,2002,2002-10-13,5,22.240,IND,,BAL,W 22-20,,,,,,,,
6,2002,2002-10-21,6,22.248,IND,@,PIT,L 10-28,,,,,,,,
7,2002,2002-10-27,7,22.254,IND,@,WAS,L 21-26,,,,,,,,
8,2002,2002-11-03,8,22.261,IND,,TEN,L 15-23,,,,,,,,
9,2002,2002-11-10,9,22.268,IND,@,PHI,W 35-13,,,,,,,,
10,2002,2002-12-01,12,22.289,IND,,HOU,W 19-3,,,,,,,,
11,2002,2002-12-08,13,22.296,IND,@,TEN,L 17-27,,,,,,,,
12,2002,2002-12-15,14,22.303,IND,@,CLE,W 28-23,,,,,,,,
13,2002,2002-12-22,15,22.310,IND,,NYG,L 27-44,,,,,,,,
14,2002,2002-12-29,16,22.317,IND,,JAX,W 20-13,,,,,,,,
15,2004,2004-10-24,6,24.252,IND,,JAX,L 24-27,*,,,,,,,
16,2004,2004-11-08,8,24.267,IND,,MIN,W 31-28,,,,,,,,
17,2004,2004-11-14,9,24.273,IND,,HOU,W 49-14,,,,,,,,
18,2004,2004-11-21,10,24.280,IND,@,CHI,W 41-10,*,0,0,,0,1,0,0
19,2004,2004-11-25,11,24.284,IND,@,DET,W 41-9,*,,,,,,,
20,2004,2004-12-05,12,24.294,IND,,TEN,W 51-24,,,,,,,,
21,2004,2004-12-12,13,24.301,IND,@,HOU,W 23-14,,,,,,,,
22,2004,2004-12-19,14,24.308,IND,,BAL,W 20-10,,,,,,,,
23,2004,2004-12-26,15,24.315,IND,,SDG,W 34-31,,,,,,,,
24,2005,2005-09-11,1,25.208,IND,@,BAL,W 24-7,*,,,,,,,
25,2005,2005-11-07,8,25.265,IND,@,NWE,W 40-21,,1,11,11.00,0,0,0,0
26,2005,2005-11-13,9,25.271,IND,,HOU,W 31-17,*,,,,,,,
27,2005,2005-11-20,10,25.278,IND,@,CIN,W 45-37,,,,,,,,
