ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1950,1950-10-15,5,26.263,CLE,,CRD,W 34-24,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,
2,1950,1950-12-10,12,26.319,CLE,@,WAS,W 45-21,,0,0,,0,0,,,,,,,1,23,23.00,1,,,,,,,1,
3,1961,1961-09-17,1,37.235,CLE,@,PHI,L 20-27,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,2,2,100.0,0,8
4,1961,1961-09-24,2,37.242,CLE,,STL,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,2,3,66.7,0,8
5,1961,1961-10-01,3,37.249,CLE,,DAL,W 25-7,,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,50.0,2,2,100.0,0,7
6,1961,1961-10-08,4,37.256,CLE,,WAS,W 31-7,,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,1,1,100.0,0,7
7,1961,1961-10-15,5,37.263,CLE,,GNB,L 17-49,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,1,2,50.0,0,5
8,1961,1961-10-22,6,37.270,CLE,@,PIT,W 30-28,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,3,3,100.0,0,12
9,1961,1961-10-29,7,37.277,CLE,@,STL,W 21-10,,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,,1,0.0,0,3
10,1961,1961-11-05,8,37.284,CLE,,PIT,L 13-17,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,2,2,100.0,0,7
11,1961,1961-11-12,9,37.291,CLE,@,WAS,W 17-6,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,1,1,100.0,0,5
12,1961,1961-11-19,10,37.298,CLE,,PHI,W 45-24,,0,0,,0,0,0,,0,0,,,0,0,,0,6,6,100.0,1,2,50.0,0,9
13,1961,1961-11-26,11,37.305,CLE,,NYG,L 21-37,,0,0,,0,0,,,,,,,0,0,,0,3,3,100.0,,,,0,3
14,1961,1961-12-03,12,37.312,CLE,@,DAL,W 38-17,,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,1,1,100.0,0,8
15,1961,1961-12-10,13,37.319,CLE,@,CHI,L 14-17,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,,1,0.0,0,2
16,1961,1961-12-17,14,37.326,CLE,@,NYG,T 7-7,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,,2,0.0,0,1
17,1962,1962-09-16,1,38.234,CLE,,NYG,W 17-7,,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,1,1,100.0,0,5
18,1962,1962-09-23,2,38.241,CLE,,WAS,L 16-17,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,3,6,50.0,0,10
