ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1959,1959-10-25,5,26.214,PIT,,NYG,L 16-21,1,-2,-2.00,0,0,0,,0,0,,,,,,
2,1959,1959-11-22,9,26.242,PIT,@,CLE,W 21-20,1,10,10.00,0,0,0,,0,0,,,,,,
3,1959,1959-12-06,11,26.256,PIT,@,CHI,L 21-27,0,0,,0,1,1,100.00,55,0,0,118.7,0,0,55.00,55.00
4,1959,1959-12-13,12,26.263,PIT,,CRD,W 35-20,1,-5,-5.00,0,0,0,,0,0,,,,,,
