ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2015,2015-09-13,1,21.294,CLE,@,NYJ,L 10-31,*,7,22,3.14,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
2,2015,2015-09-20,2,21.301,CLE,,TEN,W 28-14,,12,43,3.58,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
3,2015,2015-09-27,3,21.308,CLE,,OAK,L 20-27,,4,3,0.75,0,7,6,32,5.33,0,85.7%,4.57,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
4,2015,2015-10-04,4,21.315,CLE,@,SDG,L 27-30,*,8,31,3.88,0,10,9,85,9.44,1,90.0%,8.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
5,2015,2015-10-11,5,21.322,CLE,@,BAL,W 33-30,*,9,22,2.44,0,8,6,55,9.17,0,75.0%,6.88,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
6,2015,2015-10-18,6,21.329,CLE,,DEN,L 23-26,,9,38,4.22,0,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
7,2015,2015-10-25,7,21.336,CLE,@,STL,L 6-24,,6,17,2.83,0,7,7,73,10.43,0,100.0%,10.43,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
8,2015,2015-11-01,8,21.343,CLE,,ARI,L 20-34,,1,3,3.00,0,2,2,68,34.00,0,100.0%,34.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
9,2015,2015-11-05,9,21.347,CLE,@,CIN,L 10-31,,3,0,0.00,0,4,2,38,19.00,1,50.0%,9.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
10,2015,2015-11-15,10,21.357,CLE,@,PIT,L 9-30,,4,10,2.50,0,4,4,18,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,0,,,2,52,26.00,0,0,0,,0,0,0
