ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,22.354,GNB,,CHI,L 0-26,,6,1,5,5.00,0,16.7%,0.83,0,0,,0,0,0,,0,,0,0,0.0,,
2,2006,2006-09-17,2,22.361,GNB,,NOR,L 27-34,*,12,6,67,11.17,1,50.0%,5.58,0,0,,0,0,0,,0,,1,6,0.0,,
3,2006,2006-09-24,3,23.003,GNB,@,DET,W 31-24,*,5,3,101,33.67,1,60.0%,20.20,0,0,,0,0,0,,0,,1,6,0.0,,
4,2006,2006-10-02,4,23.011,GNB,@,PHI,L 9-31,*,10,5,86,17.20,0,50.0%,8.60,0,0,,0,0,0,,0,,0,0,0.0,,
5,2006,2006-10-08,5,23.017,GNB,,STL,L 20-23,*,10,5,105,21.00,1,50.0%,10.50,0,0,,0,0,0,,0,,1,6,0.0,,
6,2006,2006-10-22,6,23.031,GNB,@,MIA,W 34-24,*,4,1,14,14.00,0,25.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,,
7,2006,2006-11-05,8,23.045,GNB,@,BUF,L 10-24,,5,5,69,13.80,0,100.0%,13.80,0,0,,0,0,0,,0,,0,0,0.0,,
8,2006,2006-11-12,9,23.052,GNB,@,MIN,W 23-17,,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,,0,,0,0,0.0,,
9,2006,2006-11-19,10,23.059,GNB,,NWE,L 0-35,*,10,1,26,26.00,0,10.0%,2.60,0,0,,0,0,0,,0,,0,0,0.0,,
10,2006,2006-11-27,11,23.067,GNB,@,SEA,L 24-34,*,8,6,50,8.33,0,75.0%,6.25,0,0,,0,1,10,10.00,0,,0,0,0.0,,
11,2006,2006-12-03,12,23.073,GNB,,NYJ,L 10-38,*,6,2,14,7.00,0,33.3%,2.33,0,0,,0,1,9,9.00,0,,0,0,0.0,,
12,2006,2006-12-10,13,23.080,GNB,@,SFO,W 30-19,*,10,5,50,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,,
13,2006,2006-12-17,14,23.087,GNB,,DET,W 17-9,*,2,1,5,5.00,0,50.0%,2.50,0,0,,0,1,-2,-2.00,0,,0,0,0.0,,
14,2006,2006-12-21,15,23.091,GNB,,MIN,W 9-7,*,11,1,2,2.00,0,9.1%,0.18,0,0,,0,2,12,6.00,0,,0,0,0.0,,
15,2007,2007-09-23,3,24.002,GNB,,SDG,W 31-24,*,7,4,82,20.50,1,57.1%,11.71,0,0,,0,0,0,,0,,1,6,0.0,,
16,2007,2007-09-30,4,24.009,GNB,@,MIN,W 23-16,*,6,3,43,14.33,1,50.0%,7.17,0,0,,0,0,0,,0,,1,6,0.0,,
17,2007,2007-10-07,5,24.016,GNB,,CHI,L 20-27,*,4,4,83,20.75,1,100.0%,20.75,0,0,,0,0,0,,0,,1,6,0.0,,
18,2007,2007-10-14,6,24.023,GNB,,WAS,W 17-14,*,11,3,20,6.67,0,27.3%,1.82,0,0,,0,0,0,,0,,0,0,0.0,,
19,2007,2007-10-29,7,24.038,GNB,@,DEN,W 19-13,*,8,6,141,23.50,1,75.0%,17.63,0,0,,0,0,0,,0,,1,6,0.0,,
20,2007,2007-11-04,8,24.044,GNB,@,KAN,W 33-22,*,5,3,85,28.33,2,60.0%,17.00,0,0,,0,0,0,,0,,2,12,0.0,,
21,2007,2007-11-11,9,24.051,GNB,,MIN,W 34-0,*,6,4,63,15.75,0,66.7%,10.50,0,0,,0,0,0,,0,,0,0,0.0,,
22,2007,2007-11-18,10,24.058,GNB,,CAR,W 31-17,*,8,7,48,6.86,1,87.5%,6.00,0,0,,0,0,0,,0,,1,6,0.0,,
23,2007,2007-11-22,11,24.062,GNB,@,DET,W 37-26,*,7,5,60,12.00,2,71.4%,8.57,0,0,,0,0,0,,0,,2,12,0.0,,
24,2007,2007-11-29,12,24.069,GNB,@,DAL,L 27-37,*,7,5,87,17.40,1,71.4%,12.43,0,0,,0,0,0,,0,,1,6,0.0,,
25,2007,2007-12-09,13,24.079,GNB,,OAK,W 38-7,*,4,2,100,50.00,1,50.0%,25.00,0,0,,0,0,0,,0,,1,6,0.0,,
26,2007,2007-12-16,14,24.086,GNB,@,STL,W 33-14,*,6,4,66,16.50,1,66.7%,11.00,0,0,,0,0,0,,0,,1,6,0.0,,
27,2007,2007-12-23,15,24.093,GNB,@,CHI,L 7-35,*,5,3,42,14.00,0,60.0%,8.40,0,0,,0,0,0,,0,,0,0,0.0,,
