ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1970,1970-09-20,1,22.008,DEN,@,BUF,W 25-10,,,,,,,,,,,,,
2,1970,1970-09-27,2,22.015,DEN,,PIT,W 16-13,,,,,,,,,,,,,
3,1970,1970-10-04,3,22.022,DEN,,KAN,W 26-13,0,0,,0,1,20,20.00,0,0,0,0,0,0
4,1970,1970-10-11,4,22.029,DEN,@,OAK,L 23-35,,,,,,,,,,,,,
5,1970,1970-10-18,5,22.036,DEN,,ATL,W 24-10,,,,,,,,,,,,,
6,1970,1970-10-25,6,22.043,DEN,@,SFO,L 14-19,,,,,,,,,,,,,
7,1970,1970-11-01,7,22.050,DEN,,WAS,L 3-19,,,,,,,,,,,,,
8,1970,1970-11-15,9,22.064,DEN,,OAK,L 19-24,,,,,,,,,,,,,
9,1970,1970-11-22,10,22.071,DEN,@,NOR,W 31-6,,,,,,,,,,,,,
10,1970,1970-11-29,11,22.078,DEN,@,HOU,L 21-31,,,,,,,,,,,,,
11,1970,1970-12-06,12,22.085,DEN,@,KAN,L 0-16,,,,,,,,,,,,,
12,1970,1970-12-13,13,22.092,DEN,,SDG,T 17-17,,,,,,,,,,,,,
13,1970,1970-12-20,14,22.099,DEN,,CLE,L 13-27,,,,,,,,,,,,,
14,1971,1971-09-19,1,23.007,DEN,,MIA,T 10-10,,,,,,,,,,,,,
15,1971,1971-09-26,2,23.014,DEN,@,GNB,L 13-34,,,,,,,,,,,,,
16,1971,1971-10-03,3,23.021,DEN,,KAN,L 3-16,0,0,,0,0,0,,0,0,0,1,8,0
17,1971,1971-10-10,4,23.028,DEN,,OAK,L 16-27,,,,,,,,,,,,,
18,1971,1971-10-17,5,23.035,DEN,,SDG,W 20-16,1,0,0.00,0,0,0,,0,0,0,0,0,0
19,1971,1971-10-24,6,23.042,DEN,@,CLE,W 27-0,,,,,,,,,,,,,
20,1971,1971-10-31,7,23.049,DEN,@,PHI,L 16-17,,,,,,,,,,,,,
21,1971,1971-11-07,8,23.056,DEN,,DET,L 20-24,,,,,,,,,,,,,
22,1971,1971-11-14,9,23.063,DEN,,CIN,L 10-24,,,,,,,,,,,,,
23,1971,1971-11-21,10,23.070,DEN,@,KAN,L 10-28,,,,,,,,,,,,,
24,1971,1971-11-28,11,23.077,DEN,@,PIT,W 22-10,,,,,,,,,,,,,
25,1971,1971-12-05,12,23.084,DEN,,CHI,W 6-3,,,,,,,,,,,,,
26,1971,1971-12-12,13,23.091,DEN,@,SDG,L 17-45,,,,,,,,,,,,,
27,1971,1971-12-19,14,23.098,DEN,@,OAK,L 13-21,,,,,,,,,,,,,
28,1972,1972-09-17,1,24.005,BUF,,NYJ,L 24-41,,,,,,,,,,,,,
29,1972,1972-09-24,2,24.012,BUF,,SFO,W 27-20,,,,,,,,,,,,,
30,1972,1972-10-01,3,24.019,BUF,,BAL,L 0-17,,,,,,,,,,,,,
31,1972,1972-10-08,4,24.026,BUF,,NWE,W 38-14,0,0,,0,0,0,,0,0,0,1,4,0
32,1972,1972-10-15,5,24.033,BUF,@,OAK,L 16-28,,,,,,,,,,,,,
33,1972,1972-10-22,6,24.040,BUF,@,MIA,L 23-24,,,,,,,,,,,,,
34,1972,1972-10-29,7,24.047,BUF,,PIT,L 21-38,1,4,4.00,0,0,0,,0,0,0,0,0,0
35,1972,1972-11-05,8,24.054,BUF,,MIA,L 16-30,,,,,,,,,,,,,
36,1972,1972-11-12,9,24.061,BUF,@,NYJ,L 3-41,,,,,,,,,,,,,
37,1972,1972-11-19,10,24.068,BUF,@,NWE,W 27-24,,,,,,,,,,,,,
38,1972,1972-11-26,11,24.075,BUF,@,CLE,L 10-27,,,,,,,,,,,,,
39,1972,1972-12-03,12,24.082,BUF,@,BAL,L 7-35,,,,,,,,,,,,,
40,1972,1972-12-10,13,24.089,BUF,,DET,T 21-21,,,,,,,,,,,,,
41,1972,1972-12-17,14,24.096,BUF,@,WAS,W 24-17,,,,,,,,,,,,,
42,1973,1973-09-16,1,25.004,BUF,@,NWE,W 31-13,,,,,,,,,,,,,
43,1973,1973-09-23,2,25.011,BUF,@,SDG,L 7-34,,,,,,,,,,,,,
44,1973,1973-09-30,3,25.018,BUF,,NYJ,W 9-7,,,,,,,,,,,,,
45,1973,1973-10-07,4,25.025,BUF,,PHI,W 27-26,,,,,,,,,,,,,
46,1973,1973-10-14,5,25.032,BUF,,BAL,W 31-13,,,,,,,,,,,,,
47,1973,1973-10-21,6,25.039,BUF,@,MIA,L 6-27,,,,,,,,,,,,,
48,1973,1973-10-29,7,25.047,BUF,,KAN,W 23-14,,,,,,,,,,,,,
49,1974,1974-09-16,1,26.004,BUF,,OAK,W 21-20,,,,,,,,,,,,,
50,1974,1974-09-22,2,26.010,BUF,,MIA,L 16-24,,,,,,,,,,,,,
51,1974,1974-09-29,3,26.017,BUF,,NYJ,W 16-12,,,,,,,,,,,,,
52,1974,1974-10-06,4,26.024,BUF,@,GNB,W 27-7,,,,,,,,,,,,,
53,1974,1974-10-13,5,26.031,BUF,@,BAL,W 27-14,,,,,,,,,,,,,
54,1974,1974-10-20,6,26.038,BUF,,NWE,W 30-28,,,,,,,,,,,,,
55,1974,1974-10-27,7,26.045,BUF,,CHI,W 16-6,,,,,,,,,,,,,
56,1974,1974-11-03,8,26.052,BUF,@,NWE,W 29-28,0,0,,0,0,0,,0,1,6,1,72,1
57,1974,1974-11-10,9,26.059,BUF,,HOU,L 9-21,,,,,,,,,,,,,
58,1974,1974-11-17,10,26.066,BUF,@,MIA,L 28-35,,,,,,,,,,,,,
59,1974,1974-11-24,11,26.073,BUF,@,CLE,W 15-10,,,,,,,,,,,,,
60,1974,1974-12-01,12,26.080,BUF,,BAL,W 6-0,0,0,,0,0,0,,0,0,0,1,0,0
61,1974,1974-12-08,13,26.087,BUF,@,NYJ,L 10-20,,,,,,,,,,,,,
62,1974,1974-12-15,14,26.094,BUF,@,RAM,L 14-19,,,,,,,,,,,,,
63,1975,1975-09-21,1,27.009,SFO,@,MIN,L 17-27,,,,,,,,,,,,,
64,1975,1975-09-28,2,27.016,SFO,,RAM,L 14-23,,,,,,,,,,,,,
65,1975,1975-10-05,3,27.023,SFO,@,KAN,W 20-3,,,,,,,,,,,,,
66,1975,1975-10-12,4,27.030,SFO,,ATL,L 3-17,,,,,,,,,,,,,
67,1975,1975-10-19,5,27.037,SFO,,NOR,W 35-21,,,,,,,,,,,,,
68,1975,1975-10-26,6,27.044,SFO,@,NWE,L 16-24,,,,,,,,,,,,,
69,1975,1975-11-02,7,27.051,SFO,,DET,L 17-28,,,,,,,,,,,,,
70,1975,1975-11-09,8,27.058,SFO,@,RAM,W 24-23,,,,,,,,,,,,,
