ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1995,1995-09-03,1,24.213,IND,,CIN,L 21-24,,5,1,4,4.00,0,20.0%,0.80,0,0,,0,0,0,,,,,,0,0,,0,0,0
2,1995,1995-09-10,2,24.220,IND,@,NYJ,W 27-24,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
3,1995,1995-09-17,3,24.227,IND,@,BUF,L 14-20,,2,2,34,17.00,0,100.0%,17.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
4,1995,1995-10-01,4,24.241,IND,,STL,W 21-18,,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,1995,1995-10-08,5,24.248,IND,@,MIA,W 27-24,,5,4,92,23.00,0,80.0%,18.40,0,0,,0,0,0,,,,,,0,0,,0,0,0
6,1995,1995-10-15,6,24.255,IND,,SFO,W 18-17,,7,7,125,17.86,1,100.0%,17.86,0,0,,0,0,0,,,,,,0,0,,0,1,6
7,1995,1995-10-22,7,24.262,IND,@,OAK,L 17-30,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
8,1995,1995-10-29,8,24.269,IND,,NYJ,W 17-10,,4,4,55,13.75,0,100.0%,13.75,0,0,,0,0,0,,,,,,0,0,,0,0,0
9,1995,1995-11-05,9,24.276,IND,,BUF,L 10-16,,3,1,39,39.00,0,33.3%,13.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
10,1995,1995-11-12,10,24.283,IND,@,NOR,L 14-17,,3,3,26,8.67,0,100.0%,8.67,0,0,,0,0,0,,,,,,0,0,,0,0,0
11,1995,1995-11-19,11,24.290,IND,@,NWE,W 24-10,,5,5,31,6.20,1,100.0%,6.20,0,0,,0,0,0,,,,,,0,0,,0,1,6
12,1995,1995-11-26,12,24.297,IND,,MIA,W 36-28,,1,1,39,39.00,0,100.0%,39.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
13,1995,1995-12-03,13,24.304,IND,@,CAR,L 10-13,,0,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,
14,1995,1995-12-10,14,24.311,IND,@,JAX,W 41-31,,4,2,42,21.00,1,50.0%,10.50,0,0,,0,0,0,,,,,,0,0,,0,1,6
15,1995,1995-12-17,15,24.318,IND,,SDG,L 24-27,,6,3,33,11.00,1,50.0%,5.50,0,0,,0,0,0,,,,,,0,0,,0,1,6
16,1995,1995-12-23,16,24.324,IND,,NWE,W 10-7,,5,5,74,14.80,0,100.0%,14.80,0,0,,0,0,0,,,,,,0,0,,0,0,0
17,1996,1996-09-01,1,25.212,IND,,ARI,W 20-13,,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,,,,,0,0,,0,0,0
18,1996,1996-09-08,2,25.219,IND,@,NYJ,W 21-7,,7,7,156,22.29,1,100.0%,22.29,0,0,,0,0,0,,,,,,0,0,,0,1,6
19,1996,1996-09-15,3,25.226,IND,@,DAL,W 25-24,,2,2,34,17.00,1,100.0%,17.00,0,0,,0,0,0,,,,,,0,0,,0,1,6
20,1996,1996-09-23,4,25.234,IND,,MIA,W 10-6,,5,3,11,3.67,1,60.0%,2.20,0,0,,0,0,0,,,,,,0,0,,0,1,6
21,1996,1996-10-06,5,25.247,IND,@,BUF,L 13-16,,6,3,53,17.67,0,50.0%,8.83,0,0,,0,0,0,,,,,,0,0,,0,0,0
22,1996,1996-10-13,6,25.254,IND,,BAL,W 26-21,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
23,1996,1996-10-20,7,25.261,IND,,NWE,L 9-27,,4,3,25,8.33,0,75.0%,6.25,0,0,,0,0,0,,,,,,0,0,,0,0,0
24,1996,1996-10-27,8,25.268,IND,@,WAS,L 16-31,,3,3,58,19.33,0,100.0%,19.33,0,0,,0,0,0,,,,,,0,0,,0,0,0
25,1996,1996-11-03,9,25.275,IND,,SDG,L 19-26,,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,,,,,0,0,,0,0,0
26,1996,1996-11-10,10,25.282,IND,@,MIA,L 13-37,,5,5,36,7.20,0,100.0%,7.20,0,0,,0,0,0,,,,,,0,0,,0,0,0
27,1996,1996-11-17,11,25.289,IND,,NYJ,W 34-29,,3,3,15,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
28,1996,1996-11-24,12,25.296,IND,@,NWE,L 13-27,,5,2,26,13.00,0,40.0%,5.20,0,0,,0,0,0,,,,,,0,0,,0,0,0
29,1996,1996-12-01,13,25.303,IND,,BUF,W 13-10,,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,
30,1996,1996-12-05,14,25.307,IND,,PHI,W 37-10,,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,
31,1996,1996-12-15,15,25.317,IND,@,KAN,W 24-19,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,
32,1996,1996-12-22,16,25.324,IND,@,CIN,L 24-31,,7,6,43,7.17,1,85.7%,6.14,0,0,,0,0,0,,,,,,0,0,,0,1,6
33,1997,1997-08-31,1,26.210,IND,@,MIA,L 10-16,,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
34,1997,1997-09-07,2,26.217,IND,,NWE,L 6-31,,4,3,15,5.00,0,75.0%,3.75,0,0,,0,0,0,,,,,,0,0,,0,0,0
35,1997,1997-09-14,3,26.224,IND,,SEA,L 3-31,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,
36,1997,1997-09-21,4,26.231,IND,@,BUF,L 35-37,,3,2,34,17.00,0,66.7%,11.33,0,0,,0,0,0,,,,,,0,0,,0,0,0
37,1997,1997-10-20,7,26.260,IND,,BUF,L 6-9,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,
38,1997,1997-10-26,8,26.266,IND,@,SDG,L 19-35,,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
39,1997,1997-11-02,9,26.273,IND,,TAM,L 28-31,,4,3,37,12.33,0,75.0%,9.25,0,0,,0,0,0,,,,,,0,0,,0,0,0
40,1997,1997-11-09,10,26.280,IND,,CIN,L 13-28,,4,3,44,14.67,0,75.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
41,1997,1997-11-16,11,26.287,IND,,GNB,W 41-38,,6,6,96,16.00,0,100.0%,16.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
42,1997,1997-11-23,12,26.294,IND,@,DET,L 10-32,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
43,1997,1997-11-30,13,26.301,IND,@,NWE,L 17-20,,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,0,0
44,1997,1997-12-07,14,26.308,IND,@,NYJ,W 22-14,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,
45,1997,1997-12-14,15,26.315,IND,,MIA,W 41-0,,5,5,100,20.00,3,100.0%,20.00,0,0,,0,0,0,,,,,,0,0,,0,3,18
46,1997,1997-12-21,16,26.322,IND,@,MIN,L 28-39,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,
47,1998,1998-09-06,1,27.216,IND,,MIA,L 15-24,,3,3,22,7.33,0,100.0%,7.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
48,1998,1998-09-13,2,27.223,IND,@,NWE,L 6-29,,4,4,38,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
49,1998,1998-09-20,3,27.230,IND,@,NYJ,L 6-44,,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
50,1998,1998-09-27,4,27.237,IND,,NOR,L 13-19,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
51,1998,1998-10-04,5,27.244,IND,,SDG,W 17-12,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,,,1,14,14.00,0,0,0
