ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1988,1988-09-04,1,24.044,KAN,,CLE,L 3-6,,2,16,8.00,0,,,0,0,,0,0,0,,0,3,24,8.00,0,0,0
2,1988,1988-09-11,2,24.051,KAN,@,SEA,L 10-31,,1,6,6.00,0,,,0,0,,0,0,0,,0,2,10,5.00,0,0,0
3,1988,1988-09-18,3,24.058,KAN,,DEN,W 20-13,,0,0,,0,,,0,0,,0,1,17,17.00,0,1,1,1.00,0,0,0
4,1988,1988-09-25,4,24.065,KAN,,SDG,L 23-24,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,
5,1988,1988-10-02,5,24.072,KAN,@,NYJ,T 17-17,,0,0,,0,,,0,0,,0,2,35,17.50,0,2,7,3.50,0,0,0
6,1988,1988-10-09,6,24.079,KAN,@,HOU,L 6-7,,0,0,,0,,,0,0,,0,0,0,,0,3,5,1.67,0,0,0
7,1988,1988-10-16,7,24.086,KAN,,RAI,L 17-27,,1,36,36.00,0,,,0,0,,0,0,0,,0,6,51,8.50,0,0,0
8,1988,1988-10-23,8,24.093,KAN,,DET,L 6-7,,0,0,,0,,,0,0,,0,0,0,,0,3,20,6.67,0,0,0
9,1988,1988-10-30,9,24.100,KAN,@,RAI,L 10-17,,0,0,,0,,,0,0,,0,0,0,,0,1,15,15.00,0,0,0
10,1988,1988-11-06,10,24.107,KAN,@,DEN,L 11-17,,0,0,,0,,,0,0,,0,1,15,15.00,0,0,0,,0,0,0
11,1988,1988-11-13,11,24.114,KAN,,CIN,W 31-28,,1,10,10.00,0,,,0,0,,0,1,13,13.00,0,0,0,,0,0,0
12,1988,1988-11-20,12,24.121,KAN,,SEA,W 27-24,,3,31,10.33,0,,,0,0,,0,0,0,,0,1,-1,-1.00,0,0,0
13,1988,1988-11-27,13,24.128,KAN,@,PIT,L 10-16,,1,6,6.00,0,,,0,0,,0,0,0,,0,2,19,9.50,0,0,0
14,1988,1988-12-04,14,24.135,KAN,,NYJ,W 38-34,,0,0,,0,,,1,2,2.00,0,0,0,,0,1,11,11.00,0,0,0
15,1988,1988-12-11,15,24.142,KAN,@,NYG,L 12-28,,0,0,,0,,,0,0,,0,0,0,,0,2,7,3.50,0,0,0
16,1988,1988-12-18,16,24.149,KAN,@,SDG,L 13-24,,0,0,,0,,,0,0,,0,0,0,,0,2,18,9.00,0,0,0
17,1989,1989-11-19,11,25.120,NWE,,BUF,W 33-24,,0,0,,0,,,0,0,,0,1,22,22.00,0,0,0,,0,0,0
18,1989,1989-11-26,12,25.127,NWE,@,RAI,L 21-24,,0,0,,0,,,0,0,,0,1,18,18.00,0,0,0,,0,0,0
19,1989,1989-12-03,13,25.134,NWE,,IND,W 22-16,,0,0,,0,,,0,0,,0,1,12,12.00,0,0,0,,0,0,0
20,1989,1989-12-10,14,25.141,NWE,@,MIA,L 10-31,,,,,,,,,,,,0,0,,0,0,0,,0,,
21,1990,1990-12-16,14,26.147,SDG,@,DEN,L 10-20,,0,0,,0,,,0,0,,0,0,0,,0,3,23,7.67,0,0,0
22,1990,1990-12-23,15,26.154,SDG,,KAN,L 21-24,,0,0,,0,,,0,0,,0,0,0,,0,2,56,28.00,1,1,6
23,1990,1990-12-30,16,26.161,SDG,@,RAI,L 12-17,,0,0,,0,,,0,0,,0,0,0,,0,1,33,33.00,0,0,0
24,1991,1991-09-29,5,27.069,SDG,,KAN,L 13-14,,0,0,,0,,,0,0,,0,0,0,,0,3,47,15.67,0,0,0
25,1991,1991-10-06,6,27.076,SDG,@,RAI,W 21-13,,1,6,6.00,0,,,0,0,,0,0,0,,0,1,23,23.00,0,0,0
26,1991,1991-10-13,7,27.083,SDG,@,RAM,L 24-30,,1,6,6.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
27,1991,1991-10-20,8,27.090,SDG,,CLE,L 24-30,,2,12,6.00,0,,,0,0,,0,0,0,,0,5,79,15.80,0,0,0
28,1991,1991-10-27,9,27.097,SDG,@,SEA,L 9-20,,6,35,5.83,0,,,0,0,,0,0,0,,0,4,27,6.75,0,0,0
29,1991,1991-11-10,10,27.111,SDG,,SEA,W 17-14,,2,8,4.00,0,,,0,0,,0,0,0,,0,3,41,13.67,0,0,0
30,1991,1991-11-17,11,27.118,SDG,,NOR,W 24-21,,0,0,,0,,,0,0,,0,0,0,,0,4,29,7.25,0,0,0
31,1991,1991-11-24,12,27.125,SDG,@,NYJ,L 3-24,,0,0,,0,,,0,0,,0,0,0,,0,1,-1,-1.00,0,0,0
32,1991,1991-12-01,13,27.132,SDG,,RAI,L 7-9,,6,60,10.00,0,,,0,0,,0,0,0,,0,3,17,5.67,0,0,0
33,1991,1991-12-08,14,27.139,SDG,@,KAN,L 17-20,,1,17,17.00,0,,,0,0,,0,0,0,,0,2,1,0.50,0,0,0
34,1991,1991-12-15,15,27.146,SDG,,MIA,W 38-30,,1,18,18.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
35,1991,1991-12-22,16,27.153,SDG,,DEN,L 14-17,,4,56,14.00,0,,,0,0,,0,0,0,,0,2,6,3.00,0,0,0
36,1992,1992-09-06,1,28.046,GNB,,MIN,L 20-23,,0,0,,0,0.0%,,,,,,,,,,,,,,,
