ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1968,1968-09-22,2,24.062,RAM,,PIT,W 45-10,2,9,4.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0
2,1968,1968-10-13,5,24.083,RAM,@,GNB,W 16-14,0,0,,0,1,9,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0
3,1968,1968-10-20,6,24.090,RAM,,ATL,W 27-14,8,48,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0
4,1968,1968-10-27,7,24.097,RAM,@,BAL,L 10-27,9,33,3.67,0,4,11,2.75,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0
5,1968,1968-11-03,8,24.104,RAM,,DET,W 10-7,1,-1,-1.00,0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0
6,1968,1968-11-24,11,24.125,RAM,,NYG,W 24-21,0,0,,0,1,17,17.00,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0
7,1968,1968-12-01,12,24.132,RAM,@,MIN,W 31-3,2,-1,-0.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0
8,1968,1968-12-08,13,24.139,RAM,,CHI,L 16-17,5,36,7.20,0,1,13,13.00,0,0,0,,0,0,0,,0,0,,,1,2,2.00,0
9,1968,1968-12-15,14,24.146,RAM,,BAL,L 24-28,2,12,6.00,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0
