ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1993,1993-10-24,7,23.281,PIT,@,CLE,L 23-28,0,0,,0,,0,0,,0,0.0%,
2,1993,1993-11-07,8,23.295,PIT,@,CIN,W 24-16,0,0,,0,,0,0,,0,0.0%,
3,1993,1993-11-15,9,23.303,PIT,,BUF,W 23-0,1,7,7.00,0,,0,0,,0,0.0%,
4,1993,1993-11-21,10,23.309,PIT,@,DEN,L 13-37,0,0,,0,1,1,3,3.00,0,100.0%,3.00
5,1993,1993-11-28,11,23.316,PIT,@,HOU,L 3-23,0,0,,0,,0,0,,0,0.0%,
6,1993,1993-12-05,12,23.323,PIT,,NWE,W 17-14,0,0,,0,,0,0,,0,0.0%,
7,1993,1993-12-13,13,23.331,PIT,@,MIA,W 21-20,0,0,,0,,0,0,,0,0.0%,
8,1993,1993-12-19,14,23.337,PIT,,HOU,L 17-26,0,0,,0,,0,0,,0,0.0%,
9,1993,1993-12-26,15,23.344,PIT,@,SEA,L 6-16,0,0,,0,,0,0,,0,0.0%,
10,1993,1994-01-02,16,23.351,PIT,,CLE,W 16-9,0,0,,0,,0,0,,0,0.0%,
11,1994,1994-10-23,7,24.280,PIT,@,NYG,W 10-6,,,,,,,,,,0.0%,
