ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,24.202,KAN,,TEN,L 10-26,*,2,1,22,22.00,0,50.0%,11.00,0,0,,0,4,47,11.75,0,0.0,0,0
2,2014,2014-09-14,2,24.209,KAN,@,DEN,L 17-24,,0,0,0,,0,0.0%,,1,37,37.00,0,2,2,1.00,0,0.0,0,0
3,2014,2014-09-21,3,24.216,KAN,@,MIA,W 34-15,,0,0,0,,0,0.0%,,0,0,,0,5,100,20.00,0,0.0,0,0
4,2014,2014-09-29,4,24.224,KAN,,NWE,W 41-14,,1,0,0,,0,0.0%,0.00,0,0,,0,2,3,1.50,0,0.0,0,0
5,2014,2014-10-05,5,24.230,KAN,@,SFO,L 17-22,,,,,,,0.0%,,,,,,,,,,,,
6,2014,2014-10-19,6,24.244,KAN,@,SDG,W 23-20,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
7,2014,2014-10-26,7,24.251,KAN,,STL,W 34-7,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0.0,0,0
8,2014,2014-11-02,8,24.258,KAN,,NYJ,W 24-10,,,,,,,0.0%,,,,,,,,,,,,
9,2014,2014-11-09,9,24.265,KAN,@,BUF,W 17-13,,,,,,,0.0%,,,,,,,,,,,,
10,2014,2014-11-16,10,24.272,KAN,,SEA,W 24-20,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
11,2014,2014-11-20,11,24.276,KAN,@,OAK,L 20-24,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,2,48,24.00,0,0.0,0,0
12,2014,2014-11-30,12,24.286,KAN,,DEN,L 16-29,,,,,,,0.0%,,,,,,,,,,,,
13,2014,2014-12-07,13,24.293,KAN,@,ARI,L 14-17,,,,,,,0.0%,,,,,,,,,,,,
14,2014,2014-12-14,14,24.300,KAN,,OAK,W 31-13,,1,1,7,7.00,0,100.0%,7.00,1,37,37.00,0,0,0,,0,0.0,0,0
15,2014,2014-12-21,15,24.307,KAN,@,PIT,L 12-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
16,2014,2014-12-28,16,24.314,KAN,,SDG,W 19-7,,,,,,,0.0%,,,,,,,,,,,,
17,2015,2015-10-04,4,25.229,KAN,@,CIN,L 21-36,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
18,2015,2015-10-11,5,25.236,KAN,,CHI,L 17-18,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
19,2015,2015-10-18,6,25.243,KAN,@,MIN,L 10-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
20,2015,2015-10-25,7,25.250,KAN,,PIT,W 23-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
21,2015,2015-11-29,11,25.285,KAN,,BUF,W 30-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
22,2015,2015-12-06,12,25.292,KAN,@,OAK,W 34-20,,0,0,0,,0,0.0%,,0,0,,0,2,29,14.50,0,0.0,0,0
23,2015,2015-12-13,13,25.299,KAN,,SDG,W 10-3,,0,0,0,,0,0.0%,,0,0,,0,4,36,9.00,0,0.0,0,0
24,2015,2015-12-20,14,25.306,KAN,@,BAL,W 34-14,,0,0,0,,0,0.0%,,0,0,,0,3,11,3.67,0,0.0,0,0
25,2015,2015-12-27,15,25.313,KAN,,CLE,W 17-13,,0,0,0,,0,0.0%,,0,0,,0,2,17,8.50,0,0.0,0,0
26,2015,2016-01-03,16,25.320,KAN,,OAK,W 23-17,,0,0,0,,0,0.0%,,0,0,,0,3,22,7.33,0,0.0,0,0
