ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1996,1996-09-01,1,23.163,MIA,,NWE,W 24-10,,3,3,100.0,1,1,100.0,0,6
2,1996,1996-09-08,2,23.170,MIA,@,ARI,W 38-10,,5,5,100.0,1,3,33.3,0,8
3,1996,1996-09-15,3,23.177,MIA,,NYJ,W 36-27,,3,4,75.0,1,2,50.0,0,6
4,1996,1996-09-23,4,23.185,MIA,@,IND,L 6-10,,,,,2,3,66.7,0,6
5,1996,1996-10-06,5,23.198,MIA,,SEA,L 15-22,,,,,1,1,100.0,0,3
6,1996,1996-10-13,6,23.205,MIA,@,BUF,W 21-7,,3,3,100.0,,1,0.0,0,3
7,1996,1996-10-20,7,23.212,MIA,@,PHI,L 28-35,,2,2,100.0,2,2,100.0,0,8
8,1996,1996-10-27,8,23.219,MIA,,DAL,L 10-29,,1,1,100.0,1,1,100.0,0,4
9,1996,1996-11-03,9,23.226,MIA,@,NWE,L 23-42,,2,2,100.0,1,2,50.0,0,5
10,1996,1996-11-10,10,23.233,MIA,,IND,W 37-13,,5,5,100.0,,1,0.0,0,5
11,1996,1996-11-17,11,23.240,MIA,@,HOU,W 23-20,,2,2,100.0,3,4,75.0,0,11
12,1996,1996-11-25,12,23.248,MIA,,PIT,L 17-24,,2,2,100.0,1,3,33.3,0,5
13,1996,1996-12-01,13,23.254,MIA,@,OAK,L 7-17,,1,1,100.0,,1,0.0,0,1
14,1996,1996-12-08,14,23.261,MIA,,NYG,L 7-17,,1,1,100.0,,,,0,1
15,1996,1996-12-16,15,23.269,MIA,,BUF,W 16-14,,1,1,100.0,3,3,100.0,0,10
16,1996,1996-12-22,16,23.275,MIA,@,NYJ,W 31-28,,4,4,100.0,1,1,100.0,0,7
17,1997,1997-10-19,7,24.211,ARI,@,PHI,L 10-13,,1,1,100.0,1,2,50.0,0,4
18,1997,1997-10-26,8,24.218,ARI,,TEN,L 14-41,,2,2,100.0,,,,0,2
19,1997,1997-11-02,9,24.225,ARI,,PHI,W 31-21,,4,4,100.0,1,3,33.3,0,7
20,1997,1997-11-09,10,24.232,ARI,@,DAL,L 6-24,,,,,2,4,50.0,0,6
21,1997,1997-11-16,11,24.239,ARI,@,NYG,L 10-19,,1,1,100.0,1,1,100.0,0,4
22,1997,1997-11-23,12,24.246,ARI,@,BAL,W 16-13,,1,1,100.0,3,3,100.0,0,10
23,1997,1997-11-23,12,24.246,DET,,IND,W 32-10,,,,,,,,,
24,1997,1997-11-30,13,24.253,ARI,,PIT,L 20-26,,2,2,100.0,2,3,66.7,0,8
25,1997,1997-12-07,14,24.260,ARI,,WAS,L 28-38,,4,4,100.0,,,,0,4
26,1997,1997-12-14,15,24.267,ARI,@,NOR,L 10-27,,1,1,100.0,1,1,100.0,0,4
27,1997,1997-12-21,16,24.274,ARI,,ATL,W 29-26,,3,3,100.0,,,,0,3
28,1998,1998-09-06,1,25.168,ARI,@,DAL,L 10-38,,1,1,100.0,1,1,100.0,0,4
29,1998,1998-09-13,2,25.175,ARI,@,SEA,L 14-33,,2,2,100.0,,,,0,2
30,1998,1998-09-20,3,25.182,ARI,,PHI,W 17-3,,2,2,100.0,1,2,50.0,0,5
31,1998,1998-09-27,4,25.189,ARI,@,STL,W 20-17,,2,2,100.0,2,3,66.7,0,8
32,1998,1998-10-04,5,25.196,ARI,,OAK,L 20-23,,2,2,100.0,2,2,100.0,0,8
33,1998,1998-10-11,6,25.203,ARI,,CHI,W 20-7,,2,2,100.0,2,3,66.7,0,8
34,1998,1998-10-18,7,25.210,ARI,@,NYG,L 7-34,,1,1,100.0,,,,0,1
35,1998,1998-11-01,8,25.224,ARI,@,DET,W 17-15,,2,2,100.0,1,2,50.0,0,5
36,1998,1998-11-08,9,25.231,ARI,,WAS,W 29-27,,3,3,100.0,2,2,100.0,0,9
37,1998,1998-11-15,10,25.238,ARI,,DAL,L 28-35,,4,4,100.0,,1,0.0,0,4
38,1998,1998-11-22,11,25.245,ARI,@,WAS,W 45-42,,6,6,100.0,1,1,100.0,0,9
39,1998,1998-11-29,12,25.252,ARI,@,KAN,L 24-34,,3,3,100.0,1,2,50.0,0,6
40,1999,1999-12-19,14,26.272,OAK,,TAM,W 45-0,,6,6,100.0,1,1,100.0,0,9
41,1999,1999-12-26,15,26.279,OAK,@,SDG,L 20-23,,2,2,100.0,2,4,50.0,0,8
42,1999,2000-01-02,16,26.286,OAK,@,KAN,W 41-38,,5,5,100.0,2,2,100.0,0,11
43,2000,2000-09-17,3,27.179,DEN,@,OAK,W 33-24,,3,3,100.0,4,4,100.0,0,15
44,2000,2000-09-24,4,27.186,DEN,,KAN,L 22-23,,1,1,100.0,3,4,75.0,0,10
45,2000,2000-10-01,5,27.193,DEN,,NWE,L 19-28,,,,,1,2,50.0,0,3
46,2000,2000-10-08,5,27.200,CAR,,SEA,W 26-3,,2,2,100.0,4,5,80.0,0,14
47,2000,2000-10-15,6,27.207,CAR,@,NOR,L 6-24,,,,,2,2,100.0,0,6
