ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2008,2008-09-07,1,22.207,TAM,@,NOR,L 20-24,,0,0,,0,0,0,0.0,1,0,0,0,0
2,2008,2008-09-14,2,22.214,TAM,,ATL,W 24-9,,0,0,,0,0,0,0.0,0,0,1,2,0
3,2008,2008-09-28,4,22.228,TAM,,GNB,W 30-21,,0,0,,0,0,0,0.0,2,1,0,0,0
4,2008,2008-10-05,5,22.235,TAM,@,DEN,L 13-16,,0,0,,0,0,0,0.0,1,0,0,0,0
5,2008,2008-10-12,6,22.242,TAM,,CAR,W 27-3,,0,0,,0,0,0,0.0,1,1,1,11,0
6,2008,2008-10-19,7,22.249,TAM,,SEA,W 20-10,,1,0,0.00,0,0,0,0.0,0,0,1,19,0
7,2008,2008-10-26,8,22.256,TAM,@,DAL,L 9-13,,0,0,,0,0,0,0.0,1,1,0,0,0
8,2008,2008-11-02,9,22.263,TAM,@,KAN,W 30-27,*,0,0,,0,0,0,0.0,0,0,0,0,0
9,2008,2008-11-16,10,22.277,TAM,,MIN,W 19-13,,0,0,,0,0,0,0.0,2,0,0,0,0
10,2008,2008-11-23,11,22.284,TAM,@,DET,W 38-20,,0,0,,0,0,0,0.0,1,0,0,0,0
11,2008,2008-11-30,12,22.291,TAM,,NOR,W 23-20,*,0,0,,0,0,0,0.0,1,2,0,0,0
12,2008,2008-12-08,13,22.299,TAM,@,CAR,L 23-38,,0,0,,0,0,0,0.0,1,1,0,0,0
13,2008,2008-12-14,14,22.305,TAM,@,ATL,L 10-13,,0,0,,0,0,0,0.0,1,0,1,0,0
14,2008,2008-12-21,15,22.312,TAM,,SDG,L 24-41,,0,0,,0,0,0,0.0,0,0,0,0,0
15,2008,2008-12-28,16,22.319,TAM,,OAK,L 24-31,,0,0,,0,0,0,0.0,2,0,0,0,0
16,2009,2009-09-13,1,23.212,TAM,,DAL,L 21-34,*,0,0,,0,0,0,0.0,4,0,0,0,0
17,2009,2009-09-20,2,23.219,TAM,@,BUF,L 20-33,*,0,0,,0,0,0,0.0,4,2,0,0,0
