ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1994,1994-09-04,1,24.115,NYJ,@,BUF,W 23-3,,0,0,,0,0.0%,,,,,,,
2,1994,1994-09-11,2,24.122,NYJ,,DEN,W 25-22,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
3,1994,1994-09-18,3,24.129,NYJ,@,MIA,L 14-28,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0
4,1994,1994-09-25,4,24.136,NYJ,,CHI,L 7-19,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0
5,1994,1994-10-02,5,24.143,NYJ,@,CLE,L 7-27,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0
6,1994,1994-10-09,6,24.150,NYJ,,IND,W 16-6,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0
7,1994,1994-10-30,8,24.171,NYJ,@,IND,L 25-28,3,0,0,,0,0.0%,0.00,,,,,,
8,1994,1994-11-06,9,24.178,NYJ,,BUF,W 22-17,,0,0,,0,0.0%,,,,,,,
9,1994,1994-11-20,11,24.192,NYJ,@,MIN,W 31-21,,0,0,,0,0.0%,,,,,,,
10,1994,1994-11-27,12,24.199,NYJ,,MIA,L 24-28,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0
11,1995,1995-11-12,10,25.184,ARI,,MIN,L 24-30,,,,,,0.0%,,,,,,,
12,1995,1995-11-19,11,25.191,ARI,@,CAR,L 7-27,,,,,,0.0%,,,,,,,
13,1995,1995-12-09,14,25.211,ARI,@,SDG,L 25-28,1,1,12,12.00,1,100.0%,12.00,0,0,,0,1,6
14,1995,1995-12-17,15,25.219,ARI,@,PHI,L 20-21,,,,,,0.0%,,,,,,,
15,1995,1995-12-25,16,25.227,ARI,,DAL,L 13-37,3,2,22,11.00,0,66.7%,7.33,1,17,17.00,0,0,0
16,1996,1996-10-13,6,26.154,ARI,@,DAL,L 3-17,1,,,,,0.0%,,,,,,,
17,1996,1996-10-20,7,26.161,ARI,,TAM,W 13-9,,,,,,0.0%,,,,,,,
18,1996,1996-11-17,11,26.189,ARI,,NYG,W 31-23,,,,,,0.0%,,,,,,,
19,1996,1996-11-24,12,26.196,ARI,,PHI,W 36-30,,,,,,0.0%,,,,,,,
20,1996,1996-12-01,13,26.203,ARI,@,MIN,L 17-41,5,3,47,15.67,0,60.0%,9.40,0,0,,0,0,0
21,1996,1996-12-08,14,26.210,ARI,,DAL,L 6-10,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0
22,1996,1996-12-15,15,26.217,ARI,,WAS,W 27-26,,,,,,0.0%,,,,,,,
23,1996,1996-12-22,16,26.224,ARI,@,PHI,L 19-29,,,,,,0.0%,,,,,,,
