ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1968,1968-09-15,1,22.266,OAK,@,BUF,W 48-6,1,34,34.00,0,0,0,,0,1,18,18.00,0,0,0
2,1968,1968-11-03,8,22.315,OAK,,KAN,W 38-21,0,0,,0,1,17,17.00,0,2,23,11.50,0,0,0
3,1968,1968-11-17,10,22.329,OAK,,NYJ,W 43-32,0,0,,0,0,0,,0,2,2,1.00,0,0,0
4,1968,1968-12-08,13,22.350,OAK,,DEN,W 33-27,0,0,,0,0,0,,0,1,5,5.00,0,0,0
5,1971,1971-09-19,1,25.269,OAK,@,NWE,L 6-20,,,,,,,,,,,,,,
6,1971,1971-09-26,2,25.276,OAK,@,SDG,W 34-0,,,,,,,,,,,,,,
7,1971,1971-10-04,3,25.284,OAK,@,CLE,W 34-20,,,,,,,,,,,,,,
8,1971,1971-10-10,4,25.290,OAK,@,DEN,W 27-16,,,,,,,,,,,,,,
9,1971,1971-10-17,5,25.297,OAK,,PHI,W 34-10,3,47,15.67,1,0,0,,0,0,0,,0,1,6
10,1971,1971-10-24,6,25.304,OAK,,CIN,W 31-27,1,31,31.00,0,0,0,,0,0,0,,0,0,0
11,1971,1971-10-31,7,25.311,OAK,,KAN,T 20-20,,,,,,,,,,,,,,
