ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1961,1961-09-24,2,21.265,STL,@,CLE,L 17-20,0,0,,0,1,29,29.00,0,0,0,,0,0,0,0,0,0
2,1961,1961-10-01,3,21.272,STL,@,PHI,W 30-27,0,0,,0,2,40,20.00,0,0,0,,0,0,0,0,0,0
3,1961,1961-10-29,7,21.300,STL,,CLE,L 10-21,0,0,,0,0,0,,0,2,13,6.50,0,0,0,0,0,0
4,1961,1961-11-05,8,21.307,STL,@,DAL,W 31-17,0,0,,0,2,38,19.00,0,0,0,,0,0,0,0,0,0
5,1961,1961-11-12,9,21.314,STL,,DET,L 14-45,0,0,,0,4,99,24.75,0,0,0,,0,0,0,0,0,0
6,1961,1961-11-19,10,21.321,STL,@,BAL,L 0-16,0,0,,0,1,29,29.00,0,0,0,,0,0,0,0,0,0
7,1961,1961-11-26,11,21.328,STL,@,PIT,L 27-30,0,0,,0,2,50,25.00,0,0,0,,0,0,0,0,0,0
8,1961,1961-12-03,12,21.335,STL,,WAS,W 38-24,1,22,22.00,0,2,74,37.00,0,0,0,,0,0,0,0,0,0
9,1961,1961-12-10,13,21.342,STL,,DAL,W 31-13,0,0,,0,3,67,22.33,0,0,0,,0,0,0,0,0,0
10,1961,1961-12-17,14,21.349,STL,,PIT,W 20-0,0,0,,0,0,0,,0,1,5,5.00,0,0,0,0,0,0
11,1962,1962-09-16,1,22.257,STL,@,PHI,W 27-21,0,0,,0,0,0,,0,0,0,,0,0,0,1,25,0
12,1962,1962-11-11,9,22.313,STL,,PIT,L 17-26,0,0,,0,0,0,,0,1,5,5.00,0,0,0,0,0,0
13,1962,1962-11-18,10,22.320,STL,@,CLE,L 14-38,0,0,,0,0,0,,0,1,21,21.00,0,0,0,0,0,0
14,1962,1962-11-25,11,22.327,STL,,SFO,L 17-24,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0
15,1962,1962-12-02,12,22.334,STL,@,PIT,L 7-19,0,0,,0,3,82,27.33,0,0,0,,0,0,0,1,0,0
16,1962,1962-12-09,13,22.341,STL,,DAL,W 52-20,0,0,,0,2,51,25.50,0,1,11,11.00,0,0,0,0,0,0
17,1962,1962-12-16,14,22.348,STL,,PHI,W 45-35,0,0,,0,2,54,27.00,0,0,0,,0,0,0,1,16,0
18,1963,1963-10-06,4,23.277,STL,@,MIN,W 56-14,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0,0,0
19,1963,1963-10-13,5,23.284,STL,,PIT,W 24-23,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0,0,0
20,1963,1963-10-20,6,23.291,STL,,GNB,L 7-30,0,0,,0,0,0,,0,0,0,,0,0,0,1,41,0
21,1963,1963-10-27,7,23.298,STL,@,WAS,W 21-7,0,0,,0,0,0,,0,1,0,0.00,0,0,0,1,42,0
22,1963,1963-11-03,8,23.305,STL,,NYG,L 21-38,0,0,,0,0,0,,0,2,9,4.50,0,0,0,1,2,0
23,1963,1963-11-10,9,23.312,STL,,WAS,W 24-20,0,0,,0,0,0,,0,0,0,,0,0,0,1,15,0
24,1963,1963-11-17,10,23.319,STL,@,CLE,W 20-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
25,1963,1963-12-01,12,23.333,STL,,CLE,L 10-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
26,1963,1963-12-08,13,23.340,STL,,PHI,W 38-14,0,0,,0,0,0,,0,3,0,0.00,0,0,0,2,69,0
27,1963,1963-12-15,14,23.347,STL,,DAL,L 24-28,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0,0,0
28,1964,1964-09-12,1,24.254,STL,@,DAL,W 16-6,0,0,,0,0,0,,0,0,0,,0,0,0,1,37,0
29,1964,1964-09-27,3,24.269,STL,@,SFO,W 23-13,0,0,,0,0,0,,0,0,0,,0,0,0,1,6,0
30,1964,1964-10-04,4,24.276,STL,@,WAS,W 23-17,0,0,,0,0,0,,0,0,0,,0,1,6,2,53,1
31,1964,1964-10-18,6,24.290,STL,,WAS,W 38-24,0,0,,0,0,0,,0,0,0,,0,1,6,1,39,1
32,1964,1964-11-08,9,24.311,STL,,PIT,W 34-30,0,0,,0,0,0,,0,0,0,,0,0,0,1,14,0
33,1964,1964-11-15,10,24.318,STL,,NYG,T 10-10,0,0,,0,0,0,,0,0,0,,0,0,0,2,15,0
34,1964,1964-11-22,11,24.325,STL,@,PHI,W 38-13,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
35,1964,1964-11-29,12,24.332,STL,@,PIT,W 21-20,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
36,1965,1965-09-26,2,25.267,STL,@,CLE,W 49-13,0,0,,0,0,0,,0,0,0,,0,0,0,1,14,0
37,1965,1965-10-17,5,25.288,STL,@,PIT,W 20-7,0,0,,0,0,0,,0,0,0,,0,0,0,1,0,0
38,1965,1965-10-31,7,25.302,STL,@,NYG,L 10-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,16,0
39,1966,1966-11-27,11,26.329,STL,,PIT,W 6-3,0,0,,0,0,0,,0,0,0,,0,0,0,1,40,0
40,1967,1967-09-24,2,27.265,STL,@,PIT,W 28-14,0,0,,0,0,0,,0,0,0,,0,0,0,2,15,0
41,1967,1967-10-01,3,27.272,STL,,DET,W 38-28,0,0,,0,0,0,,0,0,0,,0,0,0,1,1,0
42,1967,1967-10-22,6,27.293,STL,,PHI,W 48-14,0,0,,0,0,0,,0,0,0,,0,1,6,1,69,1
43,1967,1967-12-03,12,27.335,STL,,NOR,W 31-20,0,0,,0,1,0,0.00,0,0,0,,0,0,0,0,0,0
44,1968,1968-10-06,4,28.278,WAS,,PHI,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,0,1,1,0
45,1968,1968-11-10,9,28.313,WAS,@,PHI,W 16-10,0,0,,0,0,0,,0,0,0,,0,0,0,1,13,0
46,1969,1969-10-12,4,29.283,WAS,,STL,W 33-17,0,0,,0,0,0,,0,0,0,,0,0,0,2,28,0
47,1970,1970-09-20,1,30.261,WAS,@,SFO,L 17-26,,,,,,,,,,,,,,,,,
48,1970,1970-09-27,2,30.268,WAS,@,STL,L 17-27,,,,,,,,,,,,,,,,,
49,1970,1970-10-04,3,30.275,WAS,@,PHI,W 33-21,,,,,,,,,,,,,,,,,
50,1970,1970-10-11,4,30.282,WAS,,DET,W 31-10,,,,,,,,,,,,,,,,,
51,1970,1970-10-19,5,30.290,WAS,@,OAK,L 20-34,,,,,,,,,,,,,,,,,
52,1970,1970-10-25,6,30.296,WAS,,CIN,W 20-0,,,,,,,,,,,,,,,,,
53,1970,1970-11-01,7,30.303,WAS,@,DEN,W 19-3,,,,,,,,,,,,,,,,,
