ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1984,1984-09-02,1,21.324,NYJ,@,IND,W 23-14,3,6,2.00,0,,0,0,,0,,,0,0,,0,0,0
2,1984,1984-09-06,2,21.328,NYJ,,PIT,L 17-23,0,0,,0,,0,0,,0,,,0,0,,0,0,
3,1984,1984-09-16,3,21.338,NYJ,,CIN,W 43-23,1,2,2.00,0,,0,0,,0,,,0,0,,0,0,0
4,1984,1984-09-23,4,21.345,NYJ,@,BUF,W 28-26,5,31,6.20,1,,0,0,,0,,,1,0,0.00,0,1,6
5,1984,1984-09-30,5,21.352,NYJ,,NWE,L 21-28,2,1,0.50,1,,2,14,7.00,0,,,0,0,,0,1,6
6,1984,1984-10-07,6,21.359,NYJ,@,KAN,W 17-16,4,7,1.75,1,,0,0,,0,,,0,0,,0,1,6
7,1984,1984-10-14,7,22.000,NYJ,@,CLE,W 24-20,2,8,4.00,1,,0,0,,0,,,0,0,,0,1,6
8,1984,1984-10-21,8,22.007,NYJ,,KAN,W 28-7,3,9,3.00,0,,0,0,,0,,,0,0,,0,0,0
9,1984,1984-10-28,9,22.014,NYJ,@,NWE,L 20-30,3,4,1.33,0,,0,0,,0,,,1,0,0.00,0,0,0
10,1984,1984-11-04,10,22.021,NYJ,,MIA,L 17-31,1,24,24.00,0,,0,0,,0,,,0,0,,0,0,0
11,1984,1984-11-11,11,22.028,NYJ,,IND,L 5-9,0,0,,0,,0,0,,0,,,0,0,,0,0,
12,1984,1984-11-18,12,22.035,NYJ,@,HOU,L 20-31,1,3,3.00,1,,1,7,7.00,0,,,0,0,,0,1,6
13,1984,1984-11-26,13,22.043,NYJ,@,MIA,L 17-28,6,26,4.33,1,,0,0,,0,,,1,7,7.00,0,1,6
14,1984,1984-12-02,14,22.049,NYJ,,NYG,L 10-20,1,0,0.00,0,,0,0,,0,,,0,0,,0,0,0
15,1984,1984-12-08,15,22.055,NYJ,,BUF,W 21-17,3,9,3.00,1,,1,-3,-3.00,0,,,0,0,,0,1,6
16,1984,1984-12-16,16,22.063,NYJ,@,TAM,L 21-41,0,0,,0,,2,13,6.50,1,,,0,0,,0,1,6
17,1985,1985-09-08,1,22.329,NYJ,@,RAI,L 0-31,3,5,1.67,0,,4,39,9.75,0,,,0,0,,0,0,0
18,1985,1985-09-15,2,22.336,NYJ,,BUF,W 42-3,7,13,1.86,1,,1,2,2.00,1,,,0,0,,0,2,12
19,1985,1985-09-22,3,22.343,NYJ,@,GNB,W 24-3,2,14,7.00,1,,1,5,5.00,1,,,0,0,,0,2,12
20,1985,1985-09-29,4,22.350,NYJ,,IND,W 25-20,4,8,2.00,1,,0,0,,0,,,0,0,,0,1,6
21,1985,1985-10-06,5,22.357,NYJ,@,CIN,W 29-20,5,12,2.40,1,,3,23,7.67,0,,,0,0,,0,1,6
22,1985,1985-10-14,6,23.000,NYJ,,MIA,W 23-7,5,12,2.40,1,,1,4,4.00,0,,,0,0,,0,1,6
23,1985,1985-10-20,7,23.006,NYJ,@,NWE,L 13-20,2,2,1.00,1,,1,-7,-7.00,0,,,0,0,,0,1,6
24,1985,1985-10-27,8,23.013,NYJ,,SEA,W 17-14,6,18,3.00,0,,1,12,12.00,0,,,0,0,,0,0,0
25,1985,1985-11-03,9,23.020,NYJ,@,IND,W 35-17,5,11,2.20,0,,1,2,2.00,0,,,0,0,,0,0,0
26,1985,1985-11-10,10,23.027,NYJ,@,MIA,L 17-21,1,1,1.00,0,,0,0,,0,,,0,0,,0,0,0
27,1985,1985-11-17,11,23.034,NYJ,,TAM,W 62-28,8,24,3.00,1,,1,10,10.00,0,,,0,0,,0,1,6
28,1985,1985-11-24,12,23.041,NYJ,,NWE,W 16-13,0,0,,0,,0,0,,0,,,,,,,0,
29,1985,1985-11-28,13,23.045,NYJ,@,DET,L 20-31,2,4,2.00,0,,2,13,6.50,0,,,0,0,,0,0,0
30,1985,1985-12-08,14,23.055,NYJ,@,BUF,W 27-7,1,1,1.00,0,,2,17,8.50,0,,,0,0,,0,0,0
31,1985,1985-12-14,15,23.061,NYJ,,CHI,L 6-19,1,2,2.00,0,,0,0,,0,,,0,0,,0,0,0
32,1985,1985-12-22,16,23.069,NYJ,,CLE,W 37-10,3,31,10.33,1,,0,0,,0,,,0,0,,0,1,6
33,1986,1986-09-07,1,23.328,NYJ,@,BUF,W 28-24,3,6,2.00,1,,4,46,11.50,0,,,0,0,,0,1,6
34,1986,1986-09-11,2,23.332,NYJ,,NWE,L 6-20,5,10,2.00,0,,2,11,5.50,0,,,0,0,,0,0,0
35,1986,1986-09-21,3,23.342,NYJ,,MIA,W 51-45,3,10,3.33,0,,1,6,6.00,0,,,0,0,,0,0,0
36,1986,1986-09-28,4,23.349,NYJ,@,IND,W 26-7,12,36,3.00,1,,1,6,6.00,0,,,0,0,,0,1,6
37,1986,1986-10-05,5,23.356,NYJ,,BUF,W 14-13,2,1,0.50,0,,0,0,,0,,,0,0,,0,0,0
38,1986,1986-10-12,6,23.363,NYJ,@,NWE,W 31-24,7,16,2.29,0,,1,1,1.00,0,,,0,0,,0,0,0
39,1986,1986-10-20,7,24.006,NYJ,,DEN,W 22-10,3,10,3.33,0,,0,0,,0,,,0,0,,0,0,0
40,1986,1986-10-26,8,24.012,NYJ,,NOR,W 28-23,3,6,2.00,0,,0,18,,0,,,0,0,,0,0,0
41,1986,1986-11-02,9,24.019,NYJ,@,SEA,W 38-7,1,0,0.00,0,,2,6,3.00,0,,,0,0,,0,0,0
42,1986,1986-11-09,10,24.026,NYJ,@,ATL,W 28-14,2,2,1.00,0,,3,21,7.00,0,,,0,0,,0,0,0
43,1986,1986-11-16,11,24.033,NYJ,,IND,W 31-16,1,3,3.00,0,,1,-1,-1.00,0,,,0,0,,0,0,0
44,1986,1986-11-24,12,24.041,NYJ,@,MIA,L 3-45,0,0,,0,,0,0,,0,,,,,,,0,
45,1986,1986-11-30,13,24.047,NYJ,,RAM,L 3-17,1,3,3.00,0,,0,0,,0,,,0,0,,0,0,0
46,1986,1986-12-07,14,24.054,NYJ,@,SFO,L 10-24,1,3,3.00,0,,1,-3,-3.00,0,,,0,0,,0,0,0
47,1986,1986-12-13,15,24.060,NYJ,,PIT,L 24-45,1,1,1.00,0,,2,10,5.00,0,,,0,0,,0,0,0
48,1986,1986-12-21,16,24.068,NYJ,@,CIN,L 21-52,2,2,1.00,0,,0,0,,0,,,0,0,,0,0,0
49,1987,1987-11-26,11,25.043,DET,,KAN,L 20-27,0,0,,0,,0,0,,0,,,,,,,0,
50,1987,1987-12-06,12,25.053,DET,,RAM,L 16-37,1,2,2.00,0,,0,0,,0,,,0,0,,0,0,0
51,1987,1987-12-13,13,25.060,DET,@,TAM,W 20-10,0,0,,0,,0,0,,0,,,,,,,0,
52,1987,1987-12-20,14,25.067,DET,,MIN,L 14-17,2,5,2.50,0,,1,-2,-2.00,0,,,0,0,,0,0,0
53,1987,1987-12-27,15,25.074,DET,@,ATL,W 30-13,1,6,6.00,0,,1,3,3.00,0,,,0,0,,0,0,0
54,1988,1988-09-04,1,25.326,DET,,ATL,W 31-17,9,42,4.67,0,,5,35,7.00,0,,,0,0,,0,0,0
55,1988,1988-09-11,2,25.333,DET,@,RAM,L 10-17,0,0,,0,,0,0,,0,,,,,,,0,
56,1988,1988-09-18,3,25.340,DET,,NOR,L 14-22,0,0,,0,,0,0,,0,,,,,,,0,
57,1988,1988-09-25,4,25.347,DET,,NYJ,L 10-17,4,6,1.50,0,,0,0,,0,,,0,0,,0,0,0
58,1988,1988-10-02,5,25.354,DET,@,SFO,L 13-20,0,0,,0,,0,0,,0,,,,,,,0,
59,1988,1988-10-09,6,25.361,DET,,CHI,L 7-24,1,1,1.00,0,,0,0,,0,,,0,0,,0,0,0
60,1988,1988-10-16,7,26.002,DET,@,NYG,L 10-30,0,0,,0,,1,15,15.00,0,,,0,0,,0,0,0
61,1988,1988-10-23,8,26.009,DET,@,KAN,W 7-6,12,47,3.92,0,,0,0,,0,,,0,0,,0,0,0
62,1988,1988-10-30,9,26.016,DET,,NYG,L 10-13,5,8,1.60,0,,5,50,10.00,0,,,0,0,,0,0,0
63,1988,1988-11-06,10,26.023,DET,@,MIN,L 17-44,0,0,,0,,0,0,,0,,,,,,,0,
64,1988,1988-11-13,11,26.030,DET,,TAM,L 20-23,1,1,1.00,0,,0,0,,0,,,0,0,,0,0,0
65,1988,1988-11-20,12,26.037,DET,@,GNB,W 19-9,4,23,5.75,0,,0,0,,0,,,0,0,,0,0,0
66,1988,1988-11-24,13,26.041,DET,,MIN,L 0-23,0,0,,0,,0,0,,0,,,,,,,0,
67,1988,1988-12-04,14,26.051,DET,,GNB,W 30-14,5,14,2.80,0,,0,0,,0,,,0,0,,0,0,0
68,1988,1988-12-11,15,26.058,DET,@,CHI,L 12-13,6,49,8.17,0,,0,0,,0,,,0,0,,0,0,0
69,1988,1988-12-18,16,26.065,DET,@,TAM,L 10-21,5,16,3.20,0,,0,0,,0,,,0,0,,0,0,0
70,1989,1989-09-10,1,26.331,DET,,PHO,L 13-16,7,26,3.71,0,,0,0,,0,,,0,0,,0,0,0
71,1989,1989-09-17,2,26.338,DET,@,NYG,L 14-24,0,0,,0,,0,0,,0,,,,,,,0,
72,1989,1989-09-24,3,26.345,DET,,CHI,L 27-47,4,31,7.75,0,,0,0,,0,,,0,0,,0,0,0
73,1989,1989-10-01,4,26.352,DET,,PIT,L 3-23,2,5,2.50,0,,1,15,15.00,0,,,0,0,,0,0,0
74,1989,1989-10-08,5,26.359,DET,@,MIN,L 17-24,2,0,0.00,0,,0,0,,0,,,0,0,,0,0,0
75,1989,1989-10-15,6,27.001,DET,@,TAM,W 17-16,9,33,3.67,0,,1,12,12.00,0,,,0,0,,0,0,0
