ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1990,1990-09-09,1,23.176,CHI,,SEA,W 17-0,2,6,3.00,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,13,13.00,0,4,37,9.25,0,0,0
2,1990,1990-09-16,2,23.183,CHI,@,GNB,W 31-13,3,17,5.67,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,21,21.00,0,2,20,10.00,0,0,0
3,1990,1990-09-23,3,23.190,CHI,,MIN,W 19-16,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,2,0,0.00,0,2,23,11.50,0,0,0
4,1990,1990-09-30,4,23.197,CHI,@,RAI,L 10-24,6,19,3.17,0,,0,0,,0,,,1,1,100.00,22,0,0,118.7,0,0,22.00,22.00,1,30,30.00,0,1,0,0.00,0,0,0
5,1990,1990-10-07,5,23.204,CHI,,GNB,W 27-13,3,8,2.67,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,2,29,14.50,0,3,36,12.00,0,0,0
6,1990,1990-10-14,6,23.211,CHI,,RAM,W 38-9,4,9,2.25,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,2,20,10.00,0,4,29,7.25,0,0,0
7,1990,1990-10-28,7,23.225,CHI,@,PHO,W 31-21,1,4,4.00,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,3,2,0.67,0,0,0
8,1990,1990-11-04,8,23.232,CHI,@,TAM,W 26-6,2,13,6.50,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,2,11,5.50,0,0,0
9,1990,1990-11-11,9,23.239,CHI,,ATL,W 30-24,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,3,58,19.33,0,2,11,5.50,0,0,0
10,1990,1990-11-18,10,23.246,CHI,@,DEN,W 16-13,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0,,0,4,47,11.75,0,0,0
11,1990,1990-11-25,11,23.253,CHI,@,MIN,L 13-41,1,-3,-3.00,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,3,51,17.00,0,1,24,24.00,0,0,0
12,1990,1990-12-02,12,23.260,CHI,,DET,W 23-17,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,13,13.00,0,4,13,3.25,0,0,0
13,1990,1990-12-09,13,23.267,CHI,@,WAS,L 9-10,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,14,14.00,0,1,15,15.00,0,0,0
14,1990,1990-12-16,14,23.274,CHI,@,DET,L 21-38,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,4,64,16.00,0,0,0,,0,0,0
15,1990,1990-12-23,15,23.281,CHI,,TAM,W 27-14,4,13,3.25,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,25,25.00,0,2,36,18.00,0,0,0
16,1990,1990-12-29,16,23.287,CHI,,KAN,L 10-21,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,25,25.00,0,1,95,95.00,1,1,6
17,1991,1991-09-01,1,24.168,CHI,,MIN,W 10-6,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,15,15.00,0,1,16,16.00,0,0,0
18,1991,1991-09-08,2,24.175,CHI,@,TAM,W 21-20,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,27,27.00,0,4,50,12.50,0,0,0
19,1991,1991-09-15,3,24.182,CHI,,NYG,W 20-17,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,2,50,25.00,0,2,19,9.50,0,0,0
20,1991,1991-09-23,4,24.190,CHI,,NYJ,W 19-13,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,3,51,17.00,0,3,14,4.67,0,0,0
21,1991,1991-09-29,5,24.196,CHI,@,BUF,L 20-35,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,18,18.00,0,2,20,10.00,0,0,0
22,1991,1991-10-06,6,24.203,CHI,,WAS,L 7-20,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,4,77,19.25,0,4,21,5.25,0,0,0
23,1991,1991-10-17,7,24.214,CHI,@,GNB,W 10-0,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,3,8,2.67,0,0,0
24,1991,1991-10-27,8,24.224,CHI,@,NOR,W 20-17,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,2,53,26.50,0,4,41,10.25,0,0,0
