ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1968,1968-09-22,2,22.338,CHI,@,DET,L 0-42,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
2,1968,1968-10-27,7,23.007,CHI,,MIN,W 26-24,0,0,,0,1,26,26.00,0,0,0,,0,0,0,,0,0,0,0,4,134,33.50,0
3,1968,1968-11-24,11,23.035,CHI,,DAL,L 3-34,4,19,4.75,0,3,2,0.67,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
4,1969,1969-09-21,1,23.336,CHI,@,GNB,L 0-17,0,0,,0,0,0,,0,2,45,22.50,0,1,1,1.00,0,0,0,0,0,0,,0
5,1969,1969-09-28,2,23.343,CHI,@,STL,L 17-20,0,0,,0,0,0,,0,1,26,26.00,0,1,0,0.00,0,0,0,0,0,0,,0
6,1969,1969-10-19,5,23.364,CHI,@,DET,L 7-13,0,0,,0,0,0,,0,1,30,30.00,0,1,7,7.00,0,0,0,0,0,0,,0
7,1969,1969-11-02,7,24.013,CHI,@,MIN,L 14-31,1,11,11.00,0,0,0,,0,3,71,23.67,0,1,11,11.00,0,0,0,0,0,0,,0
8,1969,1969-11-09,8,24.020,CHI,,PIT,W 38-7,0,0,,0,0,0,,0,1,32,32.00,0,2,45,22.50,0,0,0,0,0,0,,0
9,1969,1969-11-16,9,24.027,CHI,@,ATL,L 31-48,0,0,,0,0,0,,0,3,44,14.67,0,2,11,5.50,0,0,0,0,0,0,,0
10,1969,1969-11-23,10,24.034,CHI,,BAL,L 21-24,0,0,,0,0,0,,0,0,0,,0,2,3,1.50,0,1,10,0,0,0,,0
11,1969,1969-12-06,12,24.047,CHI,@,SFO,L 21-42,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0,,0
12,1969,1969-12-14,13,24.055,CHI,,GNB,L 3-21,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,0,,0
13,1970,1970-09-19,1,24.334,CHI,@,NYG,W 24-16,,,,,,,,,,,,,,,,,,,,,,,
14,1970,1970-09-27,2,24.342,CHI,,PHI,W 20-16,,,,,,,,,,,,,,,,,,,,,,,
15,1970,1970-10-05,3,24.350,CHI,@,DET,L 14-28,,,,,,,,,,,,,,,,,,,,,,,
16,1970,1970-10-11,4,24.356,CHI,,MIN,L 0-24,,,,,,,,,,,,,,,,,,,,,,,
17,1970,1970-10-18,5,24.363,CHI,,SDG,L 7-20,,,,,,,,,,,,,,,,,,,,,,,
18,1970,1970-10-25,6,25.005,CHI,,DET,L 10-16,,,,,,,,,,,,,,,,,,,,,,,
19,1970,1970-11-01,7,25.012,CHI,@,ATL,W 23-14,0,0,,0,0,0,,0,0,0,,0,1,-1,-1.00,0,0,0,0,0,0,,0
20,1970,1970-11-08,8,25.019,CHI,,SFO,L 16-37,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,,0
