ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1950,1950-09-17,1,23.238,SFO,,NYY,L 17-21,16,53,3.31,1,0,0,,0,0,0,,0,0,,,,,,,1,
2,1950,1950-09-24,2,23.245,SFO,,CHI,L 20-32,11,53,4.82,0,2,9,4.50,0,0,0,,0,0,,,,,,,0,
3,1950,1950-10-01,3,23.252,SFO,,RAM,L 14-35,7,11,1.57,0,0,0,,0,0,0,,0,0,,,,,,,0,
4,1950,1950-10-08,4,23.259,SFO,@,DET,L 7-24,7,15,2.14,1,1,-1,-1.00,0,0,0,,0,0,,,,,,,1,
5,1950,1950-10-12,5,23.263,SFO,@,NYY,L 24-29,8,30,3.75,1,1,0,0.00,0,0,0,,0,0,,,,,,,1,
6,1950,1950-10-22,6,23.273,SFO,,DET,W 28-27,12,54,4.50,1,0,0,,0,0,0,,0,0,,,,,,,1,
7,1950,1950-10-29,7,23.280,SFO,,BAL,W 17-14,16,142,8.88,0,1,10,10.00,0,0,0,,0,0,,,,,,,0,
8,1950,1950-11-05,8,23.287,SFO,@,RAM,L 21-28,8,35,4.38,0,2,2,1.00,0,0,0,,0,0,,,,,,,0,
9,1950,1950-11-12,9,23.294,SFO,@,CLE,L 14-34,9,25,2.78,0,0,0,,0,0,0,,0,0,,,,,,,0,
10,1950,1950-11-19,10,23.301,SFO,@,CHI,L 0-17,10,48,4.80,0,1,12,12.00,0,0,0,,0,0,,,,,,,0,
11,1950,1950-11-26,11,23.308,SFO,@,GNB,L 21-25,11,46,4.18,0,2,17,8.50,0,0,0,,0,0,,,,,,,0,
12,1950,1950-12-10,12,23.322,SFO,,GNB,W 30-14,9,135,15.00,1,3,20,6.67,1,0,0,,0,0,,,,,,,2,
13,1951,1951-09-30,1,24.251,SFO,,CLE,W 24-10,10,4,0.40,2,4,36,9.00,0,0,0,,0,0,,,,,,,2,
14,1951,1951-10-06,2,24.257,SFO,@,PHI,L 14-21,14,76,5.43,0,4,37,9.25,0,0,0,,0,0,,,,,,,0,
15,1951,1951-10-14,3,24.265,SFO,@,PIT,W 28-24,12,61,5.08,0,4,45,11.25,1,0,0,,0,0,,,,,,,1,
16,1951,1951-10-21,4,24.272,SFO,@,CHI,L 7-13,4,4,1.00,0,1,35,35.00,0,0,0,,0,0,,,,,,,0,
17,1951,1951-10-28,5,24.279,SFO,,RAM,W 44-17,13,45,3.46,0,0,0,,0,0,0,,0,0,,,,,,,0,
18,1951,1951-11-04,6,24.286,SFO,@,RAM,L 16-23,12,115,9.58,1,1,1,1.00,0,0,0,,0,0,,,,,,,1,
19,1951,1951-11-18,8,24.300,SFO,,CRD,L 21-27,7,49,7.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
20,1951,1951-11-25,9,24.307,SFO,@,NYY,T 10-10,14,69,4.93,0,1,-1,-1.00,0,0,0,,0,0,,,,,,,0,
21,1951,1951-12-02,10,24.314,SFO,@,DET,W 20-10,22,126,5.73,0,2,-5,-2.50,0,0,0,,0,0,,,,,,,0,
22,1951,1951-12-09,11,24.321,SFO,,GNB,W 31-19,16,82,5.13,0,0,0,,0,0,0,,0,0,,,,,,,0,
23,1951,1951-12-16,12,24.328,SFO,,DET,W 21-17,12,46,3.83,0,1,19,19.00,0,1,1,100.00,31,1,0,158.3,0,0,31.00,51.00,0,
24,1952,1952-09-28,1,25.250,SFO,,DET,W 17-3,19,80,4.21,1,4,18,4.50,0,0,0,,0,0,,,,,,,1,
25,1952,1952-10-05,2,25.257,SFO,@,DTX,W 37-14,10,56,5.60,1,0,0,,0,0,0,,0,0,,,,,,,1,
26,1952,1952-10-12,3,25.264,SFO,@,DET,W 28-0,20,86,4.30,0,1,3,3.00,0,0,0,,0,0,,,,,,,0,
27,1952,1952-10-19,4,25.271,SFO,@,CHI,W 40-16,18,47,2.61,3,0,0,,0,0,0,,0,0,,,,,,,3,
28,1952,1952-10-26,5,25.278,SFO,,DTX,W 48-21,2,79,39.50,1,0,0,,0,0,0,,0,0,,,,,,,1,
29,1952,1952-11-02,6,25.285,SFO,,CHI,L 17-20,13,67,5.15,0,2,5,2.50,0,0,0,,0,0,,,,,,,0,
30,1952,1952-11-09,7,25.292,SFO,@,NYG,L 14-23,5,6,1.20,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,
31,1952,1952-11-16,8,25.299,SFO,@,WAS,W 23-17,15,66,4.40,1,1,3,3.00,0,0,0,,0,0,,,,,,,1,
32,1952,1952-11-23,9,25.306,SFO,@,RAM,L 9-35,11,39,3.55,0,3,18,6.00,0,0,0,,0,0,,,,,,,0,
33,1952,1952-11-30,10,25.313,SFO,,RAM,L 21-34,14,55,3.93,0,2,26,13.00,0,0,0,,0,0,,,,,,,0,
34,1952,1952-12-07,11,25.320,SFO,,PIT,L 7-24,11,35,3.18,0,1,-3,-3.00,0,0,0,,0,0,,,,,,,0,
35,1952,1952-12-14,12,25.327,SFO,,GNB,W 24-14,20,109,5.45,1,1,17,17.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,
36,1953,1953-09-27,1,26.248,SFO,,PHI,W 31-21,16,145,9.06,0,0,0,,0,0,0,,0,0,,,,,,,0,
37,1953,1953-10-04,2,26.255,SFO,,RAM,W 31-30,15,60,4.00,1,4,16,4.00,1,0,0,,0,0,,,,,,,2,
38,1953,1953-10-11,3,26.262,SFO,@,DET,L 21-24,10,21,2.10,0,1,-3,-3.00,0,0,0,,0,0,,,,,,,0,
39,1953,1953-10-18,4,26.269,SFO,@,CHI,W 35-28,20,113,5.65,3,1,9,9.00,0,0,0,,0,0,,,,,,,3,
40,1953,1953-10-25,5,26.276,SFO,,DET,L 10-14,26,148,5.69,1,0,0,,0,1,1,100.00,14,0,0,118.7,0,0,14.00,14.00,1,
41,1953,1953-11-01,6,26.283,SFO,,CHI,W 24-14,17,45,2.65,0,1,15,15.00,0,0,0,,0,0,,,,,,,0,
42,1953,1953-11-08,7,26.290,SFO,@,RAM,W 31-27,11,67,6.09,0,4,68,17.00,1,0,0,,0,0,,,,,,,1,
43,1953,1953-11-15,8,26.297,SFO,@,CLE,L 21-23,13,38,2.92,0,4,33,8.25,0,0,0,,0,0,,,,,,,0,
44,1953,1953-11-22,9,26.304,SFO,@,GNB,W 37-7,16,153,9.56,1,1,3,3.00,0,0,0,,0,0,,,,,,,1,
45,1953,1953-11-29,10,26.311,SFO,@,BAL,W 38-21,19,82,4.32,1,0,0,,0,0,0,,0,0,,,,,,,1,
46,1953,1953-12-06,11,26.318,SFO,,GNB,W 48-14,12,38,3.17,1,1,36,36.00,0,0,0,,0,0,,,,,,,1,
47,1953,1953-12-13,12,26.325,SFO,,BAL,W 45-14,17,108,6.35,2,2,14,7.00,1,0,0,,0,0,,,,,,,3,
48,1954,1954-09-26,1,27.247,SFO,,WAS,W 41-7,12,90,7.50,2,3,13,4.33,0,0,0,,0,0,,,,,,,2,
49,1954,1954-10-03,2,27.254,SFO,@,RAM,T 24-24,4,47,11.75,1,5,5,1.00,0,0,0,,0,0,,,,,,,1,
50,1954,1954-10-10,3,27.261,SFO,@,GNB,W 23-17,23,100,4.35,1,1,-5,-5.00,0,0,0,,0,0,,,,,,,1,
51,1954,1954-10-17,4,27.268,SFO,@,CHI,W 31-24,11,119,10.82,0,0,0,,0,0,0,,0,0,,,,,,,0,
52,1954,1954-10-24,5,27.275,SFO,,DET,W 37-31,13,51,3.92,0,2,7,3.50,0,0,0,,0,0,,,,,,,0,
53,1954,1954-10-31,6,27.282,SFO,,CHI,L 27-31,10,39,3.90,0,4,31,7.75,0,0,0,,0,0,,,,,,,0,
54,1954,1954-11-07,7,27.289,SFO,,RAM,L 34-42,12,124,10.33,1,1,16,16.00,0,0,0,,0,0,,,,,,,1,
55,1954,1954-11-14,8,27.296,SFO,@,DET,L 7-48,13,86,6.62,0,4,110,27.50,0,0,0,,0,0,,,,,,,0,
56,1954,1954-11-20,9,27.302,SFO,@,PIT,W 31-3,21,122,5.81,1,2,12,6.00,0,0,0,,0,0,,,,,,,1,
57,1954,1954-11-28,10,27.310,SFO,@,BAL,L 13-17,16,92,5.75,0,0,0,,0,1,1,100.00,34,0,0,118.7,0,0,34.00,34.00,0,
58,1954,1954-12-05,11,27.317,SFO,,GNB,W 35-0,20,137,6.85,1,3,12,4.00,0,0,0,,0,0,,,,,,,1,
59,1954,1954-12-11,12,27.323,SFO,,BAL,W 10-7,18,42,2.33,1,1,2,2.00,0,0,0,,0,0,,,,,,,1,
60,1955,1955-09-25,1,28.246,SFO,,RAM,L 14-23,15,69,4.60,0,2,-1,-0.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,
61,1955,1955-10-02,2,28.253,SFO,,CLE,L 3-38,10,23,2.30,0,0,0,,0,0,0,,0,0,,,,,,,0,
62,1955,1955-10-09,3,28.260,SFO,@,CHI,W 20-19,10,78,7.80,0,0,0,,0,0,0,,0,0,,,,,,,0,
63,1955,1955-10-16,4,28.267,SFO,@,DET,W 27-24,19,72,3.79,1,2,7,3.50,0,0,0,,0,0,,,,,,,1,
64,1955,1955-10-23,5,28.274,SFO,,CHI,L 23-34,10,75,7.50,0,0,0,,0,0,0,,0,0,,,,,,,0,
65,1955,1955-10-30,6,28.281,SFO,,DET,W 38-21,20,149,7.45,1,3,10,3.33,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,
66,1955,1955-11-06,7,28.288,SFO,@,RAM,L 14-27,12,20,1.67,0,1,17,17.00,0,0,0,,0,0,,,,,,,0,
67,1955,1955-11-13,8,28.295,SFO,@,WAS,L 0-7,14,55,3.93,0,4,20,5.00,0,0,0,,0,0,,,,,,,0,
68,1955,1955-11-20,9,28.302,SFO,@,GNB,L 21-27,21,79,3.76,0,3,-5,-1.67,0,0,0,,0,0,,,,,,,0,
69,1955,1955-11-27,10,28.309,SFO,@,BAL,L 14-26,8,35,4.38,0,2,-3,-1.50,0,0,0,,0,0,,,,,,,0,
70,1955,1955-12-04,11,28.316,SFO,,GNB,L 7-28,17,46,2.71,0,2,10,5.00,0,0,0,,0,0,,,,,,,0,
71,1956,1956-09-30,1,29.252,SFO,,NYG,L 21-38,3,14,4.67,0,3,2,0.67,0,0,0,,0,0,,,,,,,0,
72,1956,1956-10-07,2,29.259,SFO,,RAM,W 33-30,11,69,6.27,1,3,25,8.33,0,0,0,,0,0,,,,,,,1,
73,1956,1956-10-14,3,29.266,SFO,@,CHI,L 7-31,7,27,3.86,0,0,0,,0,0,0,,0,0,,,,,,,0,
74,1956,1956-10-21,4,29.273,SFO,@,DET,L 17-20,6,37,6.17,0,0,0,,0,0,0,,0,0,,,,,,,0,
75,1956,1956-10-28,5,29.280,SFO,,CHI,L 21-38,8,82,10.25,0,0,0,,0,0,0,,0,0,,,,,,,0,
76,1956,1956-11-11,7,29.294,SFO,@,RAM,L 6-30,3,2,0.67,0,5,40,8.00,0,0,0,,0,0,,,,,,,0,
77,1956,1956-11-18,8,29.301,SFO,@,GNB,W 17-16,12,56,4.67,0,2,3,1.50,0,0,0,,0,0,,,,,,,0,
78,1956,1956-11-25,9,29.308,SFO,@,PHI,T 10-10,16,38,2.38,0,3,20,6.67,0,0,0,,0,0,,,,,,,0,
79,1956,1956-12-02,10,29.315,SFO,@,BAL,W 20-17,12,43,3.58,1,2,14,7.00,0,0,0,,0,0,,,,,,,1,
80,1956,1956-12-08,11,29.321,SFO,,GNB,W 38-20,23,89,3.87,1,0,0,,0,0,0,,0,0,,,,,,,1,
