ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1997,1997-08-31,1,22.048,BAL,,JAX,L 27-28,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
2,1997,1997-09-07,2,22.055,BAL,,CIN,W 23-10,,16,73,4.56,1,2,2,23,11.50,0,100.0%,11.50,0,0,,0,1,6
3,1997,1997-09-14,3,22.062,BAL,@,NYG,W 24-23,,6,-4,-0.67,1,1,1,3,3.00,0,100.0%,3.00,0,0,,0,1,6
4,1997,1997-09-21,4,22.069,BAL,@,TEN,W 36-10,,9,51,5.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0
5,1997,1997-09-28,5,22.076,BAL,@,SDG,L 17-21,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
6,1997,1997-10-05,6,22.083,BAL,,PIT,L 34-42,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
7,1997,1997-10-19,7,22.097,BAL,,MIA,L 13-24,,1,0,0.00,0,5,3,5,1.67,0,60.0%,1.00,2,35,17.50,0,0,0
8,1997,1997-10-26,8,22.104,BAL,@,WAS,W 20-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
9,1997,1997-11-02,9,22.111,BAL,@,NYJ,L 16-19,,0,0,,0,0,0,0,,0,0.0%,,1,21,21.00,0,0,0
10,1997,1997-11-09,10,22.118,BAL,@,PIT,L 0-37,,4,11,2.75,0,0,0,0,,0,0.0%,,3,59,19.67,0,0,0
11,1997,1997-11-16,11,22.125,BAL,,PHI,T 10-10,,35,154,4.40,0,5,5,15,3.00,0,100.0%,3.00,0,0,,0,0,0
12,1997,1997-11-23,12,22.132,BAL,,ARI,L 13-16,,1,3,3.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
13,1997,1997-11-30,13,22.139,BAL,@,JAX,L 27-29,,9,11,1.22,0,0,0,0,,0,0.0%,,0,0,,0,0,0
14,1998,1998-09-06,1,23.054,BAL,,PIT,L 13-20,,,,,,,,,,,0.0%,,,,,,,
15,1998,1998-09-13,2,23.061,BAL,@,NYJ,W 24-10,,13,31,2.38,0,4,3,26,8.67,0,75.0%,6.50,1,22,22.00,0,0,0
16,1998,1998-09-20,3,23.068,BAL,@,JAX,L 10-24,,20,67,3.35,0,6,2,15,7.50,0,33.3%,2.50,1,15,15.00,0,0,0
17,1998,1998-09-27,4,23.075,BAL,,CIN,W 31-24,,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
18,1998,1998-10-11,5,23.089,BAL,,TEN,L 8-12,,0,0,,0,0,0,0,,0,0.0%,,1,15,15.00,0,0,0
19,1999,1999-12-12,13,24.151,BAL,@,PIT,W 31-24,,,,,,,,,,,0.0%,,,,,,,
20,1999,1999-12-19,14,24.158,BAL,,NOR,W 31-8,,,,,,,,,,,0.0%,,,,,,,
21,1999,1999-12-26,15,24.165,BAL,,CIN,W 22-0,,,,,,,,,,,0.0%,,,,,,,
22,1999,2000-01-02,16,24.172,BAL,@,NWE,L 3-20,,,,,,,,,,,0.0%,,,,,,,
23,2001,2001-10-07,4,26.085,SEA,,JAX,W 24-15,,,,,,,,,,,0.0%,,,,,,,
24,2001,2001-10-14,5,26.092,SEA,,DEN,W 34-21,,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
25,2001,2001-10-28,6,26.106,SEA,,MIA,L 20-24,,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
26,2001,2001-11-04,7,26.113,SEA,@,WAS,L 14-27,,0,0,,0,0,0,0,,0,0.0%,,2,39,19.50,0,0,0
27,2001,2001-11-11,8,26.120,SEA,,OAK,W 34-27,,1,19,19.00,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
28,2001,2001-11-18,9,26.127,SEA,@,BUF,W 23-20,,,,,,,,,,,0.0%,,,,,,,
29,2001,2001-11-25,10,26.134,SEA,@,KAN,L 7-19,,0,0,,0,0,0,0,,0,0.0%,,1,17,17.00,0,0,0
30,2001,2001-12-02,11,26.141,SEA,,SDG,W 13-10,,,,,,,,,,,0.0%,,,,,,,
31,2001,2001-12-23,14,26.162,SEA,@,NYG,L 24-27,,,,,,,,,,,0.0%,,,,,,,
32,2001,2001-12-30,15,26.169,SEA,@,SDG,W 25-22,,,,,,,,,,,0.0%,,,,,,,
33,2001,2002-01-06,16,26.176,SEA,,KAN,W 21-18,,8,18,2.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0
34,2002,2002-11-24,11,27.133,GNB,@,TAM,L 7-21,,,,,,,,,,,0.0%,,,,,,,
35,2002,2002-12-01,12,27.140,GNB,,CHI,W 30-20,,,,,,0,,,,,0.0%,,,,,,,
36,2002,2002-12-08,13,27.147,GNB,,MIN,W 26-22,,1,3,3.00,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0
