ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-08,1,24.158,ARI,,SDG,W 18-17,,5,2,29,14.50,1,40.0%,5.80,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
2,2014,2014-09-14,2,24.164,ARI,@,NYG,W 25-14,,4,3,28,9.33,0,75.0%,7.00,1,2,2.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2014,2014-09-21,3,24.171,ARI,,SFO,W 23-14,,6,4,52,13.00,2,66.7%,8.67,0,0,,0,0,0,,0,0,0,,0,2,12,0.0,0,0
4,2014,2014-10-05,4,24.185,ARI,@,DEN,L 20-41,,7,2,4,2.00,0,28.6%,0.57,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
5,2014,2014-10-12,5,24.192,ARI,,WAS,W 30-20,*,6,4,43,10.75,0,66.7%,7.17,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
6,2014,2014-10-19,6,24.199,ARI,@,OAK,W 24-13,,5,2,41,20.50,0,40.0%,8.20,1,-5,-5.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2014,2014-10-26,7,24.206,ARI,,PHI,W 24-20,,10,5,119,23.80,1,50.0%,11.90,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
8,2014,2014-11-02,8,24.213,ARI,@,DAL,W 28-17,,5,2,10,5.00,0,40.0%,2.00,1,-3,-3.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
9,2014,2014-11-09,9,24.220,ARI,,STL,W 31-14,,8,5,73,14.60,1,62.5%,9.13,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
10,2014,2014-11-16,10,24.227,ARI,,DET,W 14-6,*,9,5,69,13.80,0,55.6%,7.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2014,2014-11-23,11,24.234,ARI,@,SEA,L 3-19,*,5,3,61,20.33,0,60.0%,12.20,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
12,2014,2014-11-30,12,24.241,ARI,@,ATL,L 18-29,*,5,2,40,20.00,0,40.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2014,2014-12-07,13,24.248,ARI,,KAN,W 17-14,,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
14,2014,2014-12-11,14,24.252,ARI,@,STL,W 12-6,*,6,2,22,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
15,2014,2014-12-21,15,24.262,ARI,,SEA,L 6-35,,8,3,54,18.00,0,37.5%,6.75,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0
16,2014,2014-12-28,16,24.269,ARI,@,SFO,L 17-20,,9,4,51,12.75,0,44.4%,5.67,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0
17,2015,2015-09-13,1,25.163,ARI,,NOR,W 31-19,*,7,4,46,11.50,1,57.1%,6.57,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
18,2015,2015-09-20,2,25.170,ARI,@,CHI,W 48-23,*,5,5,45,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2015,2015-09-27,3,25.177,ARI,,SFO,W 47-7,*,5,3,62,20.67,0,60.0%,12.40,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2015,2015-10-04,4,25.184,ARI,,STL,L 22-24,,10,7,75,10.71,0,70.0%,7.50,1,13,13.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2015,2015-10-11,5,25.191,ARI,@,DET,W 42-17,*,4,4,73,18.25,1,100.0%,18.25,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
22,2015,2015-10-18,6,25.198,ARI,@,PIT,L 13-25,*,14,10,196,19.60,0,71.4%,14.00,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2015,2015-10-26,7,25.206,ARI,,BAL,W 26-18,,6,4,65,16.25,1,66.7%,10.83,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0
