ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1969,1969-10-19,6,23.278,CIN,,DEN,L 23-30,0,0,,0,0,0,,0,1,1,100.00,13,0,0,118.7,0,0,13.00,13.00
2,1971,1971-09-19,1,25.248,DEN,,MIA,T 10-10,3,82,27.33,0,0,0,,0,0,0,,0,0,0,,0,0,,
3,1971,1971-09-26,2,25.255,DEN,@,GNB,L 13-34,2,48,24.00,0,0,0,,0,0,0,,0,0,0,,0,0,,
4,1971,1971-10-03,3,25.262,DEN,,KAN,L 3-16,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
5,1971,1971-10-10,4,25.269,DEN,,OAK,L 16-27,,,,,,,,,,,,,,,,,,,
6,1971,1971-10-17,5,25.276,DEN,,SDG,W 20-16,,,,,,,,,,,,,,,,,,,
7,1971,1971-10-24,6,25.283,DEN,@,CLE,W 27-0,0,0,,0,1,2,2.00,0,0,0,,0,0,0,,0,0,,
8,1971,1971-10-31,7,25.290,DEN,@,PHI,L 16-17,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,
9,1971,1971-11-07,8,25.297,DEN,,DET,L 20-24,,,,,,,,,,,,,,,,,,,
10,1971,1971-11-14,9,25.304,DEN,,CIN,L 10-24,,,,,,,,,,,,,,,,,,,
11,1971,1971-11-21,10,25.311,DEN,@,KAN,L 10-28,2,25,12.50,0,0,0,,0,0,0,,0,0,0,,0,0,,
12,1971,1971-11-28,11,25.318,DEN,@,PIT,W 22-10,4,57,14.25,0,0,0,,0,0,0,,0,0,0,,0,0,,
13,1971,1971-12-05,12,25.325,DEN,,CHI,W 6-3,2,29,14.50,0,0,0,,0,0,0,,0,0,0,,0,0,,
14,1971,1971-12-12,13,25.332,DEN,@,SDG,L 17-45,,,,,,,,,,,,,,,,,,,
15,1971,1971-12-19,14,25.339,DEN,@,OAK,L 13-21,0,0,,0,0,0,,0,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00
