ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2012,2012-09-10,1,23.019,CIN,@,BAL,L 13-44,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2012,2012-09-23,3,23.032,CIN,@,WAS,W 38-31,*,0,0,0,,0,0.0%,,0,0,,0,1,1,100.00,73,1,0,158.3,0,0,73.00,93.00,0,0,,0,,0,0,0.0,0,0
3,2012,2012-09-30,4,23.039,CIN,@,JAX,W 27-10,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2012,2012-10-07,5,23.046,CIN,,MIA,L 13-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2012,2012-10-21,7,23.060,CIN,,PIT,L 17-24,,3,3,27,9.00,0,100.0%,9.00,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
6,2012,2012-11-04,8,23.074,CIN,,DEN,L 23-31,,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
7,2012,2012-11-11,9,23.081,CIN,,NYG,W 31-13,,6,4,47,11.75,1,66.7%,7.83,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
8,2012,2012-11-18,10,23.088,CIN,@,KAN,W 28-6,*,4,2,22,11.00,1,50.0%,5.50,2,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0.0,0,0
9,2012,2012-11-25,11,23.095,CIN,,OAK,W 34-10,*,9,5,29,5.80,2,55.6%,3.22,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,,2,12,0.0,0,0
10,2013,2013-09-08,1,24.017,CIN,@,CHI,L 21-24,*,5,4,19,4.75,0,80.0%,3.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0
