ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring
1,2017,2017-10-05,4,24.356,TAM,,NWE,L 14-19,,0,0
2,2017,2017-10-15,5,25.001,TAM,@,ARI,L 33-38,,0,0
3,2017,2017-12-24,15,25.071,TAM,@,CAR,L 19-22,,0,0
4,2017,2017-12-31,16,25.078,TAM,,NOR,W 31-24,,1,6
5,2018,2018-09-09,1,25.330,TAM,@,NOR,W 48-40,,0,0
6,2018,2018-09-16,2,25.337,TAM,,PHI,W 27-21,,0,0
7,2018,2018-09-24,3,25.345,TAM,,PIT,L 27-30,,0,0
