ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks
1,1987,1987-10-05,3,27.081,SFO,@,NYG,W 41-21,
2,1987,1987-10-11,4,27.087,SFO,@,ATL,W 25-17,1.0
3,1987,1987-10-18,5,27.094,SFO,,STL,W 34-28,
4,1987,1987-10-25,6,27.101,SFO,@,NOR,W 24-22,
5,1987,1987-11-01,7,27.108,SFO,@,RAM,W 31-10,
6,1987,1987-11-08,8,27.115,SFO,,HOU,W 27-20,
7,1987,1987-11-15,9,27.122,SFO,,NOR,L 24-26,1.0
8,1987,1987-11-22,10,27.129,SFO,@,TAM,W 24-10,
9,1987,1987-11-29,11,27.136,SFO,,CLE,W 38-24,
10,1987,1987-12-06,12,27.143,SFO,@,GNB,W 23-12,
11,1987,1987-12-14,13,27.151,SFO,,CHI,W 41-0,
12,1987,1987-12-20,14,27.157,SFO,,ATL,W 35-7,
13,1987,1987-12-27,15,27.164,SFO,,RAM,W 48-0,
