ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists
1,2002,2002-09-08,1,23.321,CLE,,KAN,L 39-40,,,,,,,,
2,2002,2002-09-15,2,23.328,CLE,,CIN,W 20-7,,,,,,,,
3,2002,2002-09-22,3,23.335,CLE,@,TEN,W 31-28,,,,,,,,
4,2002,2002-09-29,4,23.342,CLE,@,PIT,L 13-16,,,,,,,,
5,2002,2002-10-06,5,23.349,CLE,,BAL,L 21-26,,,,,,,,
6,2005,2005-09-18,2,26.331,TAM,,BUF,W 19-3,,,,,,,,
7,2005,2005-10-02,4,26.345,TAM,,DET,W 17-13,,,,,,,,
8,2005,2005-10-09,5,26.352,TAM,@,NYJ,L 12-14,,,,,,,,
9,2005,2005-10-16,6,26.359,TAM,,MIA,W 27-13,,,,,,,,
10,2005,2005-10-30,7,27.008,TAM,@,SFO,L 10-15,,,,,,,,
11,2005,2005-11-06,8,27.015,TAM,,CAR,L 14-34,,,,,,,,
12,2005,2005-11-13,9,27.022,TAM,,WAS,W 36-35,,,,,,,,
13,2005,2005-11-20,10,27.029,TAM,@,ATL,W 30-27,*,,,,,,,
14,2005,2005-11-27,11,27.036,TAM,,CHI,L 10-13,,,,,,,,
15,2005,2005-12-04,12,27.043,TAM,@,NOR,W 10-3,,,,,,,,
16,2005,2005-12-11,13,27.050,TAM,@,CAR,W 20-10,,,,,,,,
17,2005,2005-12-17,14,27.056,TAM,@,NWE,L 0-28,,,,,,,,
18,2005,2005-12-24,15,27.063,TAM,,ATL,W 27-24,,,,,,,,
19,2005,2006-01-01,16,27.071,TAM,,NOR,W 27-13,,,,,,,,
20,2006,2006-09-10,1,27.323,TAM,,BAL,L 0-27,,,,,,,,
21,2006,2006-09-17,2,27.330,TAM,@,ATL,L 3-14,,,,,,,,
22,2006,2006-09-24,3,27.337,TAM,,CAR,L 24-26,,,,,,,,
23,2006,2006-10-08,4,27.351,TAM,@,NOR,L 21-24,,,,,,,,
24,2006,2006-10-15,5,27.358,TAM,,CIN,W 14-13,,,,,,,,
25,2006,2006-10-22,6,28.000,TAM,,PHI,W 23-21,,,,,,,,
26,2006,2006-10-29,7,28.007,TAM,@,NYG,L 3-17,,,,,,,,
27,2006,2006-11-05,8,28.014,TAM,,NOR,L 14-31,,,,,,,,
28,2006,2006-11-13,9,28.022,TAM,@,CAR,L 10-24,,,,,,,,
29,2006,2006-11-19,10,28.028,TAM,,WAS,W 20-17,,,,,,,,
30,2006,2006-11-23,11,28.032,TAM,@,DAL,L 10-38,,,,,,,,
31,2006,2006-12-03,12,28.042,TAM,@,PIT,L 3-20,,,,,,,,
32,2006,2006-12-10,13,28.049,TAM,,ATL,L 6-17,,,,,,,,
33,2006,2006-12-17,14,28.056,TAM,@,CHI,L 31-34,,,,,,,,
34,2006,2006-12-24,15,28.063,TAM,@,CLE,W 22-7,,,,,,,,
35,2006,2006-12-31,16,28.070,TAM,,SEA,L 7-23,,,,,,,,
36,2007,2007-09-09,1,28.322,TAM,@,SEA,L 6-20,,,,,,,,
37,2007,2007-09-16,2,28.329,TAM,,NOR,W 31-14,,,,,,,,
38,2007,2007-09-23,3,28.336,TAM,,STL,W 24-3,,,,,,,,
39,2007,2007-09-30,4,28.343,TAM,@,CAR,W 20-7,,,,,,,,
40,2007,2007-10-07,5,28.350,TAM,@,IND,L 14-33,,,,,,,,
41,2007,2007-10-14,6,28.357,TAM,,TEN,W 13-10,,,,,,,,
42,2007,2007-10-21,7,28.364,TAM,@,DET,L 16-23,,,,,,,,
43,2007,2007-10-28,8,29.006,TAM,,JAX,L 23-24,,,,,,,,
44,2007,2007-11-04,9,29.013,TAM,,ARI,W 17-10,,,,,,,,
45,2007,2007-11-18,10,29.027,TAM,@,ATL,W 31-7,,,,,,,,
46,2007,2007-11-25,11,29.034,TAM,,WAS,W 19-13,,,,,,,,
47,2007,2007-12-02,12,29.041,TAM,@,NOR,W 27-23,,,,,,,,
48,2007,2007-12-09,13,29.048,TAM,@,HOU,L 14-28,,,,,,,,
49,2007,2007-12-16,14,29.055,TAM,,ATL,W 37-3,,,,,,,,
50,2007,2007-12-23,15,29.062,TAM,@,SFO,L 19-21,,,,,,,,
51,2007,2007-12-30,16,29.069,TAM,,CAR,L 23-31,*,,,,,,,
52,2008,2008-09-07,1,29.321,DET,@,ATL,L 21-34,,0,0,,0,0.0,0,0
53,2008,2008-09-14,2,29.328,DET,,GNB,L 25-48,,0,0,,0,0.0,0,0
54,2008,2008-09-21,3,29.335,DET,@,SFO,L 13-31,,0,0,,0,0.0,2,3
55,2008,2008-10-05,4,29.349,DET,,CHI,L 7-34,,0,0,,0,0.0,2,1
56,2008,2008-10-12,5,29.356,DET,@,MIN,L 10-12,,0,0,,0,1.0,4,0
57,2008,2008-10-19,6,29.363,DET,@,HOU,L 21-28,,0,0,,0,0.0,5,1
58,2008,2008-10-26,7,30.004,DET,,WAS,L 17-25,*,0,0,,0,0.0,2,2
59,2008,2008-11-02,8,30.011,DET,@,CHI,L 23-27,*,0,0,,0,0.0,9,0
60,2008,2008-11-09,9,30.018,DET,,JAX,L 14-38,*,0,0,,0,0.0,2,1
61,2008,2008-11-16,10,30.025,DET,@,CAR,L 22-31,*,0,0,,0,0.0,4,1
62,2008,2008-11-23,11,30.032,DET,,TAM,L 20-38,*,0,0,,0,0.0,4,2
63,2008,2008-11-27,12,30.036,DET,,TEN,L 10-47,*,0,0,,0,0.0,1,2
64,2008,2008-12-07,13,30.046,DET,,MIN,L 16-20,*,0,0,,0,0.0,2,3
65,2008,2008-12-14,14,30.053,DET,@,IND,L 21-31,*,0,0,,0,0.0,5,1
66,2008,2008-12-21,15,30.060,DET,,NOR,L 7-42,*,0,0,,0,0.0,5,0
67,2008,2008-12-28,16,30.067,DET,@,GNB,L 21-31,*,0,0,,0,0.0,9,1
68,2009,2009-09-13,1,30.326,DET,@,NOR,L 27-45,,0,0,,0,0.0,2,0
69,2009,2009-09-20,2,30.333,DET,,MIN,L 13-27,,0,0,,0,0.0,1,2
70,2009,2009-09-27,3,30.340,DET,,WAS,W 19-14,,,,,,,,
71,2009,2009-10-11,5,30.354,DET,,PIT,L 20-28,,0,0,,0,0.0,2,0
72,2009,2009-10-18,6,30.361,DET,@,GNB,L 0-26,,0,0,,0,0.0,1,0
73,2009,2009-11-01,7,31.010,DET,,STL,L 10-17,,0,0,,0,0.0,0,0
74,2009,2009-11-08,8,31.017,DET,@,SEA,L 20-32,,0,0,,0,0.0,0,0
75,2009,2009-11-15,9,31.024,DET,@,MIN,L 10-27,,,,,,,,
76,2009,2009-12-13,13,31.052,DET,@,BAL,L 3-48,,0,0,,0,0.0,4,1
77,2009,2009-12-20,14,31.059,DET,,ARI,L 24-31,,0,0,,0,0.0,0,2
78,2009,2009-12-27,15,31.066,DET,@,SFO,L 6-20,,,,,,,,
79,2009,2010-01-03,16,31.073,DET,,CHI,L 23-37,,1,1,1.00,0,0.0,0,0
