ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,def_int,def_int_yds,def_int_td
1,1991,1991-09-01,1,23.057,DAL,@,CLE,W 26-14,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
2,1991,1991-09-09,2,23.065,DAL,,WAS,L 31-33,,,1,29,29.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
3,1991,1991-09-15,3,23.071,DAL,,PHI,L 0-24,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
4,1991,1991-09-22,4,23.078,DAL,@,PHO,W 17-9,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
5,1991,1991-09-29,5,23.085,DAL,,NYG,W 21-16,,,1,23,23.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
6,1991,1991-10-13,7,23.099,DAL,,CIN,W 35-23,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
7,1991,1991-10-27,8,23.113,DAL,@,DET,L 10-34,,,1,11,11.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
8,1991,1991-11-03,9,23.120,DAL,,PHO,W 27-7,,,3,67,22.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
9,1991,1991-11-10,10,23.127,DAL,@,HOU,L 23-26,,,2,31,15.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
10,1991,1991-11-17,11,23.134,DAL,@,NYG,L 9-22,,,3,21,7.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
11,1991,1991-11-24,12,23.141,DAL,@,WAS,W 24-21,,,4,101,25.25,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,0,0
12,1991,1991-11-28,13,23.145,DAL,,PIT,W 20-10,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
13,1991,1991-12-08,14,23.155,DAL,,NOR,W 23-14,,,4,34,8.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
14,1991,1991-12-15,15,23.162,DAL,@,PHI,W 25-13,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,
15,1991,1991-12-22,16,23.169,DAL,,ATL,W 31-27,,,1,9,9.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
16,1992,1992-09-07,1,24.063,DAL,,WAS,W 23-10,,7,3,59,19.67,1,42.9%,8.43,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,0,0
17,1992,1992-09-13,2,24.069,DAL,@,NYG,W 34-28,,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
18,1992,1992-09-20,3,24.076,DAL,,PHO,W 31-20,,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
19,1992,1992-10-05,4,24.091,DAL,@,PHI,L 7-31,,3,1,42,42.00,0,33.3%,14.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
20,1992,1992-10-11,5,24.097,DAL,,SEA,W 27-0,,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
21,1992,1992-10-18,6,24.104,DAL,,KAN,W 17-10,,2,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,,,,0,,,,
22,1992,1992-10-25,7,24.111,DAL,@,RAI,W 28-13,,8,4,79,19.75,0,50.0%,9.88,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
23,1992,1992-11-01,8,24.118,DAL,,PHI,W 20-10,,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
24,1992,1992-11-08,9,24.125,DAL,@,DET,W 37-3,,6,3,61,20.33,0,50.0%,10.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
25,1992,1992-11-15,10,24.132,DAL,,RAM,L 23-27,,5,1,5,5.00,0,20.0%,1.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
26,1992,1992-11-22,11,24.139,DAL,@,PHO,W 16-10,,6,5,88,17.60,1,83.3%,14.67,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,0,0
27,1992,1992-11-26,12,24.143,DAL,,NYG,W 30-3,,4,2,15,7.50,1,50.0%,3.75,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,0,0
28,1992,1992-12-06,13,24.153,DAL,@,DEN,W 31-27,,5,2,17,8.50,0,40.0%,3.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,1,1,0
29,1992,1992-12-13,14,24.160,DAL,@,WAS,L 17-20,,8,4,51,12.75,0,50.0%,6.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
30,1992,1992-12-21,15,24.168,DAL,@,ATL,W 41-17,,5,3,53,17.67,1,60.0%,10.60,1,15,15.00,0,0,0,,0,0,0,,,,,,1,6,0,0,0
31,1992,1992-12-27,16,24.174,DAL,,CHI,W 27-14,,5,2,38,19.00,0,40.0%,7.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
32,1993,1993-09-06,1,25.062,DAL,@,WAS,L 16-35,,5,5,140,28.00,2,100.0%,28.00,0,0,,0,0,0,,0,0,0,,0,,,,2,12,0,0,0
33,1993,1993-09-12,2,25.068,DAL,,BUF,L 10-13,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0,0,0
34,1993,1993-09-19,3,25.075,DAL,@,PHO,W 17-10,,9,6,136,22.67,0,66.7%,15.11,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0,0,0
35,1993,1993-10-03,4,25.089,DAL,,GNB,W 36-14,,3,2,80,40.00,0,66.7%,26.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0,0,0
36,1993,1993-10-10,5,25.096,DAL,@,IND,W 27-3,,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0,0,0
37,1993,1993-10-17,6,25.103,DAL,,SFO,W 26-17,,4,1,36,36.00,0,25.0%,9.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0,0,0
38,1993,1993-10-31,7,25.117,DAL,@,PHI,W 23-10,,6,3,40,13.33,0,50.0%,6.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0,0,0
39,1993,1993-11-07,8,25.124,DAL,,NYG,W 31-9,,3,3,90,30.00,2,100.0%,30.00,0,0,,0,1,1,100.00,46,0,0,118.7,0,0,46.00,46.00,2,12,0,0,0
40,1993,1993-11-14,9,25.131,DAL,,PHO,W 20-15,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0,0,0
41,1993,1993-11-21,10,25.138,DAL,@,ATL,L 14-27,,10,4,77,19.25,0,40.0%,7.70,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0,0,0
42,1993,1993-11-25,11,25.142,DAL,,MIA,L 14-16,,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0,0,0
43,1993,1993-12-06,12,25.153,DAL,,PHI,W 23-17,,6,1,17,17.00,0,16.7%,2.83,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0,0,0
44,1993,1993-12-12,13,25.159,DAL,@,MIN,W 37-20,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0,0,0
45,1993,1993-12-18,14,25.165,DAL,@,NYJ,W 28-7,,3,2,41,20.50,0,66.7%,13.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0,0,0
46,1993,1993-12-26,15,25.173,DAL,,WAS,W 38-3,,6,4,65,16.25,1,66.7%,10.83,0,0,,0,0,0,,0,0,0,,0,,,,1,6,0,0,0
47,1993,1994-01-02,16,25.180,DAL,@,NYG,W 16-13,,1,0,0,,0,0.0%,0.00,,,,,0,0,,0,0,0,,0,,,,,,,,
48,1994,1994-09-04,1,26.060,DAL,@,PIT,W 26-9,,5,1,37,37.00,0,20.0%,7.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
49,1994,1994-09-11,2,26.067,DAL,,HOU,W 20-17,,6,3,109,36.33,1,50.0%,18.17,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,0,0
50,1994,1994-09-19,3,26.075,DAL,,DET,L 17-20,,3,2,28,14.00,1,66.7%,9.33,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,0,0
51,1994,1994-10-02,4,26.088,DAL,@,WAS,W 34-7,,6,1,46,46.00,0,16.7%,7.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
52,1994,1994-10-09,5,26.095,DAL,,ARI,W 38-3,,5,2,58,29.00,0,40.0%,11.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
53,1994,1994-10-16,6,26.102,DAL,,PHI,W 24-13,,5,4,52,13.00,1,80.0%,10.40,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,0,0
54,1994,1994-10-23,7,26.109,DAL,@,ARI,W 28-21,,5,4,75,18.75,1,80.0%,15.00,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,0,0
55,1994,1994-10-30,8,26.116,DAL,@,CIN,W 23-20,,9,6,125,20.83,1,66.7%,13.89,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,0,0
56,1994,1994-11-07,9,26.124,DAL,,NYG,W 38-10,,3,1,22,22.00,1,33.3%,7.33,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,0,0
57,1994,1994-11-13,10,26.130,DAL,@,SFO,L 14-21,,7,3,136,45.33,0,42.9%,19.43,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
58,1994,1994-11-20,11,26.137,DAL,,WAS,W 31-7,,5,1,15,15.00,1,20.0%,3.00,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,0,0
59,1994,1994-11-24,12,26.141,DAL,,GNB,W 42-31,,8,3,91,30.33,1,37.5%,11.38,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,0,0
60,1994,1994-12-04,13,26.151,DAL,@,PHI,W 31-19,,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,
61,1994,1994-12-10,14,26.157,DAL,,CLE,L 14-19,,5,2,27,13.50,0,40.0%,5.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
62,1994,1994-12-19,15,26.166,DAL,@,NOR,W 24-16,,3,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,
63,1994,1994-12-24,16,26.171,DAL,@,NYG,L 10-15,,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,,,,
64,1995,1995-09-24,4,27.080,TAM,,WAS,W 14-6,,3,3,27,9.00,1,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,1,6,0,0,0
65,1995,1995-10-01,5,27.087,TAM,@,CAR,W 20-13,,9,2,23,11.50,0,22.2%,2.56,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
66,1995,1995-10-08,6,27.094,TAM,,CIN,W 19-16,,10,6,117,19.50,0,60.0%,11.70,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
67,1995,1995-10-15,7,27.101,TAM,,MIN,W 20-17,,7,4,51,12.75,0,57.1%,7.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
68,1995,1995-10-22,8,27.108,TAM,,ATL,L 21-24,,10,6,72,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
69,1995,1995-10-29,9,27.115,TAM,@,HOU,L 7-19,,4,1,3,3.00,0,25.0%,0.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
70,1995,1995-11-12,10,27.129,TAM,@,DET,L 24-27,,7,5,91,18.20,0,71.4%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
71,1995,1995-11-19,11,27.136,TAM,,JAX,W 17-16,,7,4,58,14.50,0,57.1%,8.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,0,0,0
