ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-16,1,27.205,CLE,@,PHI,W 35-10,4,76,19.00,1
2,1950,1950-09-24,2,27.213,CLE,@,BAL,W 31-0,5,115,23.00,1
3,1950,1950-10-01,3,27.220,CLE,,NYG,L 0-6,4,67,16.75,0
4,1950,1950-10-07,4,27.226,CLE,@,PIT,W 30-17,1,13,13.00,0
5,1950,1950-10-15,5,27.234,CLE,,CRD,W 34-24,6,131,21.83,2
6,1950,1950-10-22,6,27.241,CLE,@,NYG,L 13-17,2,32,16.00,0
7,1950,1950-10-29,7,27.248,CLE,,PIT,W 45-7,1,7,7.00,0
8,1950,1950-11-05,8,27.255,CLE,@,CRD,W 10-7,3,30,10.00,0
9,1950,1950-11-12,9,27.262,CLE,,SFO,W 34-14,2,15,7.50,0
10,1950,1950-11-19,10,27.269,CLE,,WAS,W 20-14,4,27,6.75,1
11,1950,1950-12-10,12,27.290,CLE,@,WAS,W 45-21,5,52,10.40,0
12,1951,1951-09-30,1,28.219,CLE,@,SFO,L 10-24,5,23,4.60,0
13,1951,1951-10-07,2,28.226,CLE,@,RAM,W 38-23,3,39,13.00,0
14,1951,1951-10-14,3,28.233,CLE,,WAS,W 45-0,1,44,44.00,0
15,1951,1951-10-21,4,28.240,CLE,,PIT,W 17-0,3,27,9.00,0
16,1951,1951-10-28,5,28.247,CLE,,NYG,W 14-13,6,68,11.33,1
17,1951,1951-11-04,6,28.254,CLE,@,CRD,W 34-17,5,67,13.40,1
18,1951,1951-11-11,7,28.261,CLE,,PHI,W 20-17,4,85,21.25,1
19,1951,1951-11-18,8,28.268,CLE,@,NYG,W 10-0,3,52,17.33,0
20,1951,1951-11-25,9,28.275,CLE,,CHI,W 42-21,2,33,16.50,0
21,1951,1951-12-02,10,28.282,CLE,,CRD,W 49-28,5,78,15.60,1
22,1951,1951-12-09,11,28.289,CLE,@,PIT,W 28-0,4,46,11.50,1
23,1951,1951-12-16,12,28.296,CLE,@,PHI,W 24-9,2,24,12.00,1
24,1952,1952-11-09,7,29.260,CLE,,CRD,W 28-13,1,9,9.00,0
25,1952,1952-11-16,8,29.267,CLE,,PIT,W 29-28,6,107,17.83,2
26,1952,1952-11-23,9,29.274,CLE,,PHI,L 20-28,2,17,8.50,0
27,1952,1952-11-30,10,29.281,CLE,@,WAS,W 48-24,5,106,21.20,1
28,1952,1952-12-07,11,29.288,CLE,@,CRD,W 10-0,4,54,13.50,0
29,1952,1952-12-14,12,29.295,CLE,@,NYG,L 34-37,3,43,14.33,1
30,1953,1953-09-27,1,30.216,CLE,@,GNB,W 27-0,4,45,11.25,0
31,1953,1953-10-04,2,30.223,CLE,@,CRD,W 27-7,4,137,34.25,2
32,1953,1953-10-10,3,30.229,CLE,,PHI,W 37-13,4,99,24.75,1
33,1953,1953-10-18,4,30.237,CLE,@,WAS,W 30-14,4,97,24.25,1
34,1953,1953-10-25,5,30.244,CLE,@,NYG,W 7-0,2,26,13.00,0
35,1953,1953-11-01,6,30.251,CLE,,WAS,W 27-3,3,48,16.00,0
36,1953,1953-11-08,7,30.258,CLE,,PIT,W 34-16,3,32,10.67,1
37,1953,1953-11-15,8,30.265,CLE,,SFO,W 23-21,6,137,22.83,0
38,1953,1953-11-22,9,30.272,CLE,@,PIT,W 20-16,5,49,9.80,0
39,1953,1953-11-29,10,30.279,CLE,,CRD,W 27-16,3,36,12.00,0
40,1953,1953-12-06,11,30.286,CLE,,NYG,W 62-14,2,25,12.50,0
41,1953,1953-12-13,12,30.293,CLE,@,PHI,L 27-42,5,52,10.40,1
42,1954,1954-09-26,1,31.215,CLE,@,PHI,L 10-28,2,36,18.00,1
43,1954,1954-10-10,2,31.229,CLE,,CRD,W 31-7,6,88,14.67,0
44,1954,1954-10-17,3,31.236,CLE,@,PIT,L 27-55,7,134,19.14,2
45,1954,1954-10-24,4,31.243,CLE,@,CRD,W 35-3,8,98,12.25,1
46,1954,1954-10-31,5,31.250,CLE,,NYG,W 24-14,2,40,20.00,1
47,1954,1954-11-07,6,31.257,CLE,,WAS,W 62-3,4,69,17.25,1
48,1954,1954-11-14,7,31.264,CLE,@,CHI,W 39-10,6,75,12.50,1
49,1954,1954-11-21,8,31.271,CLE,,PHI,W 6-0,1,14,14.00,0
50,1954,1954-11-28,9,31.278,CLE,@,NYG,W 16-7,4,50,12.50,0
51,1954,1954-12-05,10,31.285,CLE,@,WAS,W 34-14,5,128,25.60,0
52,1954,1954-12-12,11,31.292,CLE,,PIT,W 42-7,2,70,35.00,0
53,1955,1955-09-25,1,32.214,CLE,,WAS,L 17-27,2,39,19.50,0
54,1955,1955-10-02,2,32.221,CLE,@,SFO,W 38-3,2,37,18.50,0
55,1955,1955-10-09,3,32.228,CLE,,PHI,W 21-17,6,108,18.00,1
56,1955,1955-10-16,4,32.235,CLE,@,WAS,W 24-14,2,24,12.00,0
57,1955,1955-10-23,5,32.242,CLE,,GNB,W 41-10,1,17,17.00,0
58,1955,1955-11-06,7,32.256,CLE,,NYG,W 24-14,4,37,9.25,0
59,1955,1955-11-13,8,32.263,CLE,@,PHI,L 17-33,1,5,5.00,0
60,1955,1955-11-20,9,32.270,CLE,,PIT,W 41-14,3,64,21.33,2
61,1955,1955-11-27,10,32.277,CLE,@,NYG,T 35-35,5,74,14.80,0
62,1955,1955-12-04,11,32.284,CLE,@,PIT,W 30-7,1,22,22.00,0
63,1955,1955-12-11,12,32.291,CLE,,CRD,W 35-24,4,65,16.25,1
64,1956,1956-10-06,2,33.226,CLE,@,PIT,W 14-10,3,54,18.00,0
65,1956,1956-10-14,3,33.234,CLE,,NYG,L 9-21,5,74,14.80,0
66,1956,1956-10-21,4,33.241,CLE,@,WAS,L 9-20,5,68,13.60,0
67,1956,1956-10-28,5,33.248,CLE,,PIT,L 16-24,1,68,68.00,1
68,1956,1956-11-18,8,33.269,CLE,@,PHI,W 16-0,1,13,13.00,0
69,1956,1956-11-25,9,33.276,CLE,,WAS,L 17-20,1,7,7.00,0
70,1956,1956-12-02,10,33.283,CLE,,PHI,W 17-14,2,26,13.00,0
71,1956,1956-12-16,12,33.297,CLE,,CRD,L 7-24,2,34,17.00,0
