ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-09-14,2,24.094,STL,,NYG,L 13-41,,0,0,0,,0,0.0%,,0,0,,0,1,21,21.00,0,0,0,0.0,0,0
2,2008,2008-09-21,3,24.101,STL,@,SEA,L 13-37,,5,3,24,8.00,0,60.0%,4.80,0,0,,0,0,0,,0,0,0,0.0,0,0
3,2008,2008-09-28,4,24.108,STL,,BUF,L 14-31,*,7,3,22,7.33,0,42.9%,3.14,1,37,37.00,1,0,0,,0,1,6,0.0,0,0
4,2008,2008-10-12,5,24.122,STL,@,WAS,W 19-17,,5,4,73,18.25,0,80.0%,14.60,1,-5,-5.00,0,0,0,,0,0,0,0.0,0,0
5,2008,2008-10-19,6,24.129,STL,,DAL,W 34-14,*,5,4,55,13.75,1,80.0%,11.00,2,17,8.50,0,0,0,,0,1,6,0.0,0,0
6,2008,2008-10-26,7,24.136,STL,@,NWE,L 16-23,*,10,6,163,27.17,1,60.0%,16.30,1,-1,-1.00,0,0,0,,0,1,6,0.0,0,0
7,2008,2008-11-02,8,24.143,STL,,ARI,L 13-34,*,9,3,26,8.67,0,33.3%,2.89,0,0,,0,0,0,,0,0,0,0.0,0,0
8,2008,2008-11-09,9,24.150,STL,@,NYJ,L 3-47,*,7,2,29,14.50,0,28.6%,4.14,1,13,13.00,0,0,0,,0,0,0,0.0,1,0
9,2008,2008-11-16,10,24.157,STL,@,SFO,L 16-35,*,13,9,93,10.33,0,69.2%,7.15,0,0,,0,0,0,,0,0,0,0.0,0,0
10,2008,2008-11-23,11,24.164,STL,,CHI,L 3-27,*,4,1,14,14.00,0,25.0%,3.50,1,-5,-5.00,0,0,0,,0,0,0,0.0,1,0
11,2008,2008-11-30,12,24.171,STL,,MIA,L 12-16,*,3,0,0,,0,0.0%,0.00,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
12,2008,2008-12-07,13,24.178,STL,@,ARI,L 10-34,*,6,2,18,9.00,0,33.3%,3.00,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2008,2008-12-14,14,24.185,STL,,SEA,L 20-23,*,10,6,61,10.17,0,60.0%,6.10,2,11,5.50,0,0,0,,0,0,0,0.0,0,0
14,2008,2008-12-21,15,24.192,STL,,SFO,L 16-17,*,9,5,56,11.20,0,55.6%,6.22,0,0,,0,0,0,,0,0,0,0.0,1,0
15,2008,2008-12-28,16,24.199,STL,@,ATL,L 27-31,*,9,5,40,8.00,1,55.6%,4.44,0,0,,0,0,0,,0,1,6,0.0,0,0
16,2009,2009-09-13,1,25.093,STL,@,SEA,L 0-28,*,8,6,46,7.67,0,75.0%,5.75,1,8,8.00,0,1,19,19.00,0,0,0,0.0,0,0
17,2009,2009-09-20,2,25.100,STL,@,WAS,L 7-9,*,6,1,4,4.00,0,16.7%,0.67,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2009,2009-09-27,3,25.107,STL,,GNB,L 17-36,*,7,3,12,4.00,0,42.9%,1.71,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2009,2009-10-04,4,25.114,STL,@,SFO,L 0-35,*,4,3,47,15.67,0,75.0%,11.75,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2009,2009-10-11,5,25.121,STL,,MIN,L 10-38,*,7,5,87,17.40,1,71.4%,12.43,0,0,,0,0,0,,0,1,6,0.0,0,0
21,2009,2009-10-18,6,25.128,STL,@,JAX,L 20-23,*,3,1,17,17.00,1,33.3%,5.67,0,0,,0,0,0,,0,1,6,0.0,0,0
22,2009,2009-10-25,7,25.135,STL,,IND,L 6-42,*,4,2,58,29.00,0,50.0%,14.50,0,0,,0,0,0,,0,0,0,0.0,0,0
23,2009,2009-11-01,8,25.142,STL,@,DET,W 17-10,*,6,1,15,15.00,0,16.7%,2.50,0,0,,0,0,0,,0,0,0,0.0,0,0
24,2009,2009-11-15,9,25.156,STL,,NOR,L 23-28,*,6,4,67,16.75,2,66.7%,11.17,0,0,,0,0,0,,0,2,12,0.0,0,0
25,2009,2009-11-22,10,25.163,STL,,ARI,L 13-21,*,7,4,65,16.25,0,57.1%,9.29,1,4,4.00,0,0,0,,0,0,0,0.0,0,0
26,2009,2009-11-29,11,25.170,STL,,SEA,L 17-27,*,11,4,48,12.00,1,36.4%,4.36,0,0,,0,0,0,,0,1,6,0.0,0,0
27,2009,2009-12-06,12,25.177,STL,@,CHI,L 9-17,*,8,3,30,10.00,0,37.5%,3.75,1,15,15.00,0,0,0,,0,0,0,0.0,0,0
28,2009,2009-12-13,13,25.184,STL,@,TEN,L 7-47,*,6,2,14,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0,0.0,0,0
29,2009,2009-12-20,14,25.191,STL,,HOU,L 13-16,*,6,4,32,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,0.0,0,0
30,2009,2009-12-27,15,25.198,STL,@,ARI,L 10-31,*,4,2,24,12.00,0,50.0%,6.00,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
31,2009,2010-01-03,16,25.205,STL,,SFO,L 6-28,*,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,0,0,0.0,0,0
32,2011,2011-10-02,4,27.112,TEN,@,CLE,W 31-13,,,,,,,0.0%,,,,,,,,,,,,,,
33,2011,2011-10-09,5,27.119,TEN,@,PIT,L 17-38,,,,,,,0.0%,,,,,,,,,,,,,,
34,2011,2011-10-23,6,27.133,TEN,,HOU,L 7-41,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
35,2011,2011-10-30,7,27.140,TEN,,IND,W 27-10,,,,,,,0.0%,,,,,,,,,,,,,,
36,2011,2011-11-06,8,27.147,TEN,,CIN,L 17-24,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
37,2011,2011-11-13,9,27.154,TEN,@,CAR,W 30-3,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
38,2011,2011-12-24,15,27.195,TEN,,JAX,W 23-17,,,,,,,0.0%,,,,,,,,,,,,,,
39,2011,2012-01-01,16,27.203,TEN,@,HOU,W 23-22,,6,3,45,15.00,1,50.0%,7.50,0,0,,0,0,0,,0,1,6,0.0,0,0
40,2012,2012-09-09,1,28.089,IND,@,CHI,L 21-41,*,8,3,37,12.33,1,37.5%,4.63,0,0,,0,0,0,,0,1,6,0.0,0,0
41,2012,2012-09-16,2,28.096,IND,,MIN,W 23-20,*,10,9,111,12.33,0,90.0%,11.10,2,7,3.50,0,0,0,,0,0,0,0.0,0,0
42,2012,2012-09-23,3,28.103,IND,,JAX,L 17-22,*,9,2,28,14.00,0,22.2%,3.11,0,0,,0,0,0,,0,0,0,0.0,0,0
43,2012,2012-10-07,4,28.117,IND,,GNB,W 30-27,*,8,3,22,7.33,0,37.5%,2.75,0,0,,0,0,0,,0,0,0,0.0,0,0
44,2012,2012-10-14,5,28.124,IND,@,NYJ,L 9-35,*,12,4,60,15.00,0,33.3%,5.00,1,-1,-1.00,0,0,0,,0,0,0,0.0,0,0
45,2012,2012-10-21,6,28.131,IND,,CLE,W 17-13,*,6,4,46,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,0.0,0,0
46,2012,2012-10-28,7,28.138,IND,@,TEN,W 19-13,*,7,4,42,10.50,0,57.1%,6.00,0,0,,0,0,0,,0,0,0,0.0,0,0
47,2012,2012-11-04,8,28.145,IND,,MIA,W 23-20,*,8,5,108,21.60,0,62.5%,13.50,0,0,,0,0,0,,0,0,0,0.0,0,0
48,2012,2012-11-08,9,28.149,IND,@,JAX,W 27-10,*,6,4,65,16.25,0,66.7%,10.83,0,0,,0,0,0,,0,0,0,0.0,0,0
49,2012,2012-11-18,10,28.159,IND,@,NWE,L 24-59,*,4,3,34,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,0,0,0.0,0,0
50,2012,2012-11-25,11,28.166,IND,,BUF,W 20-13,*,8,3,31,10.33,0,37.5%,3.88,0,0,,0,0,0,,0,0,0,0.0,0,0
51,2012,2012-12-02,12,28.173,IND,@,DET,W 35-33,*,14,5,91,18.20,2,35.7%,6.50,0,0,,0,0,0,,0,2,12,0.0,0,0
52,2012,2012-12-09,13,28.180,IND,,TEN,W 27-23,,9,3,31,10.33,0,33.3%,3.44,1,3,3.00,0,0,0,,0,0,0,0.0,0,0
53,2012,2012-12-16,14,28.187,IND,@,HOU,L 17-29,*,5,3,37,12.33,0,60.0%,7.40,0,0,,0,0,0,,0,0,0,0.0,0,0
54,2012,2012-12-23,15,28.194,IND,@,KAN,W 20-13,*,9,5,38,7.60,0,55.6%,4.22,0,0,,0,0,0,,0,0,0,0.0,0,0
55,2012,2012-12-30,16,28.201,IND,,HOU,W 28-16,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0
56,2013,2013-09-08,1,29.088,KAN,@,JAX,W 28-2,*,5,2,11,5.50,1,40.0%,2.20,0,0,,0,0,0,,0,1,6,0.0,0,0
57,2013,2013-09-15,2,29.095,KAN,,DAL,W 17-16,,4,2,38,19.00,0,50.0%,9.50,1,2,2.00,0,0,0,,0,0,0,0.0,0,0
58,2013,2013-09-19,3,29.099,KAN,@,PHI,W 26-16,*,7,7,141,20.14,0,100.0%,20.14,0,0,,0,0,0,,0,0,0,0.0,0,0
59,2013,2013-09-29,4,29.109,KAN,,NYG,W 31-7,*,10,2,23,11.50,0,20.0%,2.30,0,0,,0,0,0,,0,0,0,0.0,0,0
