ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1994,1994-09-04,1,23.109,GNB,,MIN,W 16-10,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,8,317,39.63,0
2,1994,1994-09-11,2,23.116,GNB,,MIA,L 14-24,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,2,78,39.00,0
3,1994,1994-09-18,3,23.123,GNB,@,PHI,L 7-13,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,6,227,37.83,0
4,1994,1994-09-25,4,23.130,GNB,,TAM,W 30-3,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,2,79,39.50,0
5,1994,1994-10-02,5,23.137,GNB,@,NWE,L 16-17,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,9,360,40.00,0
6,1994,1994-10-09,6,23.144,GNB,,RAM,W 24-17,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,6,232,38.67,0
7,1994,1994-10-20,7,23.155,GNB,@,MIN,L 10-13,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,10,460,46.00,0
8,1994,1994-10-31,8,23.166,GNB,@,CHI,W 33-6,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,7,187,26.71,0
9,1994,1994-11-06,9,23.172,GNB,,DET,W 38-30,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,201,50.25,0
10,1994,1994-11-13,10,23.179,GNB,,NYJ,W 17-10,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,6,329,54.83,0
11,1994,1994-11-20,11,23.186,GNB,@,BUF,L 20-29,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,214,42.80,0
12,1994,1994-11-24,12,23.190,GNB,@,DAL,L 31-42,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,6,274,45.67,0
13,1994,1994-12-04,13,23.200,GNB,@,DET,L 31-34,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,2,82,41.00,0
14,1994,1994-12-11,14,23.207,GNB,,CHI,W 40-3,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,2,79,39.50,0
15,1994,1994-12-18,15,23.214,GNB,,ATL,W 21-17,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,178,44.50,0
16,1994,1994-12-24,16,23.220,GNB,@,TAM,W 34-19,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,2,54,27.00,0
17,1995,1995-09-03,1,24.108,GNB,,STL,L 14-17,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,7,342,48.86,1
18,1995,1995-09-11,2,24.116,GNB,@,CHI,W 27-24,,0,0,,0,0,0,,,,,,0,0,,0,,,,2,2,100.0,0,6,1,11,11.00,1
19,1995,1995-09-17,3,24.122,GNB,,NYG,W 14-6,,0,0,,0,0,0,,,,,,0,0,,0,2,2,100.0,,1,0.0,0,2,9,390,43.33,0
20,1995,1995-09-24,4,24.129,GNB,@,JAX,W 24-14,,0,0,,0,0,0,,,,,,0,0,,0,3,3,100.0,1,2,50.0,0,6,4,196,49.00,0
21,1995,1995-10-08,5,24.143,GNB,@,DAL,L 24-34,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,212,42.40,0
22,1995,1995-10-15,6,24.150,GNB,,DET,W 30-21,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,173,43.25,0
23,1995,1995-10-22,7,24.157,GNB,,MIN,W 38-21,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,6,267,44.50,0
24,1995,1995-10-29,8,24.164,GNB,@,DET,L 16-24,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,1,55,55.00,0
25,1995,1995-11-05,9,24.171,GNB,@,MIN,L 24-27,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,3,133,44.33,0
26,1995,1995-11-12,10,24.178,GNB,,CHI,W 35-28,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,163,32.60,0
27,1995,1995-11-19,11,24.185,GNB,@,CLE,W 31-20,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,2,92,46.00,0
28,1995,1995-11-26,12,24.192,GNB,,TAM,W 35-13,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,146,36.50,0
29,1995,1995-12-03,13,24.199,GNB,,CIN,W 24-10,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,137,34.25,0
30,1995,1995-12-10,14,24.206,GNB,@,TAM,L 10-13,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,209,41.80,0
31,1995,1995-12-16,15,24.212,GNB,@,NOR,W 34-23,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,2,90,45.00,0
32,1995,1995-12-24,16,24.220,GNB,,PIT,W 24-19,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,3,124,41.33,0
33,1996,1996-09-01,1,25.106,GNB,@,TAM,W 34-3,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,2,89,44.50,0
34,1996,1996-09-09,2,25.114,GNB,,PHI,W 39-13,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,3,164,54.67,0
35,1996,1996-09-15,3,25.120,GNB,,SDG,W 42-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,3,114,38.00,0
36,1996,1996-09-22,4,25.127,GNB,@,MIN,L 21-30,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,8,380,47.50,0
37,1996,1996-09-29,5,25.134,GNB,@,SEA,W 31-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,7,304,43.43,0
38,1996,1996-10-06,6,25.141,GNB,@,CHI,W 37-6,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,2,73,36.50,0
39,1996,1996-10-14,7,25.149,GNB,,SFO,W 23-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,6,239,39.83,0
40,1996,1996-10-27,8,25.162,GNB,,TAM,W 13-7,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,2,85,42.50,0
41,1996,1996-11-03,9,25.169,GNB,,DET,W 28-18,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,5,157,31.40,0
42,1996,1996-11-10,10,25.176,GNB,@,KAN,L 20-27,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,6,251,41.83,0
43,1996,1996-11-18,11,25.184,GNB,@,DAL,L 6-21,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,7,314,44.86,0
44,1996,1996-11-24,12,25.190,GNB,@,STL,W 24-9,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,6,266,44.33,0
45,1996,1996-12-01,13,25.197,GNB,,CHI,W 28-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,4,161,40.25,0
46,1996,1996-12-08,14,25.204,GNB,,DEN,W 41-6,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,2,78,39.00,0
47,1996,1996-12-15,15,25.211,GNB,@,DET,W 31-3,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,2,88,44.00,0
48,1996,1996-12-22,16,25.218,GNB,,MIN,W 38-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,3,123,41.00,0
49,1997,1997-09-01,1,26.106,GNB,,CHI,W 38-24,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,160,40.00,0
50,1997,1997-09-07,2,26.112,GNB,@,PHI,L 9-10,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,6,295,49.17,0
51,1997,1997-09-14,3,26.119,GNB,,MIA,W 23-18,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,3,148,49.33,0
52,1997,1997-09-21,4,26.126,GNB,,MIN,W 38-32,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,181,45.25,0
53,1997,1997-09-28,5,26.133,GNB,@,DET,L 15-26,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,3,149,49.67,0
54,1997,1997-10-05,6,26.140,GNB,,TAM,W 21-16,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,7,321,45.86,0
55,1997,1997-10-12,7,26.147,GNB,@,CHI,W 24-23,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,167,41.75,0
56,1997,1997-10-27,8,26.162,GNB,@,NWE,W 28-10,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,178,44.50,0
57,1997,1997-11-02,9,26.168,GNB,,DET,W 20-10,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,8,339,42.38,0
58,1997,1997-11-09,10,26.175,GNB,,STL,W 17-7,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,6,266,44.33,0
59,1997,1997-11-16,11,26.182,GNB,@,IND,L 38-41,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,1,65,65.00,0
60,1997,1997-11-23,12,26.189,GNB,,DAL,W 45-17,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,3,122,40.67,0
61,1997,1997-12-01,13,26.197,GNB,@,MIN,W 27-11,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,7,336,48.00,0
62,1997,1997-12-07,14,26.203,GNB,@,TAM,W 17-6,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,158,39.50,0
63,1997,1997-12-14,15,26.210,GNB,@,CAR,W 31-10,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,217,43.40,0
64,1997,1997-12-20,16,26.216,GNB,,BUF,W 31-21,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,6,276,46.00,0
65,1998,1998-09-06,1,27.111,TEN,@,CIN,W 23-14,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,4,171,42.75,0
66,1998,1998-09-13,2,27.118,TEN,,SDG,L 7-13,,1,1,100.00,13,0,0,118.7,0,0,13.00,13.00,0,0,,0,,,,,,,0,0,6,258,43.00,0
67,1998,1998-09-20,3,27.125,TEN,@,NWE,L 16-27,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,4,176,44.00,0
68,1998,1998-09-27,4,27.132,TEN,,JAX,L 22-27,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,3,151,50.33,0
69,1998,1998-10-11,5,27.146,TEN,@,BAL,W 12-8,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,6,299,49.83,0
70,1998,1998-10-18,6,27.153,TEN,,CIN,W 44-14,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,2,97,48.50,0
71,1998,1998-10-25,7,27.160,TEN,,CHI,L 20-23,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,1,0.0,0,0,2,115,57.50,0
72,1998,1998-11-01,8,27.167,TEN,@,PIT,W 41-31,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,2,101,50.50,0
73,1998,1998-11-08,9,27.174,TEN,@,TAM,W 31-22,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,3,152,50.67,0
74,1998,1998-11-15,10,27.181,TEN,,PIT,W 23-14,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,,,,,,,0,0,4,221,55.25,0
75,1998,1998-11-22,11,27.188,TEN,,NYJ,L 3-24,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,7,338,48.29,0
76,1998,1998-11-29,12,27.195,TEN,@,SEA,L 18-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,4,193,48.25,0
77,1998,1998-12-06,13,27.202,TEN,,BAL,W 16-14,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,7,323,46.14,0
78,1998,1998-12-13,14,27.209,TEN,@,JAX,W 16-13,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,4,193,48.25,0
79,1998,1998-12-20,15,27.216,TEN,@,GNB,L 22-30,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,8,346,43.25,0
80,1998,1998-12-26,16,27.222,TEN,,MIN,L 16-26,,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,3,124,41.33,0
81,1999,1999-09-12,1,28.117,TEN,,CIN,W 36-35,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,2,93,46.50,0
82,1999,1999-09-19,2,28.124,TEN,,CLE,W 26-9,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,159,39.75,0
83,1999,1999-09-26,3,28.131,TEN,@,JAX,W 20-19,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,6,222,37.00,0
84,1999,1999-10-03,4,28.138,TEN,@,SFO,L 22-24,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,203,40.60,0
85,1999,1999-10-10,5,28.145,TEN,,BAL,W 14-11,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,9,397,44.11,0
86,1999,1999-10-17,6,28.152,TEN,@,NOR,W 24-21,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,241,48.20,0
87,1999,1999-10-31,7,28.166,TEN,,STL,W 24-21,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,9,410,45.56,0
88,1999,1999-11-07,8,28.173,TEN,@,MIA,L 0-17,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,6,231,38.50,0
89,1999,1999-11-14,9,28.180,TEN,@,CIN,W 24-14,,0,0,,0,0,0,,,,,,1,0,0.00,0,,,,,,,0,0,7,300,42.86,0
90,1999,1999-11-21,10,28.187,TEN,,PIT,W 16-10,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,6,244,40.67,0
91,1999,1999-11-28,11,28.194,TEN,@,CLE,W 33-21,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,191,47.75,0
92,1999,1999-12-05,12,28.201,TEN,@,BAL,L 14-41,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,6,275,45.83,0
93,1999,1999-12-09,13,28.205,TEN,,OAK,W 21-14,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,122,30.50,0
94,1999,1999-12-19,14,28.215,TEN,,ATL,W 30-17,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,7,311,44.43,0
95,1999,1999-12-26,15,28.222,TEN,,JAX,W 41-14,,0,0,,0,0,0,,,,,,1,1,1.00,0,,,,,,,0,0,4,160,40.00,0
96,1999,2000-01-02,16,28.229,TEN,@,PIT,W 47-36,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,6,265,44.17,0
97,2000,2000-09-03,1,29.108,TEN,@,BUF,L 13-16,,0,0,,0,0,0,,,,,,0,0,,0,,,,,1,0.0,0,0,9,346,38.44,0
98,2000,2000-09-10,2,29.115,TEN,,KAN,W 17-14,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,159,39.75,0
99,2000,2000-09-24,3,29.129,TEN,@,PIT,W 23-20,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,169,42.25,0
100,2000,2000-10-01,4,29.136,TEN,,NYG,W 28-14,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,165,41.25,0
101,2000,2000-10-08,5,29.143,TEN,@,CIN,W 23-14,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,195,39.00,0
102,2000,2000-10-16,6,29.151,TEN,,JAX,W 27-13,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,3,148,49.33,0
103,2000,2000-10-22,7,29.157,TEN,@,BAL,W 14-6,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,7,321,45.86,0
104,2000,2000-10-30,8,29.165,TEN,@,WAS,W 27-21,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,177,35.40,0
105,2000,2000-11-05,9,29.171,TEN,,PIT,W 9-7,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,205,41.00,0
106,2000,2000-11-12,10,29.178,TEN,,BAL,L 23-24,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,245,49.00,0
107,2000,2000-11-19,11,29.185,TEN,,CLE,W 24-10,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,1,52,52.00,0
108,2000,2000-11-26,12,29.192,TEN,@,JAX,L 13-16,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,191,38.20,0
109,2000,2000-12-03,13,29.199,TEN,@,PHI,W 15-13,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,185,37.00,0
110,2000,2000-12-10,14,29.206,TEN,,CIN,W 35-3,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,209,41.80,0
111,2000,2000-12-17,15,29.213,TEN,@,CLE,W 24-0,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,4,148,37.00,0
112,2000,2000-12-25,16,29.221,TEN,,DAL,W 31-0,,0,0,,0,0,0,,,,,,0,0,,0,,,,,,,0,0,5,186,37.20,0
113,2001,2001-09-09,1,30.114,TEN,,MIA,L 23-31,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,8,316,39.50,0
114,2001,2001-09-23,2,30.128,TEN,@,JAX,L 6-13,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,6,282,47.00,0
115,2001,2001-10-07,3,30.142,TEN,@,BAL,L 7-26,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,10,402,40.20,0
116,2001,2001-10-14,4,30.149,TEN,,TAM,W 31-28,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,3,155,51.67,0
117,2001,2001-10-21,5,30.156,TEN,@,DET,W 27-24,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,6,252,42.00,0
118,2001,2001-10-29,6,30.164,TEN,@,PIT,L 7-34,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,4,186,46.50,0
119,2001,2001-11-04,7,30.170,TEN,,JAX,W 28-24,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,4,230,57.50,0
120,2001,2001-11-12,8,30.178,TEN,,BAL,L 10-16,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,,,,,,,0,0,7,287,41.00,0
121,2001,2001-11-18,9,30.184,TEN,@,CIN,W 20-7,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,6,270,45.00,0
122,2001,2001-11-25,10,30.191,TEN,,PIT,L 24-34,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,4,150,37.50,0
123,2001,2001-12-02,11,30.198,TEN,@,CLE,W 31-15,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,6,222,37.00,0
124,2001,2001-12-09,12,30.205,TEN,@,MIN,L 24-42,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,3,93,31.00,0
125,2001,2001-12-16,13,30.212,TEN,,GNB,W 26-20,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,,,,,,0,0,4,197,49.25,0
126,2001,2001-12-22,14,30.218,TEN,@,OAK,W 13-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,5,208,41.60,0
127,2001,2001-12-30,15,30.226,TEN,,CLE,L 38-41,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,3,131,43.67,0
128,2001,2002-01-06,16,30.233,TEN,,CIN,L 21-23,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,6,186,31.00,0
129,2002,2002-09-08,1,31.113,TEN,,PHI,W 27-24,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,2,100,50.00,0
130,2002,2002-09-15,2,31.120,TEN,@,DAL,L 13-21,,1,1,100.00,17,0,0,118.7,0,0,17.00,17.00,0,0,,0,,,,,,,0,0,6,288,48.00,0
131,2002,2002-09-22,3,31.127,TEN,,CLE,L 28-31,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,8,327,40.88,0
132,2002,2002-09-29,4,31.134,TEN,@,OAK,L 25-52,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,3,138,46.00,0
133,2002,2002-10-06,5,31.141,TEN,,WAS,L 14-31,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,5,223,44.60,0
134,2002,2002-10-13,6,31.148,TEN,,JAX,W 23-14,,0,0,,0,0,0,,0,,,,1,5,5.00,0,,,,,,,0,0,1,30,30.00,0
135,2002,2002-10-27,7,31.162,TEN,@,CIN,W 30-24,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,3,149,49.67,0
136,2002,2002-11-03,8,31.169,TEN,@,IND,W 23-15,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,4,161,40.25,0
137,2002,2002-11-10,9,31.176,TEN,,HOU,W 17-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,5,207,41.40,0
138,2002,2002-11-17,10,31.183,TEN,,PIT,W 31-23,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,3,79,26.33,0
139,2002,2002-11-24,11,31.190,TEN,@,BAL,L 12-13,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,3,131,43.67,1
140,2002,2002-12-01,12,31.197,TEN,@,NYG,W 32-29,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,3,97,32.33,0
141,2002,2002-12-08,13,31.204,TEN,,IND,W 27-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,2,99,49.50,0
142,2002,2002-12-16,14,31.212,TEN,,NWE,W 24-7,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,0,0,4,169,42.25,0
