ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2018,2018-09-10,1,23.208,OAK,,LAR,L 13-33,,4,178,44.50,0
2,2018,2018-09-16,2,23.214,OAK,@,DEN,L 19-20,,4,189,47.25,0
3,2018,2018-09-23,3,23.221,OAK,@,MIA,L 20-28,,3,112,37.33,0
