ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1954,1954-12-05,11,23.202,PHI,@,DET,T 13-13,1,-3,-3.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,,,,
2,1955,1955-09-24,1,24.130,PHI,,NYG,W 27-17,17,81,4.76,0,3,23,7.67,0,0,0,,0,0,,,,,,,0,,,,,,,,
3,1955,1955-10-01,2,24.137,PHI,,WAS,L 30-31,8,27,3.38,0,4,57,14.25,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,,,,,,,,
4,1955,1955-10-09,3,24.145,PHI,@,CLE,L 17-21,7,2,0.29,0,2,33,16.50,0,0,0,,0,0,,,,,,,0,,,,,,,,
5,1955,1955-10-23,5,24.159,PHI,@,CRD,T 24-24,4,34,8.50,1,1,9,9.00,0,0,0,,0,0,,,,,,,1,,,,,,,,
6,1955,1955-11-06,7,24.173,PHI,@,WAS,L 21-34,0,0,,0,1,3,3.00,0,0,0,,0,0,,,,,,,0,,,,,,,,
7,1957,1957-11-10,7,26.177,PHI,,DET,L 16-27,1,61,61.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,,,,
8,1957,1957-11-17,8,26.184,PHI,@,NYG,L 0-13,1,12,12.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,,,,
9,1957,1957-12-01,10,26.198,PHI,,PIT,W 7-6,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,,,,,,,,
10,1959,1959-11-08,7,28.175,CRD,@,NYG,L 3-9,1,17,17.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,,,,
11,1959,1959-11-29,10,28.196,CRD,,CHI,L 7-31,1,24,24.00,0,0,0,,0,0,0,,0,0,,,,,,,0,,,,,,,,
12,1960,1960-09-23,1,29.129,STL,@,RAM,W 43-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,1,0,0,4,165,41.25,0
13,1960,1960-10-02,2,29.138,STL,,NYG,L 14-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,6,294,49.00,0
14,1960,1960-10-09,3,29.145,STL,@,PHI,L 27-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,2,108,54.00,0
15,1960,1960-10-16,4,29.152,STL,@,PIT,L 14-27,1,21,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,1,36,36.00,0
16,1960,1960-10-23,5,29.159,STL,,DAL,W 12-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,5,202,40.40,0
17,1960,1960-10-30,6,29.166,STL,@,NYG,W 20-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,14,0,5,205,41.00,0
