ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1990,1990-09-09,1,24.090,IND,@,BUF,L 10-26,1,3,3.00,0,,2,15,7.50,0,,,0,0,,0
2,1990,1990-09-16,2,24.097,IND,,NWE,L 14-16,2,3,1.50,0,,1,8,8.00,0,,,0,0,,0
3,1990,1990-09-23,3,24.104,IND,@,HOU,L 10-24,4,4,1.00,0,,2,0,0.00,0,,,0,0,,0
4,1990,1990-09-30,4,24.111,IND,@,PHI,W 24-23,0,0,,0,,0,0,,0,,,,,,
5,1990,1990-10-07,5,24.118,IND,,KAN,W 23-19,0,0,,0,,0,0,,0,,,,,,
6,1991,1991-09-01,1,25.082,IND,,NWE,L 7-16,0,0,,0,,0,0,,0,,,,,,
7,1991,1991-09-08,2,25.089,IND,@,MIA,L 6-17,0,0,,0,,0,0,,0,,,,,,
8,1991,1991-09-15,3,25.096,IND,@,RAI,L 0-16,0,0,,0,,0,0,,0,,,,,,
9,1991,1991-09-22,4,25.103,IND,,DET,L 24-33,0,0,,0,,0,0,,0,,,,,,
10,1991,1991-09-29,5,25.110,IND,@,SEA,L 3-31,0,0,,0,,0,0,,0,,,,,,
11,1991,1991-10-06,6,25.117,IND,,PIT,L 3-21,8,14,1.75,0,,6,37,6.17,0,,,0,0,,0
12,1991,1991-10-13,7,25.124,IND,@,BUF,L 6-42,19,44,2.32,0,,6,31,5.17,0,,,0,0,,0
13,1991,1991-10-20,8,25.131,IND,,NYJ,L 6-17,7,40,5.71,0,,2,12,6.00,0,,,0,0,,0
14,1991,1991-11-03,9,25.145,IND,,MIA,L 6-10,0,0,,0,,6,52,8.67,0,,,0,0,,0
15,1991,1991-11-10,10,25.152,IND,@,NYJ,W 28-27,20,50,2.50,0,,1,23,23.00,0,,,0,0,,0
16,1991,1991-11-17,11,25.159,IND,,CHI,L 17-31,11,67,6.09,0,,3,11,3.67,0,,,0,0,,0
17,1991,1991-11-24,12,25.166,IND,@,GNB,L 10-14,19,51,2.68,0,,3,35,11.67,0,,,0,0,,0
18,1991,1991-12-01,13,25.173,IND,,CLE,L 0-31,5,23,4.60,0,,0,0,,0,,,0,0,,0
19,1991,1991-12-08,14,25.180,IND,@,NWE,L 17-23,1,1,1.00,0,,1,11,11.00,0,,,0,0,,0
20,1991,1991-12-15,15,25.187,IND,,BUF,L 7-35,21,74,3.52,0,,3,15,5.00,0,,,0,0,,0
21,1991,1991-12-22,16,25.194,IND,@,TAM,L 3-17,3,2,0.67,0,,2,18,9.00,0,,,0,0,,0
22,1992,1992-09-06,1,26.087,IND,,CLE,W 14-3,2,3,1.50,0,,0,0,,0,0.0%,,0,0,,0
23,1992,1992-10-04,4,26.115,IND,@,TAM,W 24-14,0,0,,0,,0,0,,0,0.0%,,0,0,,0
24,1992,1992-10-11,5,26.122,IND,,NYJ,W 6-3,4,8,2.00,0,,0,0,,0,0.0%,,1,20,20.00,0
25,1992,1992-10-18,6,26.129,IND,,SDG,L 14-34,6,28,4.67,0,5,4,38,9.50,0,80.0%,7.60,1,14,14.00,0
26,1992,1992-10-25,7,26.136,IND,@,MIA,W 31-20,11,48,4.36,0,2,0,0,,0,0.0%,0.00,0,0,,0
27,1992,1992-11-01,8,26.143,IND,@,SDG,L 0-26,0,0,,0,,0,0,,0,0.0%,,0,0,,0
28,1992,1992-11-08,9,26.150,IND,,MIA,L 0-28,2,1,0.50,0,,0,0,,0,0.0%,,0,0,,0
29,1992,1992-11-15,10,26.157,IND,,NWE,L 34-37,1,1,1.00,0,,0,0,,0,0.0%,,0,0,,0
30,1992,1992-11-22,11,26.164,IND,@,PIT,L 14-30,0,0,,0,,0,0,,0,0.0%,,0,0,,0
31,1992,1992-11-29,12,26.171,IND,,BUF,W 16-13,14,45,3.21,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0
32,1992,1992-12-13,14,26.185,IND,@,NYJ,W 10-6,0,0,,0,,0,0,,0,0.0%,,0,0,,0
33,1992,1992-12-20,15,26.192,IND,,PHO,W 16-13,0,0,,0,,0,0,,0,0.0%,,0,0,,0
34,1992,1992-12-27,16,26.199,IND,@,CIN,W 21-17,0,0,,0,,0,0,,0,0.0%,,1,20,20.00,0
