ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2011,2011-09-11,1,26.306,CHI,,ATL,W 30-12,,0,,,,,0.0%,,,,,,,,
2,2011,2011-09-18,2,26.313,CHI,@,NOR,L 13-30,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0.0,0,0
3,2011,2011-09-25,3,26.320,CHI,,GNB,L 17-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
4,2011,2011-10-02,4,26.327,CHI,,CAR,W 34-29,*,,,,,,0.0%,,,,,,,,
5,2011,2011-10-10,5,26.335,CHI,@,DET,L 13-24,*,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0.0,0,0
6,2011,2011-10-16,6,26.341,CHI,,MIN,W 39-10,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0.0,0,0
7,2011,2011-10-23,7,26.348,CHI,@,TAM,W 24-18,*,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0.0,0,0
8,2011,2011-11-07,8,26.363,CHI,@,PHI,W 30-24,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0.0,0,0
9,2011,2011-11-13,9,27.004,CHI,,DET,W 37-13,,,,,,,0.0%,,,,,,,,
10,2011,2011-11-20,10,27.011,CHI,,SDG,W 31-20,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0.0,0,0
11,2011,2011-11-27,11,27.018,CHI,@,OAK,L 20-25,*,0,,,,,0.0%,,,,,,,,
12,2011,2011-12-04,12,27.025,CHI,,KAN,L 3-10,*,,,,,,0.0%,,,,,,,,
13,2011,2011-12-11,13,27.032,CHI,@,DEN,L 10-13,*,,,,,,0.0%,,,,,,,,
14,2011,2011-12-18,14,27.039,CHI,,SEA,L 14-38,,0,0,0,,0,0.0%,,1,9,9.00,0,0.0,0,0
15,2011,2011-12-25,15,27.046,CHI,@,GNB,L 21-35,*,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0.0,0,0
16,2011,2012-01-01,16,27.053,CHI,@,MIN,W 17-13,,,,,,,0.0%,,,,,,,,
17,2012,2012-09-09,1,27.305,HOU,,MIA,W 30-10,,,0,0,,0,0.0%,,0,0,,0,0.0,0,0
18,2012,2012-09-16,2,27.312,HOU,@,JAX,W 27-7,,,,,,,0.0%,,,,,,,,
19,2012,2012-09-23,3,27.319,HOU,@,DEN,W 31-25,,,,,,,0.0%,,,,,,,,
20,2012,2012-09-30,4,27.326,HOU,,TEN,W 38-14,,,,,,,0.0%,,,,,,,,
21,2012,2012-10-08,5,27.334,HOU,@,NYJ,W 23-17,,,,,,,0.0%,,,,,,,,
22,2012,2012-10-14,6,27.340,HOU,,GNB,L 24-42,,,,,,,0.0%,,,,,,,,
23,2012,2012-10-21,7,27.347,HOU,,BAL,W 43-13,,,,,,,0.0%,,,,,,,,
24,2012,2012-11-04,8,27.361,HOU,,BUF,W 21-9,,,,,,,0.0%,,,,,,,,
25,2012,2012-11-11,9,28.002,HOU,@,CHI,W 13-6,,,,,,,0.0%,,,,,,,,
26,2012,2012-11-18,10,28.009,HOU,,JAX,W 43-37,,,,,,,0.0%,,,,,,,,
27,2012,2012-11-22,11,28.013,HOU,@,DET,W 34-31,,,,,,,0.0%,,,,,,,,
28,2012,2012-12-02,12,28.023,HOU,@,TEN,W 24-10,,,,,,,0.0%,,,,,,,,
29,2012,2012-12-10,13,28.031,HOU,@,NWE,L 14-42,,,,,,,0.0%,,,,,,,,
30,2012,2012-12-16,14,28.037,HOU,,IND,W 29-17,,,,,,,0.0%,,,,,,,,
31,2012,2012-12-23,15,28.044,HOU,,MIN,L 6-23,,,,,,,0.0%,,,,,,,,
32,2012,2012-12-30,16,28.051,HOU,@,IND,L 16-28,,0,,,,,0.0%,,,,,,,,
33,2013,2013-09-08,1,28.303,MIA,@,CLE,W 23-10,,,,,,,0.0%,,,,,,,,
34,2013,2013-09-15,2,28.310,MIA,@,IND,W 24-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
35,2013,2013-09-22,3,28.317,MIA,,ATL,W 27-23,,,,,,,0.0%,,,,,,,,
36,2013,2013-09-30,4,28.325,MIA,@,NOR,L 17-38,,,,,,,0.0%,,,,,,,,
37,2013,2013-12-09,13,29.030,DAL,@,CHI,L 28-45,,0,0,0,,0,0.0%,,1,12,12.00,0,0.0,0,0
38,2013,2013-12-15,14,29.036,DAL,,GNB,L 36-37,,,,,,,0.0%,,,,,,,,
39,2013,2013-12-22,15,29.043,DAL,@,WAS,W 24-23,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0.0,1,1
40,2013,2013-12-29,16,29.050,DAL,,PHI,L 22-24,,,,,,,0.0%,,,,,,,,
41,2014,2014-09-07,1,29.302,DAL,,SFO,L 17-28,,,,,,,0.0%,,,,,,,,
42,2014,2014-09-14,2,29.309,DAL,@,TEN,W 26-10,,,,,,,0.0%,,,,,,,,
43,2014,2014-09-21,3,29.316,DAL,@,STL,W 34-31,,,,,,,0.0%,,,,,,,,
44,2014,2014-09-28,4,29.323,DAL,,NOR,W 38-17,,,,,,,0.0%,,,,,,,,
45,2014,2014-10-05,5,29.330,DAL,,HOU,W 20-17,,,0,0,,0,0.0%,,0,0,,0,0.0,1,0
46,2014,2014-10-12,6,29.337,DAL,@,SEA,W 30-23,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0.0,0,0
47,2014,2014-10-19,7,29.344,DAL,,NYG,W 31-21,,,,,,,0.0%,,,,,,,,
48,2014,2014-10-27,8,29.352,DAL,,WAS,L 17-20,,,,,,,0.0%,,,,,,,,
49,2014,2014-11-02,9,29.358,DAL,,ARI,L 17-28,,0,,,,,0.0%,,,,,,,,
50,2014,2014-11-09,10,30.000,DAL,@,JAX,W 31-17,,,,,,,0.0%,,,,,,,,
51,2014,2014-11-23,11,30.014,DAL,@,NYG,W 31-28,*,,,,,,0.0%,,,,,,,,
52,2014,2014-11-27,12,30.018,DAL,,PHI,L 10-33,,,,,,,0.0%,,,,,,,,
53,2014,2014-12-04,13,30.025,DAL,@,CHI,W 41-28,,,,,,,0.0%,,,,,,,,
54,2014,2014-12-14,14,30.035,DAL,@,PHI,W 38-27,,,,,,,0.0%,,,,,,,,
55,2014,2014-12-21,15,30.042,DAL,,IND,W 42-7,,,,,,,0.0%,,,,,,,,
56,2014,2014-12-28,16,30.049,DAL,@,WAS,W 44-17,,,,,,,0.0%,,,,,,,,
57,2015,2015-09-13,1,30.308,DAL,,NYG,W 27-26,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
58,2015,2015-09-20,2,30.315,DAL,@,PHI,W 20-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
59,2015,2015-09-27,3,30.322,DAL,,ATL,L 28-39,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
60,2015,2015-10-04,4,30.329,DAL,@,NOR,L 20-26,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0.0,0,0
61,2015,2015-10-11,5,30.336,DAL,,NWE,L 6-30,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
62,2015,2015-10-25,6,30.350,DAL,@,NYG,L 20-27,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
63,2015,2015-11-01,7,30.357,DAL,,SEA,L 12-13,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
64,2015,2015-11-08,8,30.364,DAL,,PHI,L 27-33,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
65,2015,2015-11-15,9,31.006,DAL,@,TAM,L 6-10,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
66,2015,2015-11-22,10,31.013,DAL,@,MIA,W 24-14,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
67,2015,2015-11-26,11,31.017,DAL,,CAR,L 14-33,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
68,2015,2015-12-07,12,31.028,DAL,@,WAS,W 19-16,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
69,2015,2015-12-13,13,31.034,DAL,@,GNB,L 7-28,*,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
70,2015,2015-12-19,14,31.040,DAL,,NYJ,L 16-19,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
71,2015,2015-12-27,15,31.048,DAL,@,BUF,L 6-16,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
72,2015,2016-01-03,16,31.055,DAL,,WAS,L 23-34,,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
