ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,24.195,NYG,,WAS,W 23-17,,,,,,,,
2,2009,2009-09-20,2,24.202,NYG,@,DAL,W 33-31,,,,,,,,
3,2009,2009-09-27,3,24.209,NYG,@,TAM,W 24-0,,,,,,,,
4,2009,2009-10-04,4,24.216,NYG,@,KAN,W 27-16,,,,,,,,
5,2009,2009-10-11,5,24.223,NYG,,OAK,W 44-7,,,,,,,,
6,2009,2009-10-18,6,24.230,NYG,@,NOR,L 27-48,,1,0,0.00,0,0.0,0,0
7,2009,2009-10-25,7,24.237,NYG,,ARI,L 17-24,*,,,,,,,
8,2009,2009-11-01,8,24.244,NYG,@,PHI,L 17-40,,,,,,,,
9,2009,2009-11-08,9,24.251,NYG,,SDG,L 20-21,,,,,,,,
10,2009,2009-11-22,10,24.265,NYG,,ATL,W 34-31,,,,,,,,
11,2009,2009-11-26,11,24.269,NYG,@,DEN,L 6-26,,,,,,,,
12,2009,2009-12-06,12,24.279,NYG,,DAL,W 31-24,,,,,,,,
13,2009,2009-12-13,13,24.286,NYG,,PHI,L 38-45,,,,,,,,
14,2009,2009-12-21,14,24.294,NYG,@,WAS,W 45-12,*,,,,,,,
15,2009,2009-12-27,15,24.300,NYG,,CAR,L 9-41,*,0,0,,0,0.0,0,1
16,2009,2010-01-03,16,24.307,NYG,@,MIN,L 7-44,*,,,,,,,
17,2010,2010-09-12,1,25.194,NYG,,CAR,W 31-18,,,,,,,,
18,2010,2010-11-14,9,25.257,NYG,,DAL,L 20-33,,,,,,,,
19,2010,2010-11-21,10,25.264,NYG,@,PHI,L 17-27,,,,,,,,
20,2010,2010-11-28,11,25.271,NYG,,JAX,W 24-20,*,,,,,,,
21,2010,2010-12-05,12,25.278,NYG,,WAS,W 31-7,*,,,,,,,
22,2010,2010-12-13,13,25.286,NYG,@,MIN,W 21-3,,,,,,,,
23,2010,2010-12-19,14,25.292,NYG,,PHI,L 31-38,,,,,,,,
24,2010,2011-01-02,16,25.306,NYG,@,WAS,W 17-14,,,,,,,,
25,2011,2011-09-11,1,26.193,NYG,@,WAS,L 14-28,*,,,,,,,
26,2011,2011-09-19,2,26.201,NYG,,STL,W 28-16,*,,,,,,,
27,2011,2011-09-25,3,26.207,NYG,@,PHI,W 29-16,*,,,,,,,
28,2011,2011-10-02,4,26.214,NYG,@,ARI,W 31-27,*,,,,,,,
29,2011,2011-10-09,5,26.221,NYG,,SEA,L 25-36,*,,,,,,,
30,2011,2011-10-16,6,26.228,NYG,,BUF,W 27-24,*,,,,,,,
31,2011,2011-10-30,7,26.242,NYG,,MIA,W 20-17,*,,,,,,,
32,2011,2011-11-06,8,26.249,NYG,@,NWE,W 24-20,*,,,,,,,
33,2011,2011-11-13,9,26.256,NYG,@,SFO,L 20-27,*,,,,,,,
34,2011,2011-11-20,10,26.263,NYG,,PHI,L 10-17,*,0,0,,0,0.0,1,0
35,2012,2012-09-05,1,27.187,NYG,,DAL,L 17-24,*,,,,,,,
36,2012,2012-09-16,2,27.198,NYG,,TAM,W 41-34,,0,0,,0,0.0,0,0
37,2012,2012-09-20,3,27.202,NYG,@,CAR,W 36-7,*,,,,,,,
38,2012,2012-09-30,4,27.212,NYG,@,PHI,L 17-19,*,,,,,,,
39,2012,2012-10-07,5,27.219,NYG,,CLE,W 41-27,*,,,,,,,
40,2012,2012-10-14,6,27.226,NYG,@,SFO,W 26-3,*,,,,,,,
41,2012,2012-10-21,7,27.233,NYG,,WAS,W 27-23,*,,,,,,,
42,2012,2012-10-28,8,27.240,NYG,@,DAL,W 29-24,*,0,0,,0,0.0,0,0
43,2012,2012-11-04,9,27.247,NYG,,PIT,L 20-24,*,,,,,,,
44,2012,2012-11-11,10,27.254,NYG,@,CIN,L 13-31,*,0,0,,0,0.0,0,0
45,2012,2012-11-25,11,27.268,NYG,,GNB,W 38-10,*,,,,,,,
46,2012,2012-12-03,12,27.276,NYG,@,WAS,L 16-17,*,,,,,,,
47,2012,2012-12-09,13,27.282,NYG,,NOR,W 52-27,*,,,,,,,
48,2012,2012-12-16,14,27.289,NYG,@,ATL,L 0-34,*,,,,,,,
49,2012,2012-12-23,15,27.296,NYG,@,BAL,L 14-33,*,,,,,,,
50,2012,2012-12-30,16,27.303,NYG,,PHI,W 42-7,*,,,,,,,
51,2013,2013-09-08,1,28.190,NYG,@,DAL,L 31-36,*,0,0,,0,0.0,1,0
52,2013,2013-09-15,2,28.197,NYG,,DEN,L 23-41,*,,,,,,,
53,2013,2013-09-22,3,28.204,NYG,@,CAR,L 0-38,*,,,,,,,
54,2013,2013-09-29,4,28.211,NYG,@,KAN,L 7-31,*,0,0,,0,0.0,1,0
55,2013,2013-10-06,5,28.218,NYG,,PHI,L 21-36,*,,,,,,,
56,2013,2013-10-10,6,28.222,NYG,@,CHI,L 21-27,*,0,0,,0,0.0,1,0
57,2013,2013-10-21,7,28.233,NYG,,MIN,W 23-7,*,,,,,,,
58,2013,2013-10-27,8,28.239,NYG,@,PHI,W 15-7,*,,,,,,,
59,2013,2013-11-10,9,28.253,NYG,,OAK,W 24-20,*,,,,,,,
60,2013,2013-11-17,10,28.260,NYG,,GNB,W 27-13,*,,,,,,,
61,2013,2013-11-24,11,28.267,NYG,,DAL,L 21-24,*,,,,,,,
62,2013,2013-12-01,12,28.274,NYG,@,WAS,W 24-17,*,0,0,,0,0.0,1,0
63,2013,2013-12-08,13,28.281,NYG,@,SDG,L 14-37,*,,,,,,,
64,2013,2013-12-15,14,28.288,NYG,,SEA,L 0-23,*,,,,,,,
65,2013,2013-12-22,15,28.295,NYG,@,DET,W 23-20,*,,,,,,,
66,2013,2013-12-29,16,28.302,NYG,,WAS,W 20-6,*,0,0,,0,0.0,1,0
67,2014,2014-09-08,1,29.190,NYG,@,DET,L 14-35,*,,,,,,,
68,2014,2014-09-14,2,29.196,NYG,,ARI,L 14-25,*,0,0,,0,0.0,1,0
69,2014,2014-09-21,3,29.203,NYG,,HOU,W 30-17,*,0,0,,0,0.0,1,0
70,2014,2014-09-25,4,29.207,NYG,@,WAS,W 45-14,*,0,0,,0,0.0,1,0
71,2014,2014-10-05,5,29.217,NYG,,ATL,W 30-20,*,,,,,,,
72,2014,2014-10-12,6,29.224,NYG,@,PHI,L 0-27,*,,,,,,,
73,2014,2014-10-19,7,29.231,NYG,@,DAL,L 21-31,*,,,,,,,
74,2014,2014-11-03,8,29.246,NYG,,IND,L 24-40,*,,,,,,,
75,2014,2014-11-09,9,29.252,NYG,@,SEA,L 17-38,*,,,,,,,
76,2014,2014-11-16,10,29.259,NYG,,SFO,L 10-16,*,,,,,,,
77,2014,2014-11-23,11,29.266,NYG,,DAL,L 28-31,*,0,0,,0,0.0,1,0
78,2014,2014-11-30,12,29.273,NYG,@,JAX,L 24-25,*,,,,,,,
79,2014,2014-12-07,13,29.280,NYG,@,TEN,W 36-7,*,,,,,,,
80,2014,2014-12-14,14,29.287,NYG,,WAS,W 24-13,*,,,,,,,
81,2014,2014-12-21,15,29.294,NYG,@,STL,W 37-27,*,,,,,,,
82,2014,2014-12-28,16,29.301,NYG,,PHI,L 26-34,*,,,,,,,
83,2016,2016-09-25,3,31.207,NYG,,WAS,L 27-29,,0,0,,0,0.0,0,0
84,2016,2016-10-23,7,31.235,NYG,@,LAR,W 17-10,,0,0,,0,0.0,0,0
85,2016,2016-11-20,10,31.263,NYG,,CHI,W 22-16,,0,0,,0,0.0,0,0
86,2016,2016-11-27,11,31.270,NYG,@,CLE,W 27-13,,0,0,,0,0.0,0,0
87,2016,2016-12-04,12,31.277,NYG,@,PIT,L 14-24,,0,0,,0,0.0,0,0
88,2016,2016-12-11,13,31.284,NYG,,DAL,W 10-7,,0,0,,0,0.0,0,0
89,2016,2017-01-01,16,31.305,NYG,@,WAS,W 19-10,,0,0,,0,0.0,0,0
90,2017,2017-12-31,16,32.304,PHI,,DAL,L 0-6,,0,0,,0,0.0,0,0
