ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2005,2005-09-11,1,26.172,IND,@,BAL,W 24-7,*,0,,,,,0.0%,,,
2,2005,2005-09-18,2,26.179,IND,,JAX,W 10-3,,,0,0,,0,0.0%,,0,0
3,2005,2005-09-25,3,26.186,IND,,CLE,W 13-6,*,2,2,26,13.00,0,100.0%,13.00,0,0
4,2005,2005-10-02,4,26.193,IND,@,TEN,W 31-10,*,3,2,38,19.00,0,66.7%,12.67,0,0
5,2005,2005-10-09,5,26.200,IND,@,SFO,W 28-3,*,,0,0,,0,0.0%,,0,0
6,2005,2005-10-17,6,26.208,IND,,STL,W 45-28,,,0,0,,0,0.0%,,0,0
7,2005,2005-10-23,7,26.214,IND,@,HOU,W 38-20,,0,0,0,,0,0.0%,,0,0
8,2005,2005-11-07,8,26.229,IND,@,NWE,W 40-21,*,2,2,22,11.00,0,100.0%,11.00,0,0
9,2005,2005-11-13,9,26.235,IND,,HOU,W 31-17,,1,0,0,,0,0.0%,0.00,0,0
10,2005,2005-11-20,10,26.242,IND,@,CIN,W 45-37,*,3,2,16,8.00,1,66.7%,5.33,1,6
11,2005,2005-11-28,11,26.250,IND,,PIT,W 26-7,*,4,3,28,9.33,1,75.0%,7.00,1,6
12,2005,2005-12-04,12,26.256,IND,,TEN,W 35-3,*,3,2,22,11.00,1,66.7%,7.33,1,6
13,2005,2005-12-11,13,26.263,IND,@,JAX,W 26-18,*,3,3,31,10.33,0,100.0%,10.33,0,0
14,2005,2005-12-18,14,26.270,IND,,SDG,L 17-26,*,2,0,0,,0,0.0%,0.00,0,0
15,2005,2005-12-24,15,26.276,IND,@,SEA,L 13-28,*,3,2,19,9.50,0,66.7%,6.33,0,0
16,2005,2006-01-01,16,26.284,IND,,ARI,W 17-13,*,1,0,0,,0,0.0%,0.00,0,0
17,2006,2006-09-10,1,27.171,IND,@,NYG,W 26-21,,,0,0,,0,0.0%,,0,0
18,2006,2006-09-17,2,27.178,IND,,HOU,W 43-24,,3,2,15,7.50,1,66.7%,5.00,1,6
19,2006,2006-09-24,3,27.185,IND,,JAX,W 21-14,,,0,0,,0,0.0%,,0,0
20,2006,2006-10-01,4,27.192,IND,@,NYJ,W 31-28,,3,3,19,6.33,1,100.0%,6.33,1,6
21,2006,2006-10-08,5,27.199,IND,,TEN,W 14-13,*,2,,,,,0.0%,,,
22,2006,2006-10-22,6,27.213,IND,,WAS,W 36-22,,3,3,28,9.33,0,100.0%,9.33,0,0
23,2006,2006-10-29,7,27.220,IND,@,DEN,W 34-31,,1,1,9,9.00,0,100.0%,9.00,0,0
24,2006,2006-11-05,8,27.227,IND,@,NWE,W 27-20,,,0,0,,0,0.0%,,0,0
25,2006,2006-11-12,9,27.234,IND,,BUF,W 17-16,,2,1,13,13.00,0,50.0%,6.50,0,0
26,2006,2006-11-19,10,27.241,IND,@,DAL,L 14-21,,,0,0,,0,0.0%,,0,0
27,2006,2006-11-26,11,27.248,IND,,PHI,W 45-21,,1,1,18,18.00,0,100.0%,18.00,0,0
28,2006,2006-12-03,12,27.255,IND,@,TEN,L 17-20,*,4,3,56,18.67,0,75.0%,14.00,0,0
29,2006,2006-12-10,13,27.262,IND,@,JAX,L 17-44,,3,1,5,5.00,0,33.3%,1.67,0,0
30,2006,2006-12-24,15,27.276,IND,@,HOU,L 24-27,*,2,2,29,14.50,0,100.0%,14.50,0,0
31,2006,2006-12-31,16,27.283,IND,,MIA,W 27-22,,1,1,10,10.00,0,100.0%,10.00,0,0
32,2007,2007-09-06,1,28.167,IND,,NOR,W 41-10,,,0,0,,0,0.0%,,0,0
33,2007,2007-09-16,2,28.177,IND,@,TEN,W 22-20,,1,0,0,,0,0.0%,0.00,0,0
34,2007,2007-09-23,3,28.184,IND,@,HOU,W 30-24,,,0,0,,0,0.0%,,0,0
35,2007,2007-09-30,4,28.191,IND,,DEN,W 38-20,,2,2,33,16.50,0,100.0%,16.50,0,0
36,2007,2007-10-07,5,28.198,IND,,TAM,W 33-14,*,2,2,25,12.50,0,100.0%,12.50,0,0
37,2007,2007-10-22,6,28.213,IND,@,JAX,W 29-7,,1,0,0,,0,0.0%,0.00,0,0
38,2007,2007-10-28,7,28.219,IND,@,CAR,W 31-7,,,0,0,,0,0.0%,,0,0
39,2007,2007-11-04,8,28.226,IND,,NWE,L 20-24,,1,0,0,,0,0.0%,0.00,0,0
40,2007,2007-11-11,9,28.233,IND,@,SDG,L 21-23,*,10,8,55,6.88,0,80.0%,5.50,0,0
41,2007,2007-11-22,11,28.244,IND,@,ATL,W 31-13,,1,0,0,,0,0.0%,0.00,0,0
42,2007,2007-12-02,12,28.254,IND,,JAX,W 28-25,,,0,0,,0,0.0%,,0,0
43,2007,2007-12-09,13,28.261,IND,@,BAL,W 44-20,,,0,0,,0,0.0%,,0,0
44,2007,2007-12-16,14,28.268,IND,@,OAK,W 21-14,,1,0,0,,0,0.0%,0.00,0,0
45,2007,2007-12-23,15,28.275,IND,,HOU,W 38-15,,5,5,25,5.00,0,100.0%,5.00,0,0
46,2007,2007-12-30,16,28.282,IND,,TEN,L 10-16,*,3,1,5,5.00,0,33.3%,1.67,0,0
