ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,def_int,def_int_yds,def_int_td
1,1985,1985-09-08,1,22.082,BUF,,SDG,L 9-14,,0,0,,0,,,,
2,1985,1985-09-15,2,22.089,BUF,@,NYJ,L 3-42,,0,0,,0,,,,
3,1985,1985-09-22,3,22.096,BUF,,NWE,L 14-17,,0,0,,0,,,,
4,1985,1985-09-29,4,22.103,BUF,,MIN,L 20-27,,0,0,,0,2.0,0,0,0
5,1985,1985-10-06,5,22.110,BUF,@,IND,L 17-49,,0,0,,0,,,,
6,1985,1985-10-13,6,22.117,BUF,@,NWE,L 3-14,,0,0,,0,1.0,0,0,0
7,1985,1985-10-20,7,22.124,BUF,,IND,W 21-9,,0,0,,0,,,,
8,1985,1985-10-27,8,22.131,BUF,@,PHI,L 17-21,,0,0,,0,,,,
9,1985,1985-11-03,9,22.138,BUF,,CIN,L 17-23,,0,0,,0,0.5,0,0,0
10,1985,1985-11-10,10,22.145,BUF,,HOU,W 20-0,,0,0,,0,,,,
11,1985,1985-11-17,11,22.152,BUF,@,CLE,L 7-17,,0,0,,0,1.0,0,0,0
12,1985,1985-11-24,12,22.159,BUF,,MIA,L 14-23,,0,0,,0,,,,
13,1985,1985-12-01,13,22.166,BUF,@,SDG,L 7-40,,0,0,,0,,,,
14,1985,1985-12-08,14,22.173,BUF,,NYJ,L 7-27,,1,0,0.00,0,1.0,0,0,0
15,1985,1985-12-15,15,22.180,BUF,@,PIT,L 24-30,,0,0,,0,1.0,0,0,0
16,1985,1985-12-22,16,22.187,BUF,@,MIA,L 0-28,,0,0,,0,,,,
17,1986,1986-09-07,1,23.081,BUF,,NYJ,L 24-28,,0,0,,0,1.0,0,0,0
18,1986,1986-09-14,2,23.088,BUF,@,CIN,L 33-36,,0,0,,0,1.0,0,0,0
19,1986,1986-09-21,3,23.095,BUF,,STL,W 17-10,,,,,,,,,
20,1986,1986-09-28,4,23.102,BUF,,KAN,L 17-20,,0,0,,0,1.0,0,0,0
21,1986,1986-10-05,5,23.109,BUF,@,NYJ,L 13-14,,0,0,,0,2.0,0,0,0
