ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-18,2,21.134,SFO,@,PHI,L 3-42,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,3,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
2,2005,2005-10-02,4,21.148,SFO,@,ARI,L 14-31,,6,10,60.00,34,0,0,66.2,2,15,3.40,3.40,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,
3,2005,2005-10-09,5,21.155,SFO,,IND,L 3-28,*,9,23,39.13,74,0,4,8.5,5,30,3.22,-4.61,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,
4,2005,2005-10-23,6,21.169,SFO,@,WAS,L 17-52,*,8,16,50.00,92,0,1,41.7,5,38,5.75,2.94,2,4,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
5,2005,2005-12-04,12,21.211,SFO,,ARI,L 10-17,*,16,24,66.67,185,0,3,50.2,3,16,7.71,2.08,4,12,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
6,2005,2005-12-11,13,21.218,SFO,@,SEA,L 3-41,*,9,22,40.91,77,0,1,31.8,4,26,3.50,1.45,6,20,3.33,0,0,0,0,,0,0.0%,,,0,0,0.0,,
7,2005,2005-12-18,14,21.225,SFO,@,JAX,L 9-10,*,8,24,33.33,123,0,1,33.9,2,16,5.13,3.25,4,30,7.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,
8,2005,2005-12-24,15,21.231,SFO,@,STL,W 24-20,*,12,16,75.00,131,0,0,98.7,5,27,8.19,8.19,7,21,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
9,2005,2006-01-01,16,21.239,SFO,,HOU,W 20-17,*,16,29,55.17,159,1,1,68.0,3,17,5.48,4.62,4,10,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,
10,2006,2006-09-10,1,22.126,SFO,@,ARI,L 27-34,*,23,40,57.50,288,1,0,88.3,1,2,7.20,7.70,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,
11,2006,2006-09-17,2,22.133,SFO,,STL,W 20-13,*,11,22,50.00,233,1,0,103.0,0,0,10.59,11.50,3,-1,-0.33,0,0,0,0,,0,0.0%,,,0,0,0.0,,
12,2006,2006-09-24,3,22.140,SFO,,PHI,L 24-38,*,27,46,58.70,293,1,0,84.8,3,24,6.37,6.80,6,39,6.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,
13,2006,2006-10-01,4,22.147,SFO,@,KAN,L 0-41,*,13,25,52.00,92,0,2,27.4,4,16,3.68,0.08,4,11,2.75,0,0,0,0,,0,0.0%,,,0,0,0.0,,
14,2006,2006-10-08,5,22.154,SFO,,OAK,W 34-20,*,15,19,78.95,165,3,1,120.5,0,0,8.68,9.47,2,10,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
15,2006,2006-10-15,6,22.161,SFO,,SDG,L 19-48,*,20,31,64.52,214,2,1,92.7,5,32,6.90,6.74,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,
16,2006,2006-10-29,7,22.175,SFO,@,CHI,L 10-41,*,14,25,56.00,135,1,2,51.2,2,14,5.40,2.60,5,23,4.60,0,0,0,0,,0,0.0%,,,0,0,0.0,,
17,2006,2006-11-05,8,22.182,SFO,,MIN,W 9-3,*,13,21,61.90,105,0,1,54.7,3,14,5.00,2.86,3,4,1.33,0,0,0,0,,0,0.0%,,,0,0,0.0,,
18,2006,2006-11-12,9,22.189,SFO,@,DET,W 19-13,*,14,20,70.00,136,0,0,88.7,3,19,6.80,6.80,8,15,1.88,0,0,0,0,,0,0.0%,,,0,0,0.0,,
19,2006,2006-11-19,10,22.196,SFO,,SEA,W 20-14,*,19,25,76.00,163,1,0,105.9,1,9,6.52,7.32,1,1,1.00,1,0,0,0,,0,0.0%,,,1,6,0.0,,
20,2006,2006-11-26,11,22.203,SFO,@,STL,L 17-20,*,13,25,52.00,148,1,2,50.1,0,0,5.92,3.12,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,
21,2006,2006-12-03,12,22.210,SFO,@,NOR,L 10-34,*,14,28,50.00,171,1,3,41.5,4,26,6.11,2.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,
22,2006,2006-12-10,13,22.217,SFO,,GNB,L 19-30,*,12,29,41.38,201,1,2,48.2,1,7,6.93,4.52,3,4,1.33,0,0,0,0,,0,0.0%,,,0,0,0.0,,
23,2006,2006-12-14,14,22.221,SFO,@,SEA,W 24-14,*,14,25,56.00,162,2,0,102.4,0,0,6.48,8.08,6,33,5.50,1,0,0,0,,0,0.0%,,,1,6,0.0,,
24,2006,2006-12-24,15,22.231,SFO,,ARI,L 20-26,*,18,29,62.07,190,0,1,66.7,4,16,6.55,5.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,
25,2006,2006-12-31,16,22.238,SFO,@,DEN,W 26-23,*,17,32,53.13,194,1,1,69.0,4,23,6.06,5.28,3,8,2.67,0,0,0,0,,0,0.0%,,,0,0,0.0,,
26,2007,2007-09-10,1,23.126,SFO,,ARI,W 20-17,*,15,31,48.39,126,0,0,59.3,3,24,4.06,4.06,3,36,12.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
27,2007,2007-09-16,2,23.132,SFO,@,STL,W 17-16,*,11,17,64.71,126,0,0,86.9,4,29,7.41,7.41,2,-1,-0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,
28,2007,2007-09-23,3,23.139,SFO,@,PIT,L 16-37,*,17,35,48.57,209,1,1,65.1,2,11,5.97,5.26,3,32,10.67,0,0,0,0,,0,0.0%,,,0,0,0.0,,
29,2007,2007-09-30,4,23.146,SFO,,SEA,L 3-23,*,0,1,0.00,0,0,0,39.6,1,10,0.00,0.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,
30,2007,2007-10-28,7,23.174,SFO,,NOR,L 10-31,*,22,43,51.16,190,1,0,70.9,2,13,4.42,4.88,4,16,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
31,2007,2007-11-04,8,23.181,SFO,@,ATL,L 16-20,*,17,38,44.74,149,0,3,22.8,2,14,3.92,0.37,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,
32,2007,2007-11-12,9,23.189,SFO,@,SEA,L 0-24,*,12,28,42.86,114,0,0,54.8,3,20,4.07,4.07,1,6,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
33,2009,2009-10-25,6,25.171,SFO,@,HOU,L 21-24,,15,22,68.18,206,3,1,118.6,0,0,9.36,10.05,2,16,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
34,2009,2009-11-01,7,25.178,SFO,@,IND,L 14-18,*,19,32,59.38,198,1,1,74.7,4,16,6.19,5.41,1,10,10.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
35,2009,2009-11-08,8,25.185,SFO,,TEN,L 27-34,*,29,45,64.44,286,2,3,69.3,4,36,6.36,4.24,2,11,5.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
36,2009,2009-11-12,9,25.189,SFO,,CHI,W 10-6,*,16,23,69.57,118,0,1,63.3,2,12,5.13,3.17,2,2,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
37,2009,2009-11-22,10,25.199,SFO,@,GNB,L 24-30,*,16,33,48.48,227,3,1,88.8,3,12,6.88,7.33,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
38,2009,2009-11-29,11,25.206,SFO,,JAX,W 20-3,*,27,41,65.85,232,2,0,96.8,0,0,5.66,6.63,3,8,2.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
39,2009,2009-12-06,12,25.213,SFO,@,SEA,L 17-20,*,27,45,60.00,310,2,0,95.6,1,7,6.89,7.78,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0
40,2009,2009-12-14,13,25.221,SFO,,ARI,W 24-9,*,19,35,54.29,144,2,2,59.7,1,6,4.11,2.69,4,2,0.50,0,1,1,-6,-6.00,0,100.0%,-6.00,,0,0,0.0,0,0
41,2009,2009-12-20,14,25.227,SFO,@,PHI,L 13-27,*,20,37,54.05,177,1,3,42.3,3,23,4.78,1.68,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
42,2009,2009-12-27,15,25.234,SFO,,DET,W 20-6,*,20,31,64.52,230,1,0,97.5,1,4,7.42,8.06,3,-3,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
43,2009,2010-01-03,16,25.241,SFO,@,STL,W 28-6,*,17,28,60.71,222,1,0,97.6,3,18,7.93,8.64,4,1,0.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
44,2010,2010-09-12,1,26.128,SFO,@,SEA,L 6-31,*,26,45,57.78,225,0,2,52.5,2,11,5.00,3.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
45,2010,2010-09-20,2,26.136,SFO,,NOR,L 22-25,*,23,32,71.88,275,1,2,82.2,0,0,8.59,6.41,4,28,7.00,0,0,0,0,,0,0.0%,,1,0,2,0.0,0,0
46,2010,2010-09-26,3,26.142,SFO,@,KAN,L 10-31,*,23,42,54.76,232,1,1,68.8,5,24,5.52,4.93,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
47,2010,2010-10-03,4,26.149,SFO,@,ATL,L 14-16,*,21,32,65.63,188,1,2,65.6,1,7,5.88,3.69,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
48,2010,2010-10-10,5,26.156,SFO,,PHI,L 24-27,*,25,39,64.10,309,3,2,92.8,2,19,7.92,7.15,3,16,5.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
49,2010,2010-10-17,6,26.163,SFO,,OAK,W 17-9,*,16,33,48.48,196,2,0,87.4,2,5,5.94,7.15,4,-2,-0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
50,2010,2010-10-24,7,26.170,SFO,@,CAR,L 20-23,*,9,19,47.37,129,1,0,87.4,1,8,6.79,7.84,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
51,2010,2010-12-12,13,26.219,SFO,,SEA,W 40-21,*,17,27,62.96,255,3,0,130.9,2,14,9.44,11.67,4,12,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
52,2010,2010-12-16,14,26.223,SFO,@,SDG,L 7-34,*,19,29,65.52,165,0,1,66.0,6,34,5.69,4.14,1,6,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
53,2010,2010-12-26,15,26.233,SFO,@,STL,L 17-25,,10,15,66.67,120,0,0,91.0,2,4,8.00,8.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
54,2010,2011-01-02,16,26.240,SFO,,ARI,W 38-7,*,15,29,51.72,276,2,0,107.8,2,14,9.52,10.90,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
55,2011,2011-09-11,1,27.127,SFO,,SEA,W 33-17,*,15,20,75.00,124,0,0,90.4,0,0,6.20,6.20,7,22,3.14,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0
56,2011,2011-09-18,2,27.134,SFO,,DAL,L 24-27,*,16,24,66.67,179,2,1,99.1,6,47,7.46,7.25,3,21,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0
57,2011,2011-09-25,3,27.141,SFO,@,CIN,W 13-8,*,20,30,66.67,201,0,0,85.6,5,25,6.70,6.70,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
58,2011,2011-10-02,4,27.148,SFO,@,PHI,W 24-23,*,21,33,63.64,291,2,0,112.1,3,13,8.82,10.03,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
59,2011,2011-10-09,5,27.155,SFO,,TAM,W 48-3,*,11,19,57.89,170,3,0,127.2,0,0,8.95,12.11,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
60,2011,2011-10-16,6,27.162,SFO,@,DET,W 25-19,*,17,32,53.13,125,1,1,60.0,2,14,3.91,3.13,2,5,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
61,2011,2011-10-30,7,27.176,SFO,,CLE,W 20-10,*,15,24,62.50,177,1,0,98.8,1,3,7.38,8.21,4,22,5.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
62,2011,2011-11-06,8,27.183,SFO,@,WAS,W 19-11,*,17,24,70.83,200,1,0,109.7,2,12,8.33,9.17,4,9,2.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
63,2011,2011-11-13,9,27.190,SFO,,NYG,W 27-20,*,19,30,63.33,242,1,1,85.7,2,14,8.07,7.23,6,27,4.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
64,2011,2011-11-20,10,27.197,SFO,,ARI,W 23-7,*,20,38,52.63,267,2,1,81.8,0,0,7.03,6.89,7,17,2.43,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
65,2011,2011-11-24,11,27.201,SFO,@,BAL,L 6-16,*,15,24,62.50,140,0,1,61.1,9,44,5.83,3.96,2,12,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
66,2011,2011-12-04,12,27.211,SFO,,STL,W 26-0,*,17,23,73.91,274,2,0,142.3,4,29,11.91,13.65,2,10,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
67,2011,2011-12-11,13,27.218,SFO,@,ARI,L 19-21,*,18,37,48.65,175,0,0,62.3,5,32,4.73,4.73,1,-3,-3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
68,2011,2011-12-19,14,27.226,SFO,,PIT,W 20-3,*,18,31,58.06,187,1,0,86.4,0,0,6.03,6.68,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
69,2011,2011-12-24,15,27.231,SFO,@,SEA,W 19-17,*,14,26,53.85,179,0,0,75.6,2,8,6.88,6.88,5,22,4.40,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
70,2011,2012-01-01,16,27.239,SFO,@,STL,W 34-27,*,20,30,66.67,213,1,0,98.3,3,22,7.10,7.77,5,4,0.80,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0
71,2012,2012-09-09,1,28.125,SFO,@,GNB,W 30-22,*,20,26,76.92,211,2,0,125.6,4,20,8.12,9.65,5,13,2.60,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
72,2012,2012-09-16,2,28.132,SFO,,DET,W 27-19,*,20,31,64.52,226,2,0,107.7,3,25,7.29,8.58,4,7,1.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
73,2012,2012-09-23,3,28.139,SFO,@,MIN,L 13-24,*,24,35,68.57,204,1,1,81.1,3,13,5.83,5.11,4,26,6.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
74,2012,2012-09-30,4,28.146,SFO,@,NYJ,W 34-0,*,12,21,57.14,143,0,0,78.1,2,9,6.81,6.81,3,12,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
75,2012,2012-10-07,5,28.153,SFO,,BUF,W 45-3,*,18,24,75.00,303,3,0,156.2,0,0,12.63,15.13,3,49,16.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
76,2012,2012-10-14,6,28.160,SFO,,NYG,L 3-26,*,19,30,63.33,200,0,3,43.1,4,31,6.67,2.17,2,5,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
77,2012,2012-10-18,7,28.164,SFO,,SEA,W 13-6,*,14,23,60.87,140,1,1,74.5,2,2,6.09,5.00,5,11,2.20,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
78,2012,2012-10-29,8,28.175,SFO,@,ARI,W 24-3,*,18,19,94.74,232,3,0,157.1,4,28,12.21,15.37,1,6,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
79,2012,2012-11-11,9,28.188,SFO,,STL,T 24-24,*,7,8,87.50,72,1,0,143.7,2,9,9.00,11.50,2,5,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
80,2012,2012-12-30,16,28.237,SFO,,ARI,W 27-13,,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00,2,-2,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
81,2013,2013-09-08,1,29.124,KAN,@,JAX,W 28-2,*,21,34,61.76,173,2,0,94.4,1,2,5.09,6.26,4,25,6.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
82,2013,2013-09-15,2,29.131,KAN,,DAL,W 17-16,*,21,36,58.33,223,2,0,95.0,4,24,6.19,7.31,8,57,7.13,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
83,2013,2013-09-19,3,29.135,KAN,@,PHI,W 26-16,*,22,35,62.86,273,0,0,87.0,5,25,7.80,7.80,11,32,2.91,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
84,2013,2013-09-29,4,29.145,KAN,,NYG,W 31-7,*,24,41,58.54,288,3,2,84.2,1,0,7.02,6.29,7,37,5.29,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
85,2013,2013-10-06,5,29.152,KAN,@,TEN,W 26-17,*,20,39,51.28,245,0,1,60.3,2,12,6.28,5.13,3,10,3.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
86,2013,2013-10-13,6,29.159,KAN,,OAK,W 24-7,*,14,31,45.16,128,0,0,56.9,3,23,4.13,4.13,4,29,7.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
87,2013,2013-10-20,7,29.166,KAN,,HOU,W 17-16,*,23,34,67.65,240,0,1,75.6,2,9,7.06,5.74,6,28,4.67,1,1,1,-4,-4.00,0,100.0%,-4.00,,1,6,0.0,0,0
88,2013,2013-10-27,8,29.173,KAN,,CLE,W 23-17,*,24,36,66.67,225,2,0,102.2,6,30,6.25,7.36,6,40,6.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
89,2013,2013-11-03,9,29.180,KAN,@,BUF,W 23-13,*,19,29,65.52,124,0,0,74.5,2,9,4.28,4.28,4,7,1.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
