ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1993,1993-09-05,1,22.301,MIN,@,RAI,L 7-24,,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,
2,1993,1993-09-12,2,22.308,MIN,,CHI,W 10-7,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,2,38,19.00,0,0,0
3,1993,1993-09-26,3,22.322,MIN,,GNB,W 15-13,,5,3,45,15.00,0,60.0%,9.00,0,0,,0,3,99,33.00,0,0,0
4,1993,1993-10-03,4,22.329,MIN,@,SFO,L 19-38,,8,5,65,13.00,0,62.5%,8.13,0,0,,0,5,92,18.40,0,0,0
5,1993,1993-10-10,5,22.336,MIN,,TAM,W 15-0,,4,1,2,2.00,0,25.0%,0.50,2,9,4.50,0,0,0,,0,0,0
6,1993,1993-10-25,6,22.351,MIN,@,CHI,W 19-12,,,0,0,,0,0.0%,,0,0,,0,4,72,18.00,0,0,0
7,1993,1993-10-31,7,22.357,MIN,,DET,L 27-30,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,4,97,24.25,0,0,0
8,1993,1993-11-07,8,22.364,MIN,,SDG,L 17-30,,,0,0,,0,0.0%,,0,0,,0,5,133,26.60,0,0,0
9,1993,1993-11-14,9,23.006,MIN,@,DEN,W 26-23,,,0,0,,0,0.0%,,0,0,,0,5,73,14.60,0,0,0
10,1993,1993-11-28,11,23.020,MIN,,NOR,L 14-17,,1,1,37,37.00,0,100.0%,37.00,0,0,,0,2,40,20.00,0,0,0
11,1993,1993-12-05,12,23.027,MIN,@,DET,W 13-0,,,0,0,,0,0.0%,,0,0,,0,1,25,25.00,0,0,0
12,1993,1993-12-12,13,23.034,MIN,,DAL,L 20-37,,3,3,27,9.00,0,100.0%,9.00,1,5,5.00,0,5,127,25.40,0,0,0
13,1993,1993-12-19,14,23.041,MIN,@,GNB,W 21-17,,2,1,6,6.00,1,50.0%,3.00,0,0,,0,4,69,17.25,0,1,6
14,1993,1993-12-26,15,23.048,MIN,,KAN,W 30-10,,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,,0,0,0
15,1993,1993-12-31,16,23.053,MIN,@,WAS,W 14-9,,1,0,0,,0,0.0%,0.00,0,0,,0,2,37,18.50,0,0,0
16,1994,1994-09-04,1,23.300,MIN,@,GNB,L 10-16,,4,2,31,15.50,0,50.0%,7.75,0,0,,0,2,69,34.50,0,0,0
17,1994,1994-09-11,2,23.307,MIN,,DET,W 10-3,,3,2,34,17.00,1,66.7%,11.33,0,0,,0,2,51,25.50,0,1,6
18,1994,1994-09-18,3,23.314,MIN,@,CHI,W 42-14,,1,0,0,,0,0.0%,0.00,0,0,,0,1,21,21.00,0,0,0
19,1994,1994-09-25,4,23.321,MIN,,MIA,W 38-35,,3,2,44,22.00,0,66.7%,14.67,0,0,,0,2,57,28.50,0,0,0
20,1994,1994-10-02,5,23.328,MIN,@,ARI,L 7-17,,3,0,0,,0,0.0%,0.00,0,0,,0,4,116,29.00,0,0,0
21,1994,1994-10-10,6,23.336,MIN,@,NYG,W 27-10,,8,7,117,16.71,0,87.5%,14.63,0,0,,0,0,0,,0,0,0
22,1994,1994-10-20,7,23.346,MIN,,GNB,W 13-10,,5,2,17,8.50,0,40.0%,3.40,0,0,,0,4,81,20.25,0,0,0
23,1994,1994-10-30,8,23.356,MIN,@,TAM,W 36-13,,4,1,8,8.00,0,25.0%,2.00,0,0,,0,2,31,15.50,0,0,0
24,1994,1994-11-06,9,23.363,MIN,,NOR,W 21-20,,4,2,22,11.00,1,50.0%,5.50,0,0,,0,4,60,15.00,0,1,6
25,1994,1994-11-13,10,24.005,MIN,@,NWE,L 20-26,,8,4,89,22.25,1,50.0%,11.13,0,0,,0,3,63,21.00,0,1,6
26,1994,1994-11-20,11,24.012,MIN,,NYJ,L 21-31,,3,3,18,6.00,1,100.0%,6.00,0,0,,0,4,107,26.75,0,1,6
27,1994,1994-11-27,12,24.019,MIN,,TAM,L 17-20,,9,6,101,16.83,1,66.7%,11.22,0,0,,0,2,52,26.00,0,1,6
28,1994,1994-12-01,13,24.023,MIN,,CHI,W 33-27,,10,6,71,11.83,0,60.0%,7.10,0,0,,0,5,99,19.80,0,0,0
29,1994,1994-12-11,14,24.033,MIN,@,BUF,W 21-17,,4,3,63,21.00,0,75.0%,15.75,0,0,,0,0,0,,0,0,0
30,1994,1994-12-17,15,24.039,MIN,@,DET,L 19-41,,8,4,43,10.75,0,50.0%,5.38,0,0,,0,0,0,,0,0,0
31,1994,1994-12-26,16,24.048,MIN,,SFO,W 21-14,,5,1,38,38.00,0,20.0%,7.60,0,0,,0,0,0,,0,0,0
32,1995,1995-09-03,1,24.299,MIN,@,CHI,L 14-31,,3,2,18,9.00,0,66.7%,6.00,0,0,,0,3,85,28.33,0,0,0
33,1995,1995-09-10,2,24.306,MIN,,DET,W 20-10,,2,1,85,85.00,1,50.0%,42.50,0,0,,0,1,27,27.00,0,1,6
34,1995,1995-09-17,3,24.313,MIN,,DAL,L 17-23,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
35,1995,1995-09-24,4,24.320,MIN,@,PIT,W 44-24,,2,1,36,36.00,0,50.0%,18.00,0,0,,0,0,0,,0,0,0
36,1995,1995-10-08,5,24.334,MIN,,HOU,W 23-17,,2,2,53,26.50,0,100.0%,26.50,0,0,,0,0,0,,0,0,0
37,1995,1995-10-15,6,24.341,MIN,@,TAM,L 17-20,,2,2,24,12.00,0,100.0%,12.00,0,0,,0,2,38,19.00,0,0,0
38,1995,1995-10-22,7,24.348,MIN,@,GNB,L 21-38,,2,0,0,,0,0.0%,0.00,1,7,7.00,0,2,47,23.50,0,0,0
39,1995,1995-10-30,8,24.356,MIN,,CHI,L 6-14,,8,7,49,7.00,0,87.5%,6.13,0,0,,0,2,60,30.00,0,0,0
40,1995,1995-11-05,9,24.362,MIN,,GNB,W 27-24,,3,1,28,28.00,0,33.3%,9.33,0,0,,0,5,115,23.00,0,0,0
41,1995,1995-11-12,10,25.004,MIN,@,ARI,W 30-24,,4,1,50,50.00,1,25.0%,12.50,0,0,,0,5,139,27.80,0,1,6
42,1995,1995-11-19,11,25.011,MIN,,NOR,W 43-24,,7,5,142,28.40,1,71.4%,20.29,0,0,,0,3,58,19.33,0,1,6
43,1995,1995-11-23,12,25.015,MIN,@,DET,L 38-44,,2,2,31,15.50,0,100.0%,15.50,0,0,,0,8,207,25.88,0,0,0
44,1995,1995-12-03,13,25.025,MIN,,TAM,W 31-17,,2,2,11,5.50,0,100.0%,5.50,0,0,,0,1,23,23.00,0,0,0
45,1995,1995-12-09,14,25.031,MIN,,CLE,W 27-11,,9,6,70,11.67,0,66.7%,7.78,0,0,,0,0,0,,0,0,0
46,1995,1995-12-18,15,25.040,MIN,@,SFO,L 30-37,,4,0,0,,0,0.0%,0.00,0,0,,0,7,188,26.86,0,0,0
47,1995,1995-12-24,16,25.046,MIN,@,CIN,L 24-27,,2,0,0,,0,0.0%,0.00,0,0,,0,3,50,16.67,0,0,0
48,1996,1996-09-01,1,25.298,MIN,,DET,W 17-13,,2,2,21,10.50,0,100.0%,10.50,0,0,,0,1,32,32.00,0,0,0
49,1996,1996-09-08,2,25.305,MIN,@,ATL,W 23-17,,1,0,0,,0,0.0%,0.00,0,0,,0,2,36,18.00,0,0,0
50,1996,1996-09-15,3,25.312,MIN,@,CHI,W 20-14,,8,5,54,10.80,0,62.5%,6.75,0,0,,0,0,0,,0,0,0
51,1996,1996-09-22,4,25.319,MIN,,GNB,W 30-21,,6,2,23,11.50,1,33.3%,3.83,0,0,,0,3,58,19.33,0,1,6
52,1996,1996-09-29,5,25.326,MIN,@,NYG,L 10-15,,2,0,0,,0,0.0%,0.00,0,0,,0,4,84,21.00,0,0,0
53,1996,1996-10-06,6,25.333,MIN,,CAR,W 14-12,,3,1,16,16.00,0,33.3%,5.33,0,0,,0,1,12,12.00,0,0,0
54,1996,1996-10-13,7,25.340,MIN,@,TAM,L 13-24,,3,2,48,24.00,0,66.7%,16.00,0,0,,0,1,20,20.00,0,0,0
55,1996,1996-10-28,8,25.355,MIN,,CHI,L 13-15,,6,3,70,23.33,1,50.0%,11.67,0,0,,0,3,51,17.00,0,1,6
56,1996,1996-11-03,9,25.361,MIN,,KAN,L 6-21,,5,1,32,32.00,0,20.0%,6.40,0,0,,0,0,0,,0,0,0
57,1996,1996-11-10,10,26.002,MIN,@,SEA,L 23-42,,0,0,0,,0,0.0%,,0,0,,0,3,50,16.67,0,0,0
