ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1962,1962-09-07,1,24.080,DEN,,SDG,W 30-21,0,0,,0,0,0,0,0,0,3,106,35.33,0
2,1962,1962-09-15,2,24.088,DEN,@,BUF,W 23-20,0,0,,0,0,0,0,0,0,2,67,33.50,0
3,1962,1962-09-30,4,24.103,DEN,@,NYT,W 32-10,0,0,,0,0,0,1,4,0,0,0,,0
4,1962,1962-11-22,12,24.156,DEN,,NYT,L 45-46,0,0,,0,0,0,1,11,0,0,0,,0
5,1962,1962-12-02,13,24.166,DEN,@,HOU,L 17-34,0,0,,0,0,0,1,4,0,0,0,,0
6,1962,1962-12-09,14,24.173,DEN,@,DTX,L 10-17,0,0,,0,0,0,1,18,0,0,0,,0
7,1963,1963-09-29,3,25.102,DEN,,BOS,W 14-10,0,0,,0,0,0,2,12,0,0,0,,0
8,1964,1964-10-24,6,26.127,NYJ,@,BUF,L 24-34,0,0,,0,0,0,1,22,0,0,0,,0
9,1964,1964-10-31,7,26.134,NYJ,,BOS,W 35-14,0,0,,0,1,6,1,38,1,0,0,,0
10,1964,1964-11-22,10,26.156,NYJ,@,OAK,L 26-35,0,0,,0,0,0,1,0,0,0,0,,0
11,1965,1965-10-31,7,27.134,NYJ,,DEN,W 45-10,0,0,,0,0,0,1,7,0,0,0,,0
12,1965,1965-12-19,14,27.183,NYJ,,BUF,W 14-12,1,13,13.00,0,0,0,0,0,0,0,0,,0
13,1966,1966-09-18,3,28.091,MIA,@,BUF,L 24-58,0,0,,0,0,0,1,20,0,0,0,,0
14,1966,1966-10-02,4,28.105,MIA,@,SDG,L 10-44,0,0,,0,0,0,0,0,0,5,182,36.40,0
15,1966,1966-10-09,5,28.112,MIA,@,OAK,L 10-21,0,0,,0,0,0,0,0,0,5,208,41.60,0
16,1966,1966-10-16,6,28.119,MIA,,DEN,W 24-7,0,0,,0,0,0,0,0,0,7,295,42.14,0
17,1966,1966-10-23,7,28.126,MIA,@,HOU,W 20-13,0,0,,0,0,0,0,0,0,6,225,37.50,0
18,1966,1966-11-06,8,28.140,MIA,,BUF,L 0-29,0,0,,0,0,0,0,0,0,7,222,31.71,1
19,1966,1966-11-13,9,28.147,MIA,@,KAN,L 16-34,0,0,,0,0,0,0,0,0,3,90,30.00,0
20,1966,1966-12-04,12,28.168,MIA,@,DEN,L 7-17,0,0,,0,0,0,1,0,0,0,0,,0
21,1967,1967-12-03,11,29.167,MIA,@,HOU,L 14-17,0,0,,0,0,0,1,15,0,0,0,,0
