ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1985,1985-09-08,1,22.157,NOR,,KAN,L 27-47,,,,,,,,,,,,,,
2,1985,1985-09-15,2,22.164,NOR,@,DEN,L 23-34,,,,,,,,,,,,,,
3,1985,1985-09-22,3,22.171,NOR,,TAM,W 20-13,,,,,,,,,,,,,,
4,1985,1985-09-29,4,22.178,NOR,@,SFO,W 20-17,0,0,,0,0,0,,0,0,0,0.0,1,2,0
5,1985,1985-10-06,5,22.185,NOR,,PHI,W 23-21,,,,,,,,,,,,,,
6,1985,1985-10-13,6,22.192,NOR,@,RAI,L 13-23,,,,,,,,,,,,,,
7,1985,1985-10-20,7,22.199,NOR,@,ATL,L 24-31,0,0,,0,0,0,,0,0,0,0.0,1,11,0
8,1985,1985-10-27,8,22.206,NOR,,NYG,L 13-21,,,,,,,,,,,,,,
9,1985,1985-11-03,9,22.213,NOR,@,RAM,L 10-28,,,,,,,,,,,,,,
10,1985,1985-11-10,10,22.220,NOR,,SEA,L 3-27,,,,,,,,,,,,,,
11,1985,1985-11-17,11,22.227,NOR,@,GNB,L 14-38,,,,,,,,,,,,,,
12,1985,1985-11-24,12,22.234,NOR,@,MIN,W 30-23,,,,,,,,,,,,,,
13,1985,1985-12-01,13,22.241,NOR,,RAM,W 29-3,,,,,,,,,,,,,,
14,1985,1985-12-08,14,22.248,NOR,@,STL,L 16-28,,,,,,,,,,,,,,
15,1985,1985-12-15,15,22.255,NOR,,SFO,L 19-31,,,,,,,,,,,,,,
16,1985,1985-12-22,16,22.262,NOR,,ATL,L 10-16,,,,,,,,,,,,,,
17,1986,1986-09-07,1,23.156,NOR,,ATL,L 10-31,,,,,,,,,,,,,,
18,1986,1986-09-14,2,23.163,NOR,,GNB,W 24-10,,,,,,,,,,,,,,
19,1986,1986-09-21,3,23.170,NOR,@,SFO,L 17-26,,,,,,,,,,,,,,
20,1986,1986-09-28,4,23.177,NOR,@,NYG,L 17-20,,,,,,,,,,,,,,
21,1986,1986-10-05,5,23.184,NOR,,WAS,L 6-14,,,,,,,,,,,,,,
22,1986,1986-10-12,6,23.191,NOR,@,IND,W 17-14,,,,,,,,,,,,,,
23,1986,1986-10-19,7,23.198,NOR,,TAM,W 38-7,,,,,,,,,,,,,,
24,1986,1986-10-26,8,23.205,NOR,@,NYJ,L 23-28,,,,,,,,,,,,,,
25,1986,1986-11-02,9,23.212,NOR,,SFO,W 23-10,,,,,,,,,,,,,,
26,1986,1986-11-09,10,23.219,NOR,,RAM,W 6-0,,,,,,,,,,,,,,
27,1986,1986-11-16,11,23.226,NOR,@,STL,W 16-7,,,,,,,,,,,,,,
28,1986,1986-11-23,12,23.233,NOR,@,RAM,L 13-26,,,,,,,,,,,,,,
29,1986,1986-11-30,13,23.240,NOR,,NWE,L 20-21,,,,,,,,,,,,,,
30,1986,1986-12-07,14,23.247,NOR,,MIA,L 27-31,1,16,16.00,0,0,0,,0,0,0,0.0,0,0,0
31,1986,1986-12-14,15,23.254,NOR,@,ATL,W 14-9,,,,,,,,,,,,,,
32,1986,1986-12-21,16,23.261,NOR,@,MIN,L 17-33,,,,,,,,,,,,,,
33,1987,1987-09-13,1,24.162,KAN,,SDG,W 20-13,,,,,,,,,,,,,,
34,1987,1987-09-20,2,24.169,KAN,@,SEA,L 14-43,,,,,,,,,,,,,,
35,1987,1987-10-25,6,24.204,KAN,@,SDG,L 21-42,,,,,,,,,,,,,,
36,1987,1987-11-01,7,24.211,KAN,@,CHI,L 28-31,,,,,,,,,,,,,,
37,1987,1987-11-08,8,24.218,KAN,,PIT,L 16-17,0,0,,0,0,0,,0,0,0,1.0,0,0,0
38,1987,1987-11-15,9,24.225,KAN,,NYJ,L 9-16,0,0,,0,0,0,,0,0,0,1.0,0,0,0
39,1987,1987-11-22,10,24.232,KAN,,GNB,L 3-23,,,,,,,,,,,,,,
40,1987,1987-12-13,13,24.253,KAN,,RAI,W 16-10,0,0,,0,0,0,,0,0,0,1.0,0,0,0
41,1987,1987-12-19,14,24.259,KAN,@,DEN,L 17-20,,,,,,,,,,,,,,
42,1987,1987-12-27,15,24.267,KAN,,SEA,W 41-20,,,,,,,,,,,,,,
43,1988,1988-09-04,1,25.153,KAN,,CLE,L 3-6,,,,,,,,,,,,,,
44,1988,1988-09-11,2,25.160,KAN,@,SEA,L 10-31,,,,,,,,,,,,,,
45,1988,1988-09-18,3,25.167,KAN,,DEN,W 20-13,,,,,,,,,,,,,,
46,1988,1988-09-25,4,25.174,KAN,,SDG,L 23-24,,,,,,,,,,,,,,
47,1988,1988-10-02,5,25.181,KAN,@,NYJ,T 17-17,0,0,,0,0,0,,0,0,0,1.0,0,0,0
48,1988,1988-10-09,6,25.188,KAN,@,HOU,L 6-7,,,,,,,,,,,,,,
49,1988,1988-10-16,7,25.195,KAN,,RAI,L 17-27,,,,,,,,,,,,,,
50,1988,1988-10-23,8,25.202,KAN,,DET,L 6-7,0,0,,0,0,0,,0,0,0,0.0,1,0,0
51,1988,1988-10-30,9,25.209,KAN,@,RAI,L 10-17,,,,,,,,,,,,,,
52,1988,1988-11-06,10,25.216,KAN,@,DEN,L 11-17,,,,,,,,,,,,,,
53,1988,1988-11-13,11,25.223,KAN,,CIN,W 31-28,,,,,,,,,,,,,,
54,1988,1988-11-20,12,25.230,KAN,,SEA,W 27-24,,,,,,,,,,,,,,
55,1988,1988-11-27,13,25.237,KAN,@,PIT,L 10-16,,,,,,,,,,,,,,
56,1988,1988-12-04,14,25.244,KAN,,NYJ,W 38-34,,,,,,,,,,,,,,
57,1988,1988-12-11,15,25.251,KAN,@,NYG,L 12-28,,,,,,,,,,,,,,
58,1989,1989-09-10,1,26.159,DAL,@,NOR,L 0-28,,,,,,,,,,,,,,
59,1989,1989-10-01,4,26.180,DAL,,NYG,L 13-30,,,,,,,,,,,,,,
60,1989,1989-10-08,5,26.187,DAL,@,GNB,L 13-31,,,,,,,,,,,,,,
61,1989,1989-10-15,6,26.194,DAL,,SFO,L 14-31,,,,,,,,,,,,,,
62,1989,1989-10-22,7,26.201,DAL,@,KAN,L 28-36,,,,,,,,,,,,,,
63,1989,1989-10-29,8,26.208,DAL,,PHO,L 10-19,,,,,,,,,,,,,,
64,1989,1989-11-05,9,26.215,DAL,@,WAS,W 13-3,,,,,,,,,,,,,,
65,1989,1989-11-12,10,26.222,DAL,@,PHO,L 20-24,,,,,,,,,,,,,,
66,1989,1989-11-19,11,26.229,DAL,,MIA,L 14-17,,,,,,,,,,,,,,
67,1989,1989-11-23,12,26.233,DAL,,PHI,L 0-27,,,,,,,,,,,,,,
68,1989,1989-12-03,13,26.243,DAL,,RAM,L 31-35,,,,,,,,,,,,,,
69,1989,1989-12-10,14,26.250,DAL,@,PHI,L 10-20,,,,,,,,,,,,,,
70,1989,1989-12-16,15,26.256,DAL,@,NYG,L 0-15,,,,,,,,,,,,,,
71,1989,1989-12-24,16,26.264,DAL,,GNB,L 10-20,,,,,,,,,,,,,,
72,1990,1990-09-09,1,27.158,DAL,,SDG,W 17-14,,,,,,,,,,,,,,
73,1990,1990-09-16,2,27.165,DAL,,NYG,L 7-28,,,,,,,,,,,,,,
74,1990,1990-09-23,3,27.172,DAL,@,WAS,L 15-19,0,0,,0,0,0,,0,0,0,0.5,0,0,0
75,1990,1990-09-30,4,27.179,DAL,@,NYG,L 17-31,,,,,,,,,,,,,,
76,1990,1990-10-07,5,27.186,DAL,,TAM,W 14-10,,,,,,,,,,,,,,
77,1990,1990-10-14,6,27.193,DAL,@,PHO,L 3-20,,,,,,,,,,,,,,
78,1990,1990-10-21,7,27.200,DAL,@,TAM,W 17-13,,,,,,,,,,,,,,
79,1990,1990-10-28,8,27.207,DAL,,PHI,L 20-21,,,,,,,,,,,,,,
80,1990,1990-11-04,9,27.214,DAL,@,NYJ,L 9-24,,,,,,,,,,,,,,
81,1990,1990-11-11,10,27.221,DAL,,SFO,L 6-24,,,,,,,,,,,,,,
82,1990,1990-11-18,11,27.228,DAL,@,RAM,W 24-21,,,,,,,,,,,,,,
83,1990,1990-11-22,12,27.232,DAL,,WAS,W 27-17,,,,,,,,,,,,,,
84,1990,1990-12-02,13,27.242,DAL,,NOR,W 17-13,,,,,,,,,,,,,,
85,1990,1990-12-16,14,27.256,DAL,,PHO,W 41-10,,,,,,,,,,,,,,
86,1990,1990-12-23,15,27.263,DAL,@,PHI,L 3-17,0,0,,0,0,0,,0,0,0,1.0,0,0,0
87,1990,1990-12-30,16,27.270,DAL,@,ATL,L 7-26,,,,,,,,,,,,,,
88,1991,1991-09-01,1,28.150,DAL,@,CLE,W 26-14,,,,,,,,,,,,,,
89,1991,1991-09-09,2,28.158,DAL,,WAS,L 31-33,,,,,,,,,,,,,,
90,1991,1991-09-15,3,28.164,DAL,,PHI,L 0-24,,,,,,,,,,,,,,
91,1991,1991-09-22,4,28.171,DAL,@,PHO,W 17-9,,,,,,,,,,,,,,
92,1991,1991-09-29,5,28.178,DAL,,NYG,W 21-16,,,,,,,,,,,,,,
93,1991,1991-10-06,6,28.185,DAL,@,GNB,W 20-17,,,,,,,,,,,,,,
94,1991,1991-10-13,7,28.192,DAL,,CIN,W 35-23,,,,,,,,,,,,,,
95,1991,1991-10-27,8,28.206,DAL,@,DET,L 10-34,,,,,,,,,,,,,,
96,1991,1991-11-03,9,28.213,DAL,,PHO,W 27-7,,,,,,,,,,,,,,
97,1991,1991-11-10,10,28.220,DAL,@,HOU,L 23-26,,,,,,,,,,,,,,
98,1991,1991-11-17,11,28.227,DAL,@,NYG,L 9-22,,,,,,,,,,,,,,
99,1991,1991-11-24,12,28.234,DAL,@,WAS,W 24-21,,,,,,,,,,,,,,
100,1991,1991-11-28,13,28.238,DAL,,PIT,W 20-10,,,,,,,,,,,,,,
101,1991,1991-12-08,14,28.248,DAL,,NOR,W 23-14,,,,,,,,,,,,,,
102,1991,1991-12-15,15,28.255,DAL,@,PHI,W 25-13,,,,,,,,,,,,,,
103,1991,1991-12-22,16,28.262,DAL,,ATL,W 31-27,,,,,,,,,,,,,,
104,1992,1992-09-06,1,29.155,MIN,@,GNB,W 23-20,,,,,,,,,,,,,,
105,1992,1992-09-13,2,29.162,MIN,@,DET,L 17-31,,,,,,,,,,,,,,
106,1992,1992-09-20,3,29.169,MIN,,TAM,W 26-20,,,,,,,,,,,,,,
107,1992,1992-09-27,4,29.176,MIN,@,CIN,W 42-7,,,,,,,,,,,,,,
108,1992,1992-10-04,5,29.183,MIN,,CHI,W 21-20,,,,,,,,,,,,,,
109,1992,1992-10-15,6,29.194,MIN,,DET,W 31-14,0,0,,0,0,0,,0,0,0,1.0,0,0,0
110,1992,1992-10-25,7,29.204,MIN,,WAS,L 13-15,,,,,,,,,,,,,,
111,1992,1992-11-02,8,29.212,MIN,@,CHI,W 38-10,0,0,,0,0,0,,0,1,6,0.0,2,92,1
112,1992,1992-11-08,9,29.218,MIN,@,TAM,W 35-7,,,,,,,,,,,,,,
