ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1987,1987-09-13,1,23.037,GNB,,RAI,L 0-20,0,0,,0,,,,
2,1987,1987-09-20,2,23.044,GNB,,DEN,T 17-17,0,0,,0,,,,
3,1987,1987-10-25,6,23.079,GNB,@,DET,W 34-33,0,0,,0,,,,
4,1987,1987-11-01,7,23.086,GNB,,TAM,L 17-23,0,0,,0,,,,
5,1987,1987-11-08,8,23.093,GNB,,CHI,L 24-26,0,0,,0,,,,
6,1987,1987-11-15,9,23.100,GNB,@,SEA,L 13-24,1,18,18.00,0,0,0,,0
7,1987,1987-11-22,10,23.107,GNB,@,KAN,W 23-3,1,12,12.00,0,0,0,,0
8,1987,1987-11-29,11,23.114,GNB,@,CHI,L 10-23,0,0,,0,,,,
9,1987,1987-12-06,12,23.121,GNB,,SFO,L 12-23,0,0,,0,,,,
10,1987,1987-12-13,13,23.128,GNB,,MIN,W 16-10,0,0,,0,,,,
11,1987,1987-12-19,14,23.134,GNB,@,NYG,L 10-20,0,0,,0,,,,
12,1987,1987-12-27,15,23.142,GNB,@,NOR,L 24-33,0,0,,0,,,,
13,1988,1988-09-04,1,24.028,GNB,,RAM,L 7-34,3,93,31.00,0,3,7,2.33,0
14,1988,1988-09-11,2,24.035,GNB,,TAM,L 10-13,1,23,23.00,0,2,8,4.00,0
