ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,21.350,TAM,@,NYJ,L 17-18,,0,0,0,,0,0.0%,,0,0,,0,1,27,27.00,0,3,35,11.67,0,0.0,0,0
2,2013,2013-09-15,2,21.357,TAM,,NOR,L 14-16,,0,0,0,,0,0.0%,,0,0,,0,1,33,33.00,0,2,0,0.00,0,0.0,0,0
3,2013,2013-09-22,3,21.364,TAM,@,NWE,L 3-23,,5,3,55,18.33,0,60.0%,11.00,0,0,,0,0,0,,0,1,12,12.00,0,0.0,0,0
4,2013,2013-09-29,4,22.006,TAM,,ARI,L 10-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,22,11.00,0,0.0,0,0
5,2013,2013-10-13,5,22.020,TAM,,PHI,L 20-31,*,0,0,0,,0,0.0%,,0,0,,0,1,30,30.00,0,2,45,22.50,0,0.0,0,0
6,2013,2013-10-20,6,22.027,TAM,@,ATL,L 23-31,,0,0,0,,0,0.0%,,0,0,,0,2,56,28.00,0,3,27,9.00,0,0.0,0,0
7,2013,2013-10-24,7,22.031,TAM,,CAR,L 13-31,,3,1,13,13.00,0,33.3%,4.33,0,0,,0,2,40,20.00,0,3,6,2.00,0,0.0,1,0
8,2013,2013-11-03,8,22.041,TAM,@,SEA,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,2,43,21.50,0,0,0,,0,0.0,0,0
9,2013,2013-11-11,9,22.049,TAM,,MIA,W 22-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,55,27.50,0,0.0,0,0
10,2013,2013-11-17,10,22.055,TAM,,ATL,W 41-28,,0,0,0,,0,0.0%,,0,0,,0,3,61,20.33,0,0,0,,0,0.0,0,0
11,2013,2013-11-24,11,22.062,TAM,@,DET,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,2,83,41.50,0,2,19,9.50,0,0.0,0,0
12,2013,2013-12-01,12,22.069,TAM,@,CAR,L 6-27,,0,0,0,,0,0.0%,,0,0,,0,1,26,26.00,0,0,0,,0,0.0,0,0
13,2013,2013-12-08,13,22.076,TAM,,BUF,W 27-6,,0,0,0,,0,0.0%,,1,-5,-5.00,0,1,20,20.00,0,2,21,10.50,0,0.0,0,0
14,2013,2013-12-15,14,22.083,TAM,,SFO,L 14-33,,1,0,0,,0,0.0%,0.00,0,0,,0,3,60,20.00,0,1,9,9.00,0,0.0,0,0
15,2013,2013-12-22,15,22.090,TAM,@,STL,L 13-23,,0,0,0,,0,0.0%,,1,19,19.00,0,0,0,,0,0,0,,0,0.0,0,0
16,2013,2013-12-29,16,22.097,TAM,@,NOR,L 17-42,,0,0,0,,0,0.0%,,0,0,,0,3,69,23.00,0,0,0,,0,0.0,0,0
