ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2005,2005-10-16,5,23.329,PIT,,JAX,L 17-23,,0,0,,0,0,0,0.0,,,1,0,0
2,2005,2005-10-23,6,23.336,PIT,@,CIN,W 27-13,,,,,,,,,,,,,
3,2005,2005-10-31,7,23.344,PIT,,BAL,W 20-19,,,,,,,,,,,,,
4,2005,2005-11-06,8,23.350,PIT,@,GNB,W 20-10,,0,0,,0,0,0,1.0,,,0,0,0
5,2005,2005-11-13,9,23.357,PIT,,CLE,W 34-21,,,,,,,,,,,,,
6,2005,2005-11-20,10,23.364,PIT,@,BAL,L 13-16,,,,,,,,,,,,,
7,2005,2005-11-28,11,24.007,PIT,@,IND,L 7-26,,,,,,,,,,,,,
8,2005,2005-12-04,12,24.013,PIT,,CIN,L 31-38,*,,,,,,,,,,,,
9,2005,2005-12-11,13,24.020,PIT,,CHI,W 21-9,,,,,,,,,,,,,
10,2005,2005-12-18,14,24.027,PIT,@,MIN,W 18-3,,,,,,,,,,,,,
11,2005,2005-12-24,15,24.033,PIT,@,CLE,W 41-0,,,,,,,,,,,,,
12,2005,2006-01-01,16,24.041,PIT,,DET,W 35-21,,,,,,,,,,,,,
13,2006,2006-09-07,1,24.290,PIT,,MIA,W 28-17,,,,,,,,,,,,,
14,2006,2006-09-18,2,24.301,PIT,@,JAX,L 0-9,,,,,,,,,,,,,
15,2006,2006-09-24,3,24.307,PIT,,CIN,L 20-28,,,,,,,,,,,,,
16,2006,2006-10-08,4,24.321,PIT,@,SDG,L 13-23,,1,-2,-2.00,0,0,0,0.0,,,0,0,0
17,2006,2006-10-15,5,24.328,PIT,,KAN,W 45-7,*,0,0,,0,0,0,0.0,,,1,39,0
18,2006,2006-10-22,6,24.335,PIT,@,ATL,L 38-41,*,,,,,,,,,,,,
19,2006,2006-10-29,7,24.342,PIT,@,OAK,L 13-20,,,,,,,,,,,,,
20,2006,2006-11-05,8,24.349,PIT,,DEN,L 20-31,,,,,,,,,,,,,
21,2006,2006-11-12,9,24.356,PIT,,NOR,W 38-31,,,,,,,,,,,,,
22,2006,2006-11-19,10,24.363,PIT,@,CLE,W 24-20,*,,,,,,,,,,,,
23,2006,2006-11-26,11,25.005,PIT,@,BAL,L 0-27,*,,,,,,,,,,,,
24,2006,2006-12-03,12,25.012,PIT,,TAM,W 20-3,*,0,0,,0,0,0,0.0,,,1,0,0
25,2006,2006-12-07,13,25.016,PIT,,CLE,W 27-7,*,,,,,,,,,,,,
26,2006,2006-12-17,14,25.026,PIT,@,CAR,W 37-3,*,,,,,,,,,,,,
27,2006,2006-12-24,15,25.033,PIT,,BAL,L 7-31,*,0,0,,0,0,0,0.0,,,1,0,0
28,2006,2006-12-31,16,25.040,PIT,@,CIN,W 23-17,*,,,,,,,,,,,,
29,2007,2007-09-09,1,25.292,PIT,@,CLE,W 34-7,,,,,,,,,,,,,
30,2007,2007-09-16,2,25.299,PIT,,BUF,W 26-3,,,,,,,,,,,,,
31,2007,2007-09-23,3,25.306,PIT,,SFO,W 37-16,,0,0,,0,1,6,0.0,,,1,50,1
32,2007,2007-09-30,4,25.313,PIT,@,ARI,L 14-21,,,,,,,,,,,,,
33,2007,2007-11-05,8,25.349,PIT,,BAL,W 38-7,,,,,,,,,,,,,
34,2007,2007-11-11,9,25.355,PIT,,CLE,W 31-28,,,,,,,,,,,,,
35,2007,2007-11-18,10,25.362,PIT,@,NYJ,L 16-19,,,,,,,,,,,,,
36,2007,2007-11-26,11,26.005,PIT,,MIA,W 3-0,,,,,,,,,,,,,
37,2007,2007-12-02,12,26.011,PIT,,CIN,W 24-10,,,,,,,,,,,,,
38,2007,2007-12-09,13,26.018,PIT,@,NWE,L 13-34,,,,,,,,,,,,,
39,2007,2007-12-16,14,26.025,PIT,,JAX,L 22-29,,,,,,,,,,,,,
40,2007,2007-12-20,15,26.029,PIT,@,STL,W 41-24,,,,,,,,,,,,,
41,2007,2007-12-30,16,26.039,PIT,@,BAL,L 21-27,,,,,,,,,,,,,
42,2008,2008-09-07,1,26.291,PIT,,HOU,W 38-17,,0,0,,0,0,0,0.0,3,1,0,0,0
43,2008,2008-09-14,2,26.298,PIT,@,CLE,W 10-6,*,0,0,,0,0,0,0.0,5,0,1,0,0
44,2008,2008-09-21,3,26.305,PIT,@,PHI,L 6-15,*,0,0,,0,0,0,0.0,5,1,1,0,0
45,2008,2008-09-29,4,26.313,PIT,,BAL,W 23-20,*,0,0,,0,0,0,0.0,5,0,0,0,0
46,2008,2008-10-05,5,26.319,PIT,@,JAX,W 26-21,*,0,0,,0,0,0,0.0,3,1,0,0,0
47,2008,2008-10-19,6,26.333,PIT,@,CIN,W 38-10,*,0,0,,0,0,0,0.0,4,1,0,0,0
48,2008,2008-12-07,13,27.016,PIT,,DAL,W 20-13,,0,0,,0,0,0,0.0,2,0,0,0,0
49,2008,2008-12-14,14,27.023,PIT,@,BAL,W 13-9,*,0,0,,0,0,0,0.0,4,0,0,0,0
50,2008,2008-12-21,15,27.030,PIT,@,TEN,L 14-31,*,0,0,,0,0,0,0.0,2,0,0,0,0
51,2008,2008-12-28,16,27.037,PIT,,CLE,W 31-0,*,0,0,,0,0,0,1.0,3,0,0,0,0
52,2009,2009-09-13,1,27.296,ARI,,SFO,L 16-20,*,0,0,,0,0,0,0.0,5,0,0,0,0
53,2009,2009-09-20,2,27.303,ARI,@,JAX,W 31-17,*,0,0,,0,0,0,0.0,4,0,0,0,0
54,2009,2009-09-27,3,27.310,ARI,,IND,L 10-31,*,0,0,,0,0,0,0.0,5,0,0,0,0
55,2009,2009-10-11,4,27.324,ARI,,HOU,W 28-21,*,0,0,,0,0,0,0.0,8,0,0,0,0
56,2009,2009-10-18,5,27.331,ARI,@,SEA,W 27-3,*,0,0,,0,0,0,0.0,2,0,0,0,0
57,2009,2009-10-25,6,27.338,ARI,@,NYG,W 24-17,*,0,0,,0,0,0,0.0,4,2,0,0,0
58,2009,2009-11-01,7,27.345,ARI,,CAR,L 21-34,*,0,0,,0,0,0,0.0,4,0,0,0,0
59,2009,2009-11-08,8,27.352,ARI,@,CHI,W 41-21,*,0,0,,0,0,0,0.0,6,0,0,0,0
60,2009,2009-11-15,9,27.359,ARI,,SEA,W 31-20,*,0,0,,0,0,0,0.0,6,1,0,0,0
61,2009,2009-11-22,10,28.001,ARI,@,STL,W 21-13,*,0,0,,0,0,0,0.0,1,0,0,0,0
62,2009,2009-11-29,11,28.008,ARI,@,TEN,L 17-20,*,0,0,,0,0,0,0.0,5,0,0,0,0
63,2009,2009-12-06,12,28.015,ARI,,MIN,W 30-17,*,0,0,,0,0,0,0.0,4,0,0,0,0
64,2009,2009-12-14,13,28.023,ARI,@,SFO,L 9-24,*,0,0,,0,0,0,0.0,2,1,0,0,0
65,2009,2009-12-20,14,28.029,ARI,@,DET,W 31-24,*,0,0,,0,0,0,0.0,3,1,0,0,0
66,2009,2009-12-27,15,28.036,ARI,,STL,W 31-10,*,0,0,,0,0,0,0.0,3,0,0,0,0
67,2009,2010-01-03,16,28.043,ARI,,GNB,L 7-33,*,0,0,,0,0,0,0.0,2,0,0,0,0
68,2010,2010-09-12,1,28.295,PIT,,ATL,W 15-9,*,0,0,,0,0,0,0.0,12,3,0,0,0
69,2010,2010-09-19,2,28.302,PIT,@,TEN,W 19-11,*,0,0,,0,0,0,0.0,2,0,1,0,0
70,2010,2010-09-26,3,28.309,PIT,@,TAM,W 38-13,*,0,0,,0,0,0,0.0,4,0,0,0,0
71,2010,2010-10-03,4,28.316,PIT,,BAL,L 14-17,*,0,0,,0,0,0,0.0,3,0,0,0,0
72,2010,2010-10-17,5,28.330,PIT,,CLE,W 28-10,*,0,0,,0,0,0,0.0,5,3,0,0,0
73,2010,2010-10-24,6,28.337,PIT,@,MIA,W 23-22,*,0,0,,0,0,0,0.0,5,1,0,0,0
74,2010,2010-10-31,7,28.344,PIT,@,NOR,L 10-20,*,0,0,,0,0,0,1.0,7,0,0,0,0
75,2010,2010-11-08,8,28.352,PIT,@,CIN,W 27-21,*,0,0,,0,0,0,0.0,5,0,0,0,0
76,2010,2010-11-14,9,28.358,PIT,,NWE,L 26-39,*,0,0,,0,0,0,0.0,9,0,0,0,0
77,2010,2010-11-21,10,29.000,PIT,,OAK,W 35-3,*,0,0,,0,0,0,1.0,5,0,0,0,0
78,2010,2010-11-28,11,29.007,PIT,@,BUF,W 19-16,*,0,0,,0,0,0,0.0,2,0,0,0,0
79,2010,2010-12-05,12,29.014,PIT,@,BAL,W 13-10,*,0,0,,0,0,0,0.0,4,0,0,0,0
80,2010,2010-12-12,13,29.021,PIT,,CIN,W 23-7,*,0,0,,0,0,0,0.0,2,0,0,0,0
81,2010,2010-12-19,14,29.028,PIT,,NYJ,L 17-22,*,0,0,,0,0,0,0.0,7,0,0,0,0
82,2010,2010-12-23,15,29.032,PIT,,CAR,W 27-3,*,0,0,,0,0,0,0.0,1,1,1,-3,0
83,2010,2011-01-02,16,29.042,PIT,@,CLE,W 41-9,*,0,0,,0,0,0,0.0,1,0,0,0,0
84,2011,2011-09-11,1,29.294,PIT,@,BAL,L 7-35,*,0,0,,0,0,0,0.0,2,1,0,0,0
85,2011,2011-10-09,5,29.322,PIT,,TEN,W 38-17,,0,0,,0,0,0,0.0,0,1,0,0,0
86,2011,2011-10-16,6,29.329,PIT,,JAX,W 17-13,,,,,,,,,,,,,
87,2011,2011-10-23,7,29.336,PIT,@,ARI,W 32-20,,0,0,,0,0,0,0.0,0,0,0,0,0
88,2011,2011-10-30,8,29.343,PIT,,NWE,W 25-17,,,,,,,,,,,,,
89,2011,2011-11-06,9,29.350,PIT,,BAL,L 20-23,,0,0,,0,0,0,0.0,0,0,0,0,0
90,2011,2011-11-13,10,29.357,PIT,@,CIN,W 24-17,,0,0,,0,0,0,0.0,0,0,0,0,0
91,2011,2011-11-27,11,30.006,PIT,@,KAN,W 13-9,,,,,,,,,,,,,
92,2011,2011-12-04,12,30.013,PIT,,CIN,W 35-7,,0,0,,0,0,0,0.0,0,1,0,0,0
93,2011,2011-12-08,13,30.017,PIT,,CLE,W 14-3,,,,,,,,,,,,,
94,2011,2011-12-19,14,30.028,PIT,@,SFO,L 3-20,,,,,,,,,,,,,
95,2011,2011-12-24,15,30.033,PIT,,STL,W 27-0,,,,,,,,,,,,,
96,2011,2012-01-01,16,30.041,PIT,@,CLE,W 13-9,,0,0,,0,0,0,0.0,1,0,0,0,0
