ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2007,2007-09-09,1,23.240,PIT,@,CLE,W 34-7,,0,0,,0,0,0,,0,,,,6,223,37.17,0
2,2007,2007-09-16,2,23.247,PIT,,BUF,W 26-3,,0,0,,0,0,0,,0,,,,1,41,41.00,0
3,2007,2007-09-23,3,23.254,PIT,,SFO,W 37-16,,0,0,,0,0,0,,0,,,,2,84,42.00,0
4,2007,2007-09-30,4,23.261,PIT,@,ARI,L 14-21,,0,0,,0,0,0,,0,,,,7,360,51.43,0
5,2007,2007-10-07,5,23.268,PIT,,SEA,W 21-0,,0,0,,0,0,0,,0,,,,6,282,47.00,0
6,2007,2007-10-21,6,23.282,PIT,@,DEN,L 28-31,,0,0,,0,0,0,,0,,,,2,76,38.00,0
7,2007,2007-10-28,7,23.289,PIT,@,CIN,W 24-13,,0,0,,0,0,0,,0,,,,1,37,37.00,0
8,2007,2007-11-05,8,23.297,PIT,,BAL,W 38-7,,0,0,,0,0,0,,0,,,,8,362,45.25,0
9,2007,2007-11-11,9,23.303,PIT,,CLE,W 31-28,,0,0,,0,0,0,,0,,,,5,207,41.40,0
10,2007,2007-11-18,10,23.310,PIT,@,NYJ,L 16-19,,0,0,,0,0,0,,0,,,,5,207,41.40,0
11,2007,2007-11-26,11,23.318,PIT,,MIA,W 3-0,,0,0,,0,0,0,,0,,,,5,173,34.60,0
12,2007,2007-12-02,12,23.324,PIT,,CIN,W 24-10,,0,0,,0,0,0,,0,,,,4,162,40.50,0
13,2007,2007-12-09,13,23.331,PIT,@,NWE,L 13-34,,0,0,,0,0,0,,0,,,,3,126,42.00,0
14,2007,2007-12-16,14,23.338,PIT,,JAX,L 22-29,,0,0,,0,0,0,,0,,,,7,286,40.86,0
15,2007,2007-12-20,15,23.342,PIT,@,STL,W 41-24,,1,1,100.00,32,0,0,118.7,0,0,32.00,32.00,2,105,52.50,0
16,2007,2007-12-30,16,23.352,PIT,@,BAL,L 21-27,,0,0,,0,0,0,,0,,,,4,149,37.25,0
17,2009,2009-09-10,1,25.241,PIT,,TEN,W 13-10,,0,0,,0,0,0,,,,,,7,299,42.71,0
18,2009,2009-09-20,2,25.251,PIT,@,CHI,L 14-17,,0,0,,0,0,0,,,,,,3,163,54.33,0
19,2009,2009-09-27,3,25.258,PIT,@,CIN,L 20-23,,0,0,,0,0,0,,,,,,2,85,42.50,0
20,2009,2009-10-04,4,25.265,PIT,,SDG,W 38-28,,0,0,,0,0,0,,,,,,2,84,42.00,0
21,2009,2009-10-11,5,25.272,PIT,@,DET,W 28-20,,0,0,,0,0,0,,,,,,4,194,48.50,0
22,2009,2009-10-18,6,25.279,PIT,,CLE,W 27-14,,0,0,,0,0,0,,,,,,2,91,45.50,0
23,2009,2009-10-25,7,25.286,PIT,,MIN,W 27-17,,0,0,,0,0,0,,,,,,6,248,41.33,0
24,2009,2009-11-09,8,25.301,PIT,@,DEN,W 28-10,,0,0,,0,0,0,,,,,,5,221,44.20,0
25,2009,2009-11-15,9,25.307,PIT,,CIN,L 12-18,,0,0,,0,0,0,,,,,,5,217,43.40,0
26,2009,2009-11-22,10,25.314,PIT,@,KAN,L 24-27,,0,0,,0,0,0,,,,,,6,235,39.17,0
27,2009,2009-11-29,11,25.321,PIT,@,BAL,L 17-20,,0,0,,0,0,0,,,,,,8,357,44.63,0
28,2009,2009-12-06,12,25.328,PIT,,OAK,L 24-27,,0,0,,0,0,0,,,,,,3,130,43.33,0
29,2009,2009-12-10,13,25.332,PIT,@,CLE,L 6-13,,0,0,,0,0,0,,,,,,8,342,42.75,0
30,2009,2009-12-20,14,25.342,PIT,,GNB,W 37-36,,0,0,,0,0,0,,,,,,5,191,38.20,0
31,2009,2009-12-27,15,25.349,PIT,,BAL,W 23-20,,0,0,,0,0,0,,,,,,4,146,36.50,0
32,2009,2010-01-03,16,25.356,PIT,@,MIA,W 30-24,,0,0,,0,0,0,,,,,,2,71,35.50,0
33,2010,2010-09-12,1,26.243,PIT,,ATL,W 15-9,,0,0,,0,0,0,,,,,,5,254,50.80,0
34,2010,2010-09-19,2,26.250,PIT,@,TEN,W 19-11,,0,0,,0,0,0,,,,,,8,348,43.50,0
35,2010,2010-09-26,3,26.257,PIT,@,TAM,W 38-13,,0,0,,0,0,0,,,,,,1,62,62.00,0
36,2010,2010-10-03,4,26.264,PIT,,BAL,L 14-17,,0,0,,0,0,0,,,,,,5,247,49.40,0
37,2010,2010-10-17,5,26.278,PIT,,CLE,W 28-10,,0,0,,0,0,0,,,,,,6,257,42.83,0
38,2010,2010-10-24,6,26.285,PIT,@,MIA,W 23-22,,0,0,,0,0,0,,,,,,3,142,47.33,0
39,2010,2010-10-31,7,26.292,PIT,@,NOR,L 10-20,,0,0,,0,0,0,,,,,,4,192,48.00,0
40,2010,2010-11-08,8,26.300,PIT,@,CIN,W 27-21,,0,0,,0,0,0,,,,,,5,203,40.60,0
41,2010,2010-11-14,9,26.306,PIT,,NWE,L 26-39,,0,0,,0,0,0,,,,,,5,226,45.20,0
42,2010,2010-11-21,10,26.313,PIT,,OAK,W 35-3,,0,0,,0,0,0,,,,,,7,315,45.00,0
43,2010,2010-11-28,11,26.320,PIT,@,BUF,W 19-16,,0,0,,0,0,0,,,,,,4,171,42.75,0
44,2010,2010-12-05,12,26.327,PIT,@,BAL,W 13-10,,0,0,,0,0,0,,,,,,3,133,44.33,0
45,2011,2011-09-11,1,27.242,PIT,@,BAL,L 7-35,,0,0,,0,0,0,,0,0,,,4,211,52.75,0
46,2011,2011-09-18,2,27.249,PIT,,SEA,W 24-0,,0,0,,0,0,0,,0,0,,,3,175,58.33,0
47,2011,2011-09-25,3,27.256,PIT,@,IND,W 23-20,,0,0,,0,0,0,,0,0,,,3,112,37.33,0
48,2011,2011-10-02,4,27.263,PIT,@,HOU,L 10-17,,0,0,,0,0,0,,0,0,,,4,202,50.50,0
49,2011,2011-10-09,5,27.270,PIT,,TEN,W 38-17,,1,1,100.00,33,0,0,118.7,0,0,33.00,33.00,1,48,48.00,1
50,2011,2011-10-16,6,27.277,PIT,,JAX,W 17-13,,0,0,,0,0,0,,0,0,,,6,256,42.67,0
51,2011,2011-10-23,7,27.284,PIT,@,ARI,W 32-20,,0,0,,0,0,0,,0,0,,,3,118,39.33,0
52,2011,2011-10-30,8,27.291,PIT,,NWE,W 25-17,,0,0,,0,0,0,,0,0,,,1,31,31.00,0
