ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1963,1963-09-14,1,23.179,DET,@,RAM,W 23-2,3,9,3.00,0,0,0,,0,0,0,,0,2,38,19.00,0
2,1963,1963-09-22,2,23.187,DET,@,GNB,L 10-31,5,6,1.20,0,1,7,7.00,0,1,24,24.00,0,0,0,,0
3,1963,1963-09-29,3,23.194,DET,,CHI,L 21-37,2,1,0.50,0,1,1,1.00,0,3,98,32.67,0,2,13,6.50,0
4,1963,1963-10-06,4,23.201,DET,,SFO,W 26-3,3,7,2.33,0,0,0,,0,1,39,39.00,0,4,47,11.75,0
5,1963,1963-10-13,5,23.208,DET,@,DAL,L 14-17,0,0,,0,0,0,,0,1,17,17.00,0,2,6,3.00,0
6,1963,1963-10-20,6,23.215,DET,,BAL,L 21-25,0,0,,0,0,0,,0,2,30,15.00,0,0,0,,0
7,1963,1963-10-27,7,23.222,DET,,MIN,W 28-10,0,0,,0,0,0,,0,1,23,23.00,0,1,4,4.00,0
