ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1968,1968-11-10,9,23.186,NOR,@,CLE,L 17-35,,5,15,33.33,50,1,1,38.2,0,0,3.33,1.67,0,0,,0,7,222,31.71,0
2,1968,1968-11-17,10,23.193,NOR,@,GNB,L 7-29,,7,21,33.33,69,0,2,4.0,0,0,3.29,-1.00,2,3,1.50,0,7,164,23.43,0
3,1968,1968-12-08,13,23.214,NOR,@,PHI,L 17-29,,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00,0,0,,0,0,0,,0
4,1968,1968-12-15,14,23.221,NOR,,PIT,W 24-14,,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,2,2,1.00,0,0,0,,0
