ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1959,1959-10-18,4,26.206,CRD,@,CLE,L 7-17,,6,16,37.50,113,1,1,57.6,0,0,7.06,5.50,1,5,5.00,0,0,
2,1959,1959-10-25,5,26.213,CRD,,PHI,L 24-28,*,9,22,40.91,150,1,3,40.2,0,0,6.82,1.59,7,15,2.14,0,0,
3,1959,1959-11-29,10,26.248,CRD,,CHI,L 7-31,,1,4,25.00,11,0,0,39.6,0,0,2.75,2.75,1,0,0.00,0,0,
4,1959,1959-12-06,11,26.255,CRD,@,DET,L 21-45,*,6,15,40.00,66,0,0,53.7,0,0,4.40,4.40,0,0,,0,0,
5,1960,1960-09-23,1,27.181,STL,@,RAM,W 43-21,,6,13,46.15,205,4,1,100.2,0,0,15.77,18.46,2,2,1.00,0,0,0
6,1960,1960-10-02,2,27.190,STL,,NYG,L 14-35,*,4,12,33.33,59,1,1,43.4,0,0,4.92,2.83,1,-10,-10.00,0,0,0
7,1960,1960-10-09,3,27.197,STL,@,PHI,L 27-31,*,9,25,36.00,133,0,4,14.7,0,0,5.32,-1.88,2,12,6.00,0,0,0
8,1960,1960-10-16,4,27.204,STL,@,PIT,L 14-27,*,1,6,16.67,6,0,2,0.0,0,0,1.00,-14.00,0,0,,0,0,0
9,1960,1960-10-23,5,27.211,STL,,DAL,W 12-10,,3,14,21.43,58,0,1,14.6,0,0,4.14,0.93,0,0,,0,0,0
10,1960,1960-10-30,6,27.218,STL,@,NYG,W 20-13,*,4,9,44.44,82,1,1,74.5,0,0,9.11,6.33,3,-1,-0.33,0,0,0
11,1960,1960-11-06,7,27.225,STL,,WAS,W 44-7,*,13,16,81.25,164,3,0,149.0,0,0,10.25,14.00,0,0,,0,0,0
12,1960,1960-11-13,8,27.232,STL,@,CLE,L 27-28,*,12,20,60.00,186,1,2,67.9,0,0,9.30,5.80,1,-1,-1.00,0,0,0
13,1960,1960-11-20,9,27.239,STL,@,WAS,W 26-14,*,17,28,60.71,248,3,1,110.4,0,0,8.86,9.39,2,18,9.00,0,0,0
14,1960,1960-11-27,10,27.246,STL,,CLE,T 17-17,*,9,19,47.37,119,1,5,45.6,0,0,6.26,-4.53,2,3,1.50,0,0,0
15,1960,1960-12-04,11,27.253,STL,,PHI,L 6-20,*,2,5,40.00,18,0,1,10.8,0,0,3.60,-5.40,3,11,3.67,0,0,0
16,1960,1960-12-18,12,27.267,STL,,PIT,W 38-7,*,7,21,33.33,145,3,0,98.2,0,0,6.90,9.76,3,5,1.67,1,1,6
17,1961,1961-10-08,4,28.196,GNB,,BAL,W 45-7,,0,4,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
18,1961,1961-10-15,5,28.203,GNB,@,CLE,W 49-17,,0,0,,0,0,0,,0,0,,,2,-5,-2.50,1,1,6
19,1962,1962-09-16,1,29.174,GNB,,MIN,W 34-7,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
20,1962,1962-09-30,3,29.188,GNB,,CHI,W 49-0,,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00,0,0,,0,0,0
21,1962,1962-10-14,5,29.202,GNB,@,MIN,W 48-21,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
22,1962,1962-11-04,8,29.223,GNB,@,CHI,W 38-7,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,5,5.00,0,0,0
23,1962,1962-11-11,9,29.230,GNB,@,PHI,W 49-0,,1,5,20.00,4,0,0,39.6,0,0,0.80,0.80,0,0,,0,0,0
24,1962,1962-12-02,12,29.251,GNB,,RAM,W 41-10,,1,2,50.00,18,0,0,81.2,0,0,9.00,9.00,0,0,,0,0,0
25,1962,1962-12-16,14,29.265,GNB,@,RAM,W 20-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
26,1963,1963-09-22,2,30.180,GNB,,DET,W 31-10,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0
27,1963,1963-10-06,4,30.194,GNB,,RAM,W 42-10,,2,2,100.00,33,0,0,118.7,0,0,16.50,16.50,0,0,,0,0,0
28,1963,1963-10-20,6,30.208,GNB,@,STL,W 30-7,,0,4,0.00,0,0,2,0.0,0,0,0.00,-22.50,0,0,,0,0,0
29,1963,1963-10-27,7,30.215,GNB,@,BAL,W 34-20,*,9,20,45.00,156,1,2,49.2,0,0,7.80,4.30,1,-2,-2.00,0,0,0
30,1963,1963-11-03,8,30.222,GNB,,PIT,W 33-14,*,7,17,41.18,151,0,1,48.9,0,0,8.88,6.24,1,11,11.00,0,0,0
31,1963,1963-11-10,9,30.229,GNB,,MIN,W 28-7,*,12,20,60.00,188,3,0,130.8,0,0,9.40,12.40,1,22,22.00,0,0,0
32,1963,1963-11-17,10,30.236,GNB,@,CHI,L 7-26,*,8,20,40.00,92,0,2,15.0,0,0,4.60,0.10,0,0,,0,0,0
33,1964,1964-09-12,1,31.170,DAL,,STL,L 6-16,,1,1,100.00,30,0,0,118.7,0,0,30.00,30.00,0,0,,0,0,0
34,1964,1964-09-20,2,31.178,DAL,,WAS,W 24-18,,4,6,66.67,73,0,1,68.7,0,0,12.17,4.67,1,11,11.00,0,0,0
35,1964,1964-09-27,3,31.185,DAL,@,PIT,L 17-23,*,2,8,25.00,23,0,2,0.0,0,0,2.88,-8.38,1,0,0.00,0,0,0
36,1964,1964-10-04,4,31.192,DAL,@,CLE,L 6-27,*,13,26,50.00,132,1,0,77.7,0,0,5.08,5.85,3,0,0.00,0,0,0
37,1964,1964-10-18,6,31.206,DAL,,CLE,L 16-20,*,3,7,42.86,23,0,1,11.9,0,0,3.29,-3.14,0,0,,0,0,0
38,1964,1964-11-22,11,31.241,DAL,@,WAS,L 16-28,,4,9,44.44,20,0,1,12.0,0,0,2.22,-2.78,0,0,,0,0,0
39,1964,1964-11-29,12,31.248,DAL,,GNB,L 21-45,*,5,10,50.00,48,0,1,24.2,0,0,4.80,0.30,2,0,0.00,0,0,0
40,1964,1964-12-13,14,31.262,DAL,,PIT,W 17-14,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,-2,-2.00,0,0,0
