ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2015,2015-11-22,10,23.120,CAR,,WAS,W 44-16,,0,0,,0
2,2015,2015-11-26,11,23.124,CAR,@,DAL,W 33-14,,1,0,0.00,0
3,2015,2015-12-20,14,23.148,CAR,@,NYG,W 38-35,,0,0,,0
4,2015,2016-01-03,16,23.162,CAR,,TAM,W 38-10,,0,0,,0
5,2016,2016-09-18,2,24.055,CAR,,SFO,W 46-27,,0,0,,0
