ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-13,1,23.097,NYJ,,BAL,L 9-10,,,,,,,,,,,0.0%,,,,,,,,,,
2,2010,2010-09-19,2,23.103,NYJ,,NWE,W 28-14,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
3,2010,2010-09-26,3,23.110,NYJ,@,MIA,W 31-23,,,,,,1,,,,,0.0%,,,,,,,,,,
4,2010,2010-10-03,4,23.117,NYJ,@,BUF,W 38-14,,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,0.0,0,0
5,2010,2010-10-11,5,23.125,NYJ,,MIN,W 29-20,,0,0,,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0
6,2010,2010-10-17,6,23.131,NYJ,@,DEN,W 24-20,,,,,,1,,,,,0.0%,,,,,,,,,,
7,2010,2010-10-31,7,23.145,NYJ,,GNB,L 0-9,,,,,,,,,,,0.0%,,,,,,,,,,
8,2010,2010-11-07,8,23.152,NYJ,@,DET,W 23-20,,0,0,,0,0,0,0,,0,0.0%,,1,10,10.00,0,0,0,0.0,0,0
9,2010,2010-11-14,9,23.159,NYJ,@,CLE,W 26-20,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
10,2010,2010-11-21,10,23.166,NYJ,,HOU,W 30-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
11,2010,2010-11-25,11,23.170,NYJ,,CIN,W 26-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
12,2010,2010-12-06,12,23.181,NYJ,@,NWE,L 3-45,,0,0,,0,0,0,0,,0,0.0%,,1,18,18.00,0,0,0,0.0,0,0
13,2010,2010-12-12,13,23.187,NYJ,,MIA,L 6-10,,,,,,,,,,,0.0%,,,,,,,,,,
14,2010,2010-12-19,14,23.194,NYJ,@,PIT,W 22-17,,,,,,,,,,,0.0%,,,,,,,,,,
15,2010,2010-12-26,15,23.201,NYJ,@,CHI,L 34-38,,,,,,,,,,,0.0%,,,,,,,,,,
16,2010,2011-01-02,16,23.208,NYJ,,BUF,W 38-7,,8,44,5.50,1,0,0,0,,0,0.0%,,1,7,7.00,0,1,6,0.0,0,0
17,2011,2011-09-11,1,24.095,NYJ,,DAL,W 27-24,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
18,2011,2011-09-18,2,24.102,NYJ,,JAX,W 32-3,*,0,0,,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0
19,2011,2011-09-25,3,24.109,NYJ,@,OAK,L 24-34,,1,3,3.00,0,0,0,0,,0,0.0%,,1,11,11.00,0,0,0,0.0,0,0
20,2011,2011-10-02,4,24.116,NYJ,@,BAL,L 17-34,,3,15,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
21,2011,2011-10-09,5,24.123,NYJ,@,NWE,L 21-30,*,1,0,0.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
22,2011,2011-10-17,6,24.131,NYJ,,MIA,W 24-6,,,,,,0,,,,,0.0%,,,,,,,,,,
23,2011,2011-10-23,7,24.137,NYJ,,SDG,W 27-21,,,,,,,,,,,0.0%,,,,,,,,,,
24,2011,2011-11-06,8,24.151,NYJ,@,BUF,W 27-11,*,2,8,4.00,1,0,0,0,,0,0.0%,,0,0,,0,1,6,0.0,0,0
25,2011,2011-11-13,9,24.158,NYJ,,NWE,L 16-37,*,,,,,,,,,,0.0%,,,,,,,,,,
26,2011,2011-11-17,10,24.162,NYJ,@,DEN,L 13-17,*,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
27,2011,2011-11-27,11,24.172,NYJ,,BUF,W 28-24,*,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
28,2011,2011-12-04,12,24.179,NYJ,@,WAS,W 34-19,,2,2,1.00,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,0.0,0,0
29,2011,2011-12-11,13,24.186,NYJ,,KAN,W 37-10,*,,,,,0,,,,,0.0%,,,,,,,,,,
30,2011,2011-12-18,14,24.193,NYJ,@,PHI,L 19-45,*,1,7,7.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
31,2011,2011-12-24,15,24.199,NYJ,,NYG,L 14-29,,0,0,,0,0,0,0,,0,0.0%,,1,18,18.00,0,0,0,0.0,0,0
32,2011,2012-01-01,16,24.207,NYJ,@,MIA,L 17-19,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
33,2012,2012-09-09,1,25.093,NYJ,,BUF,W 48-28,,,,,,,,,,,0.0%,,,,,,,,,,
34,2012,2012-09-16,2,25.100,NYJ,@,PIT,L 10-27,*,,,,,,,,,,0.0%,,,,,,,,,,
35,2012,2012-09-30,4,25.114,NYJ,,SFO,L 0-34,*,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
36,2012,2012-12-23,15,25.198,CIN,@,PIT,W 13-10,,,,,,,,,,,0.0%,,,,,,,,,,
37,2012,2012-12-30,16,25.205,CIN,,BAL,W 23-17,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
38,2013,2013-09-29,4,26.113,NYG,@,KAN,L 7-31,,,,,,,,,,,0.0%,,,,,,,,,,
39,2013,2013-10-06,5,26.120,NYG,,PHI,L 21-36,,,,,,,,,,,0.0%,,,,,,,,,,
40,2013,2013-10-10,6,26.124,NYG,@,CHI,L 21-27,*,,,,,,,,,,0.0%,,,,,,,,,,
41,2013,2013-10-21,7,26.135,NYG,,MIN,W 23-7,*,0,0,,0,5,3,17,5.67,0,60.0%,3.40,0,0,,0,0,0,0.0,0,0
42,2013,2013-10-27,8,26.141,NYG,@,PHI,W 15-7,*,0,0,,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,0.0,0,0
43,2013,2013-11-10,9,26.155,NYG,,OAK,W 24-20,*,,,,,,,,,,0.0%,,,,,,,,,,
44,2013,2013-11-17,10,26.162,NYG,,GNB,W 27-13,,0,0,,0,3,2,2,1.00,0,66.7%,0.67,0,0,,0,0,0,0.0,0,0
45,2013,2013-11-24,11,26.169,NYG,,DAL,L 21-24,,,,,,,,,,,0.0%,,,,,,,,,,
46,2013,2013-12-01,12,26.176,NYG,@,WAS,W 24-17,,,,,,,,,,,0.0%,,,,,,,,,,
47,2013,2013-12-08,13,26.183,NYG,@,SDG,L 14-37,,,,,,,,,,,0.0%,,,,,,,,,,
