ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,2004,2004-10-10,4,24.253,DAL,,NYG,L 10-26,,2,43,21.50,0,0,0,0
2,2005,2005-10-02,4,25.244,SFO,@,ARI,L 14-31,,,,,,,,
3,2005,2005-10-09,5,25.251,SFO,,IND,L 3-28,*,0,0,,0,1,0,0
4,2005,2005-10-23,6,25.265,SFO,@,WAS,L 17-52,*,,,,,,,
5,2005,2005-10-30,7,25.272,SFO,,TAM,W 15-10,*,,,,,,,
6,2005,2005-11-06,8,25.279,SFO,,NYG,L 6-24,*,,,,,,,
7,2005,2005-11-13,9,25.286,SFO,@,CHI,L 9-17,*,,,,,,,
8,2005,2005-11-20,10,25.293,SFO,,SEA,L 25-27,*,,,,,,,
9,2005,2005-11-27,11,25.300,SFO,@,TEN,L 22-33,*,,,,,,,
10,2005,2005-12-04,12,25.307,SFO,,ARI,L 10-17,*,,,,,,,
11,2005,2005-12-11,13,25.314,SFO,@,SEA,L 3-41,*,0,0,,0,1,0,0
12,2005,2005-12-18,14,25.321,SFO,@,JAX,L 9-10,*,,,,,,,
13,2005,2005-12-24,15,25.327,SFO,@,STL,W 24-20,*,,,,,,,
