ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,def_int,def_int_yds,def_int_td
1,1972,1972-09-17,1,23.244,NWE,,CIN,L 7-31,,,
2,1972,1972-09-24,2,23.251,NWE,,ATL,W 21-20,,,
3,1972,1972-10-01,3,23.258,NWE,,WAS,W 24-23,,,
4,1972,1972-10-08,4,23.265,NWE,@,BUF,L 14-38,,,
5,1972,1972-10-15,5,23.272,NWE,,NYJ,L 13-41,,,
6,1972,1972-10-22,6,23.279,NWE,@,PIT,L 3-33,,,
7,1972,1972-10-29,7,23.286,NWE,@,NYJ,L 10-34,,,
8,1972,1972-11-06,8,23.294,NWE,,BAL,L 17-24,,,
9,1972,1972-11-12,9,23.300,NWE,@,MIA,L 0-52,,,
10,1972,1972-11-19,10,23.307,NWE,,BUF,L 24-27,,,
11,1972,1972-11-26,11,23.314,NWE,@,BAL,L 0-31,,,
12,1972,1972-12-03,12,23.321,NWE,,MIA,L 21-37,,,
13,1972,1972-12-10,13,23.328,NWE,@,NOR,W 17-10,1,20,0
14,1972,1972-12-17,14,23.335,NWE,@,DEN,L 21-45,,,
